UM42006061419931000101199511011997081919930505ハートステイジ　　　　　　　　　　　ﾊｰﾄｽﾃｲｼﾞ                            Heart Stage(IRE)                                            0                   00210311402898Cacoethes                           12410653Heartbreak                          11401308Alydar                              12408780Careless Notion                     11300627Stage Door Johnny                   12408988Royal Folly                         11300169Raise a Native                      12402849Sweet Tooth                         11300071Jester                              12408779Miss Uppity                         11300557Prince John                         12403512Peroxide Blonde                     11300670Tom Fool                            12403825Golden Sari                         100297本郷一彦　　　　　　　　　　360825Z. Hashimoto                                                          愛　　　　　　　　　643005橋本　善吉　　　　　　　　　　　　　　　　　　　　　　　　　　　000597500000000000000005150000000000000096000000000000007002004003003013004002003002002003000000000000000000001001001001001002001000000000000001000000000000000000002000001001001000000001001000000000000000000000000000000001001001001003002000000000000000000000000000000000000000000000000000002001001001001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000002001000000000002000000001001000001000001001000000000002000001001001000000000000000000000001005006004032
UM12004020219931000931199507201996042419930323タハラメガミ　　　　　　　　　　　　ﾀﾊﾗﾒｶﾞﾐ                             Tahara Megami(JPN)                                          0                   03210111200748ホクトフラツグ　　　　　　　　　　　12228695サチモプリンス　　　　　　　　　　　11200028シヤトーゲイ　　　　　　　　　　　　12209639ノブボタン　　　　　　　　　　　　　11200374サチモシロー　　　　　　　　　　　　12209998ベロナチグサ　　　　　　　　　　　　11300075Swaps                               12400220Banquet Bell                        11100922フオルテイノ　　　　　　　　　　　　12101752トビクイン　　　　　　　　　　　　　11400468Saint Crespin                       12107679ウイツプコード　　　　　　　　　　　11100873ロイヤルレコード　　　　　　　　　　12201659ユキノニシキ　　　　　　　　　　　　200293布施正　　　　　　　　　　　300187田原牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　894009田原　幸男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000002000000000000000002000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000002
UM12004020219931001011199505251996021719930420ナンカイエンプレス　　　　　　　　　ﾅﾝｶｲｴﾝﾌﾟﾚｽ                          Nankai Empress(JPN)                                         0                   03210311200961シンウルフ　　　　　　　　　　　　　12230514ホリノエルザー　　　　　　　　　　　11200421ラツキーソブリン　　　　　　　　　　12210655スノーシヨツト　　　　　　　　　　　11200444ナイスダンサー　　　　　　　　　　　12209640マサエイシユン　　　　　　　　　　　11300096Nijinsky                            12403579Sovereign                           11100922フオルテイノ　　　　　　　　　　　　12103664健宝　　　　　　　　　　　　　　　　11300102Northern Dancer                     12403493Nice Princess                       11100959ネプテユーヌス　　　　　　　　　　　12106733ウエストエース　　　　　　　　　　　200195柴田不二　　　　　　　　　　330400新保牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　256009新保　松二　　　　　　　　　　　　　　　　　　　　　　　　　　　000005000000000000000000000000000000000000000000000000000000000000001002000000000000001002000000000000000000000000000000001002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000002003
UM12004020219931001061199512071996080119930425ボールドシャーク　　　　　　　　　　ﾎﾞｰﾙﾄﾞｼｬｰｸ                          Bald Shark(JPN)                                             0                   03210311200747ヤマニンボールド　　　　　　　　　　12230512シヤークスズラン　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　12207128アンメンシヨナブル　　　　　　　　　11200688マタボーイ　　　　　　　　　　　　　12205538ダイヤフアスト　　　　　　　　　　　11300158Round Table                         12301338Two Cities                          11300112Buckpasser                          12300981Petticoat                           11301551Music Boy                           12302580Green Chartreuse                    11100568ネヴアービート　　　　　　　　　　　12105516ブルーロツクの五　　　　　　　　　　200161工藤嘉見　　　　　　　　　　400400吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　848009杉元　四男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001001
UM12004020219931001091199506221995083119930314ヨシノフラッパー　　　　　　　　　　ﾖｼﾉﾌﾗｯﾊﾟｰ                           Yoshino Flapper(JPN)                                        0                   03210711200747ヤマニンボールド　　　　　　　　　　12234123リバルドサキ　　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　12207128アンメンシヨナブル　　　　　　　　　11200563ベストブラツド　　　　　　　　　　　12206962シヨウフウミナミ　　　　　　　　　　11300158Round Table                         12301338Two Cities                          11300112Buckpasser                          12300981Petticoat                           11100576パーソロン　　　　　　　　　　　　　12203267クレペラ　　　　　　　　　　　　　　11100449ゴールドアロー　　　　　　　　　　　12102627カツラミナミ　　　　　　　　　　　　200131梅田康雄　　　　　　　　　　400400吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　475009吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　000025900000000000000000000000000000000000000000000000000001000000001001000001000000001001000000000000000000000001000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000001000003
UM12004020219931001121199509131995121419930323クモゼキガール　　　　　　　　　　　ｸﾓｾﾞｷｶﾞｰﾙ                           Kumozeki Girl(JPN)                                          0                   00210111200773クリスタルパレス　　　　　　　　　　12218365ヤングオイチ　　　　　　　　　　　　11300863Caro                                12404218Hermieres                           11200322タニノチカラ　　　　　　　　　　　　12205607ニユークモゼキ　　　　　　　　　　　11400173Fortino                             12300279Chambord                            11300611Sicambre                            12404217Vieille Pierre                      11100796ブランブルー　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100795テスコボーイ　　　　　　　　　　　　12101220クモゼキ　　　　　　　　　　　　　　200177斉藤義美　　　　　　　　　　630400吉永牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　511009吉永　藤雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219931001181199511221996071119930511ナスノチドリ　　　　　　　　　　　　ﾅｽﾉﾁﾄﾞﾘ                             Nasuno Chidori(JPN)                                         0                   00210311201327スラヴィック　　　　　　　　　　　　12224980ダイナライラツク　　　　　　　　　　11401155Danzig                              12409501Bamesian                            11200457ハンターコム　　　　　　　　　　　　12217565ベニスズラン　　　　　　　　　　　　11300102Northern Dancer                     12403835Pas de Nom                          11300112Buckpasser                          12300089Amalesian                           11300316Derring-Do                          12400890Ergina                              11200063ボールドアンドエイブル　　　　　　　12200409ハクスイ　　　　　　　　　　　　　　100320森安弘昭　　　　　　　　　　600197恵比寿興業株式会社那須野牧場　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419931001211199510121999011319930427ナスノプリティー　　　　　　　　　　ﾅｽﾉﾌﾟﾘﾃｨｰ                           Nasuno Pretty(JPN)                                          0                   00210311200999アレミロード　　　　　　　　　　　　12230438リアルプリティ　　　　　　　　　　　11300671Tom Rolfe                           12405154Why Me Lord                         11200707リアルシヤダイ　　　　　　　　　　　12221626シヤダイエクセラー　　　　　　　　　11300581Ribot                               12402266Pocahontas                          11400806Bold Reasoning                      12405153Tomorrowland                        11301372Roberto                             12302584Desert Vixen                        11200291ノーザンテースト　　　　　　　　　　12213076シヤダイエイブル　　　　　　　　　　100377平井雄二　　　　　　　　　　600197恵比寿興業株式会社那須野牧場　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000727300000000000000009430000000000000096000000000000004004004004003015004004004004003015000000000000000000003003002003003009001001002001000004000000000000000000000000000000000001000000000000000001000000000000000000004003003003003008000000001001000003000000000000000001000001000000000001000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000001004004003002004002009000000000000000000000000000000000002000000000000000000000000000000000000000009011014034
UM12004020219931001251199507131996041819930323エスパス　　　　　　　　　　　　　　ｴｽﾊﾟｽ                               Espace(JPN)                                                 0                   00210411200982ノーパスノーセール　　　　　　　　　12233838カザンラーク　　　　　　　　　　　　11300103Northfields                         12405768No Disgrace                         11200907スルーザドラゴン　　　　　　　　　　12212398ミエフアザラー　　　　　　　　　　　11300102Northern Dancer                     12302009Little Hut                          11301209Djakao                              12302075Exbury Grace                        11400936Seattle Slew                        12405057Gueniviere                          11100568ネヴアービート　　　　　　　　　　　12105139フアザラ　　　　　　　　　　　　　　100146奥平真治　　　　　　　　　　100120ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　343800ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　000044900000000000000000000000000000000000000000000000000001001000001005000001001000001005000000000000000000000001001000001003000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000001001000001002000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000001003000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000001003002002008
UM12004020219931001271199512141996081619930510ローズキャニオン　　　　　　　　　　ﾛｰｽﾞｷｬﾆｵﾝ                           Rose Canyon(JPN)                                            0                   00210311201261ジェイドロバリー　　　　　　　　　　12230441プレーメート　　　　　　　　　　　　11400948Mr. Prospector                      12409046Number                              11200347ハードツービート　　　　　　　　　　12219118ワールドハンター　　　　　　　　　　11300169Raise a Native                      12403815Gold Digger                         11300096Nijinsky                            12404854Special                             11400213Hardicanute                         12403115Virtuous                            11100568ネヴアービート　　　　　　　　　　　12200819ロングパワー　　　　　　　　　　　　100146奥平真治　　　　　　　　　　100120ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　343800ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
UM12004020219931001281199507131996112619930514マツノーセール　　　　　　　　　　　ﾏﾂﾉｰｾｰﾙ                             Matsu No Sale(JPN)                                          0                   04210311200982ノーパスノーセール　　　　　　　　　12226886オキノサヤカ　　　　　　　　　　　　11300103Northfields                         12405768No Disgrace                         11200516サンフオードラツド　　　　　　　　　12216745オキノチグサ　　　　　　　　　　　　11300102Northern Dancer                     12302009Little Hut                          11301209Djakao                              12302075Exbury Grace                        11300626St. Alphage                         12302043Hill Queen                          11200361キングスカンパニー　　　　　　　　　12208906デンタルジヨアン　　　　　　　　　　100402谷原義明　　　　　　　　　　730198鍋掛牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　静内町　　　　　　　684004松井　健一　　　　　　　　　　　　　　　　　　　　　　　　　　　000018000000000000000000000000000000000000000000000000000000001000001008000000001000001008000000000000000000000000000000000000000000000000000000000000000000000000000000001000001007000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000001000000001000000000000001003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001006000000000000000002000000000000000000000001006003010
