年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2018,09,02,札幌,2,未勝利*,２歳・未勝利(馬齢)(混)[指定],芝,1200,15,
番,  馬名,父,父タイプ,母父,母父タイプ
1,オーロセレステ,ショウナンカンプ,プリンスリーギフト系,ステイゴールド,サンデーサイレンス系
2,ヒョットシテ,モンテロッソ,ミスプロ系,ブライアンズタイム,ロベルト系
3,ドゥシャンパーニュ,ロードカナロア,キングマンボ系,ゼンノロブロイ,サンデーサイレンス系
4,ユウナブランシェ,ベーカバド,ダンチヒ系,アドマイヤムーン,フォーティナイナー系
5,ビップデーア,ダノンシャンティ,サンデーサイレンス系,ブライアンズタイム,ロベルト系
6,ヨドノミラクル,スターリングローズ,ミスプロ系,ステイゴールド,サンデーサイレンス系
7,メジャーハリケーン,ダイワメジャー,サンデーサイレンス系,Fasliyev,ヌレイエフ系
8,ユウユウリアン,ベーカバド,ダンチヒ系,トニービン,グレイソヴリン系
9,キモンボーイ,キモンノカシワ,ディープインパクト系,サクラバクシンオー,プリンスリーギフト系
10,シェルトファータ,ヘニーヒューズ,ストームバード系,"Saint Ballado",他のターントゥ系
11,マジックハンター,スクリーンヒーロー,ロベルト系,エルコンドルパサー,キングマンボ系
12,ロマン,アルデバラン2,ミスプロ系,ティンバーカントリー,ミスプロ系
13,ナツノトビラ,スウェプトオーヴァーボード,フォーティナイナー系,シンボリクリスエス,ロベルト系
14,ヴェル,キンシャサノキセキ,サンデーサイレンス系,キングカメハメハ,キングマンボ系
15,ファンシャン,トーセンラー,ディープインパクト系,キャプテンスティーヴ,テディ系
