HR22018042320180422050202101616000000000000000000000000000000000000000000000000000000000000000000000001300000154007                          130000004600706000000270031200000496015                          3700000125004                          0613000005270023                                061300000165001712130000412901020612000033260097                                                                                                                1306000012480045                                                                                061213000509970406                                    1306120018703602185                                                                                               
HR22018042320180422050202111616000000000000000000000000000000000000000000000000000000000000000000000000400000027001                          040000001500115000001160131600000026005                          2800000089003                          0415000013300041                                041500000311003904160000005300041516000005070050                                                                                                                0415000015590052                                                                                041516000020750068                                    0415160001132900365                                                                                               
HR22018042320180422050202121616000000000000000000000000000000000000000000000000000000000000000000000001500000095004                          150000003200711000000170011600000019003                          6800000078002                          1115000002590005                                111500000091000615160000010000101116000000410001                                                                                                                1511000004870011                                                                                111516000004120006                                    1511160000267500059                                                                                               
HR22018043020180428050203011616000000000000000000000000000000000000000000000000000000000000000000000000600003983016                          060000100301612000000250020400000077008                          3600000395014                          0612000144630074                                061200002125006804060000404000930412000001190010                                                                                                                0612000435550164                                                                                040612000556820292                                    0612040100289002331                                                                                               
HR22018043020180428050203021616000000000000000000000000000000000000000000000000000000000000000000000000400000050002                          040000001700507000000170041400000014001                          2400000125006                          0407000001780007                                040700000065000804140000003700030714000000350002                                                                                                                0407000003110011                                                                                040714000001560002                                    0407140000108500028                                                                                               
HR22018043020180428050203031616000000000000000000000000000000000000000000000000000000000000000000000000500000124007                          050000004300703000002080130100000024003                          2300001513026                          0305000052890068                                030500001154006801050000015900200103000007350055                                                                                                                0503000105750132                                                                                010305000087390165                                    0503010006784801073                                                                                               
HR22018043020180428050203041717000000000000000000000000000000000000000000000000000000000000000000000001500000047004                          150000001600513000000140020500000014001                          7800000162007                          1315000001450010                                131500000043000905150000003200020513000000420008                                                                                                                1513000002530015                                                                                051315000001690008                                    1513050000103700048                                                                                               
HR22018043020180428050203051818000000000000000000000000000000000000000000000000000000000000000000000001700000064003                          170000002800502000003190170900000064008                          1800001195027                          0217000038100073                                021700001079008109170000023500250209000010780080                                                                                                                1702000068790146                                                                                020917000123440263                                    1702090007409101547                                                                                               
HR22018043020180428050203061616000000000000000000000000000000000000000000000000000000000000000000000000200000128005                          020000002700405000000320061000000013001                          1300000154007                          0205000007470023                                020500000194002002100000005900040510000000590005                                                                                                                0205000015870047                                                                                020510000004270009                                    0205100000539900170                                                                                               
HR22018043020180428050203071818000000000000000000000000000000000000000000000000000000000000000000000000100000022001                          010000001300108000000230040500000016002                          1400000091003                          0108000000880003                                010800000039000301050000002600010508000000780007                                                                                                                0108000001320003                                                                                010508000001590002                                    0108050000063300006                                                                                               
