RAA20161006201609304710041080000Ｃｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              Ｃｈ（中央認定）　　Ｃｈ（中央認Ｃｈ（0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0002500000006250000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,5,(2,8),6,7,3,4,1                                                209,10,5,2,8,7,6,3,4,1                                                  309,10,5,8,2,7,6,3,4,1                                                  409,10,(2,5),8,6,3,1,4,7                                                0
RAA20160917201609164709040880000美女高原特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          美女高原特別　Ｃ１　美女高原特別美女高0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000510000002200000016000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,2,4,8,10,1,6                                                    203,5,2,7,4,8,1,10,6                                                    303,5,2,7,(4,8),10,6,1                                                  403,5,7,2,8,4,10,6,1                                                    0
RAA20160909201609084709020670000サラ系Ｂ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５組　Ｂ５　サラ系Ｂ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000400000001700000012000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,5,3,6,7,1,8,2                                                     204,9,3,5,6,1,7,8,2                                                     304,9,5,1,6,3,8,2,7                                                     40(4,5),9,1,6,8,2,3,7                                                   0
RAA20160929201609284710020460000かさオク・サンクス賞　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     かさオク・サンクス賞かさオク・サかさオ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000400000001700000012000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,(8,9),5,7,3,4                                                   201,2,6,5,8,9,7,3,4                                                     301,2,6,5,9,7,8,4,3                                                     401,6,5,7,2,(3,9),8,4                                                   0
RAA20160910201609094709030480000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,9,3,(2,5),8,6,4                                                   201,7,9,3,5,2,6,8,4                                                     301,7,9,3,5,2,8,4,6                                                     407,9,1,3,5,8,2,4,6                                                     0
RAA20160910201609094709030780000サラ系Ｃ４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ４組　Ｃ４　サラ系Ｃ４組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000370000001600000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,10,3,4,5,7,9,6,2                                                  208,10,1,3,5,7,4,2,9,6                                                  308,10,5,1,7,6,9,4,(2,3)                                                4010,8,1,5,6,7,3,4,2,9                                                  0
RAA20160917201609164709040280000サラ系３歳１３組　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１３組　１サラ系３歳１サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000907072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,7,6,1,8,4                                                         205,9,7,1,6,4,8                                                         305,9,7,1,6,8,4                                                         407,9,5,1,(6,8),4                                                       0
RAA20161001201609304710040580000魔導王陛下に忠誠の儀を祝１１巻　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     魔導王陛下に忠誠の儀魔導王陛下に魔導王0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000370000001600000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,9,4,8,3,5,6,1                                                     202,7,9,4,8,5,3,6,1                                                     302,7,9,4,5,8,6,3,1                                                     402,9,7,4,6,3,5,(1,8)                                                   0
RAA20160930201609294710030270000サラ系３歳１４組　１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１４組　１サラ系３歳１サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,2,3,9,6,1,8,4                                                     205,7,2,9,3,6,1,8,4                                                     305,2,7,9,3,6,1,4,8                                                     405,2,7,3,6,9,1,4,8                                                     0
RAA20160929201609284710020160000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,4,8,3,1,5,9                                                       202,6,4,8,3,1,5,9                                                       306,2,4,8,3,1,5,9                                                       402,6,4,8,3,1,5,9                                                       0
