RAA20160212201602104418031060000アーバンステージ如月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アーバンステージ如月アーバンステアーバ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,8,10,16,13,7,15,(2,3,14),11,5,12,9,1,4                              406,(8,10),13,16,(7,15),3,14,2,11,5,12,(1,9),4                          00                                                                      00                                                                      0
RAA20160211201602104418030860000サラ系一般　Ｃ２八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,1,15,11,14,(5,12),2,10,7,3,6,16,13,9,8                              40(1,4),15,11,14,(5,12),2,(3,7,10),6,13,(9,16),8                        00                                                                      00                                                                      0
RAA20160212201602114418040870000サラ系一般　Ｃ２十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,12,(2,7,15),14,13,3,(8,16),1,(4,10),(6,9),11                        405,12,2,7,14,15,3,13,1,16,8,4,10,6,9,11                                00                                                                      00                                                                      0
RAA20160224201602234419020750000サラ系一般　Ｃ２八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,(3,12),6,(5,14),1,13,16,7,9,15,4,8,11,10                            402,3,12,(5,14),6,1,13,16,7,(9,15),4,8,11,10                            00                                                                      00                                                                      0
RAA20160211201602104418031260000立春特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          立春特別　Ｃ１一　　立春特別　Ｃ立春特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,(1,9),4,2,(6,8),3,10                                              205,7,9,1,4,2,6,8,3,10                                                  305,7,4,9,1,6,2,3,10,8                                                  405,7,4,9,6,1,2,3,10,8                                                  0
RAA20160224201602234419021150000朧月賞　Ｂ２二Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          朧月賞　Ｂ２二Ｂ３一朧月賞　Ｂ２朧月賞0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001615151030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,9,13,4,2,14,15,8,11,16,5,12,10,6                                  201,3,9,(4,13),2,14,15,(8,11),5,16,12,10,6                              301,9,3,8,(2,14),13,15,4,11,16,6,5,10,12                                401,9,8,3,2,14,13,11,15,16,5,4,6,10,12                                  0
RAA20160223201602224419010940000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(9,10),11,8,13,7,(2,4,14),3,12,6,5                                  201,9,10,8,11,7,2,13,4,14,3,12,6,5                                      30(1,9),11,8,14,7,2,(4,10),13,3,5,12,6                                  40(1,9),11,14,8,(2,7),4,3,(5,12),13,10,6                                0
RAA20160212201602114418040670000サラ系一般　Ｃ３三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３三四サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001109091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,3,9,11,8,6,7,4,10                                                   302,3,4,9,6,11,8,7,10                                                   402,3,6,(4,9),11,(7,8),10                                               00                                                                      0
RAA20160226201602254419040970000サラ系一般　Ｃ２１２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,6,2,5,1,8,11,7,12,10,4,3,9                                         2013,6,2,5,1,11,8,7,12,10,4,(3,9)                                       3013,6,(2,5),(1,11),7,8,12,3,10,4,9                                     4013,6,(2,5),11,1,7,8,12,10,4,3,9                                       0
RAA20160209201602084418011240000早春特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          早春特別　Ｃ１二　　早春特別　Ｃ早春特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,3,5,11,1,8,6,7,13,9,(4,10),12                                       30(2,3),5,1,11,6,7,8,13,10,9,12,4                                       402,3,5,1,11,7,6,10,8,13,9,12,4                                         00                                                                      0
RAA20160223201602224419011240000東風特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          東風特別　Ｃ１二　　東風特別　Ｃ東風特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,7,3,9,1,2,5,8,(4,11),12,10                                          306,7,9,5,3,(1,8),11,4,12,2,10                                          406,7,(3,9),5,1,11,4,12,8,2,10                                          00                                                                      0
