RAA20161013201610124711021060000三番叟特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          三番叟特別（中央交流三番叟特別（三番叟0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,1,3,(2,4),6                                                       205,7,1,2,4,3,6                                                         307,1,6,5,3,2,4                                                         406,7,1,3,5,2,4                                                         0
RAA20161027201610264712021060000白菊特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          白菊特別（中央交流）白菊特別（中白菊特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,9,7,2,4,1,5,6                                                     208,3,9,7,4,2,1,5,6                                                     308,9,3,4,7,1,2,5,6                                                     409,8,4,3,7,2,(1,5),6                                                   0
RAA20161013201610124711020260000赤塚社長お誕生日おめでとう記念　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          赤塚社長お誕生日おめ赤塚社長お誕赤塚社0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,8,5,1,2,(4,6),7                                                   203,9,8,1,5,2,(4,6),7                                                   309,3,5,2,8,(1,6),7,4                                                   409,5,3,2,8,6,7,1,4                                                     0
RAA20161012201610114711010950000ジュニアクラウン（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                                   ジュニアクラウン（中ジュニアクラジュニ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    00025000000062500000250000001500000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,2,7,9,4,3,8,6,5                                                  2010,1,2,7,9,4,3,8,6,5                                                  3010,1,(2,4),9,7,3,8,6,5                                                4010,1,4,7,(2,9),8,3,6,5                                                0
RAA20161012201610114711011050000陣屋特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          陣屋特別　Ｂ１　　　陣屋特別　Ｂ陣屋特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    000029000000067000000290000002100000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101009201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,6),2,9,3,1,10,8,7                                                  204,6,2,9,1,3,8,10,7                                                    304,2,6,(3,9),1,(7,10),8                                                404,2,6,9,3,1,8,7,10                                                    0
RAA20161013201610124711020160000サラ系３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１１組　１サラ系３歳１サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,8,2,4,1,9,3,7                                                     206,5,8,2,4,1,9,3,7                                                     306,5,2,8,4,1,9,3,7                                                     406,5,(2,4),(1,8),9,3,7                                                 0
RAA20161025201610244712010540000陽奈望１２歳おめでとう記念　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          陽奈望１２歳おめでと陽奈望１２歳陽奈望0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,3,9,4,8,2,1                                                     205,6,7,3,9,4,8,2,1                                                     305,6,7,(3,9),8,(2,4),1                                                 406,(5,7),3,9,8,2,4,1                                                   0
RAA20161025201610244712010340000サラ系２歳２組特選　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳２組特選　サラ系２歳２サラ系0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000390000000900000003900000028000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,3,5,1,2                                                         204,6,7,3,5,1,2                                                         30(5,6),4,7,(2,3),1                                                     406,5,4,2,7,1,3                                                         0
RAA20161015201610144711040280000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,1,9,7,4,8,6                                                     202,3,5,1,9,7,8,4,6                                                     302,3,5,9,1,7,4,8,6                                                     402,3,9,5,1,4,8,7,6                                                     0
RAA20161015201610144711041080000岐阜金賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　GIFU KIN SHO                                                                                                                                                                                                                                                                                                                                                            岐阜金賞　　　　　　岐阜金賞　　岐阜金0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0002300000005750000025300000138000000690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,10,7,2,9,3,1,4,8                                                  206,5,10,7,2,9,3,1,4,8                                                  306,5,10,7,8,3,4,2,1,9                                                  405,10,6,8,7,3,4,1,2,9                                                  0
RAA20161012201610114711010550000中野正庸誕生記念　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          中野正庸誕生記念　６中野正庸誕生中野正0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,6,3,1,10,7,5,4,9                                                  202,8,3,6,1,10,4,7,5,9                                                  308,6,1,2,10,3,4,7,5,9                                                  408,6,1,10,3,(2,4),7,5,9                                                0
RAA20161029201610284712040280000祝！杉本哲也さんお誕生記念　１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          祝！杉本哲也さんお誕祝！杉本哲也祝！杉0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000530000002300000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,4,7,2,8,3,1,5                                                     206,9,(2,4),7,8,3,1,5                                                   306,9,4,2,7,8,3,5,1                                                     404,6,9,2,7,8,3,(1,5)                                                   0
