RAA20160201201601315416010320000Ｃ３－１２　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－１２　Ｃ３　　Ｃ３－１２　Ｃ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,4,6,1,5,2,3                                                       208,7,(4,6),1,5,2,3                                                     307,(6,8),4,1,5,(2,3)                                                   406,7,4,1,2,5,8,3                                                       0
RAA20160118201601175415011120000初釜特別　Ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     初釜特別　Ａ　　　　初釜特別　Ａ初釜特0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,3,2,5,(1,4),7                                                     208,6,3,(2,5),1,4,7                                                     308,6,5,3,(1,2),4,7                                                     40(5,8),(1,2),6,3,(4,7)                                                 0
RAA20160110201601095414040110000冬でもナイター特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          冬でもナイター特別　冬でもナイタ冬でも0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,(1,5),3,11,6,8,(4,10),9,7                                           202,5,1,3,11,6,4,8,9,10,7                                               302,(3,5),1,11,6,4,9,8,(7,10)                                           402,(1,3),5,11,6,4,9,7,10,8                                             0
