RAA20161123201611224208021050000浦和記念（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　URAWA KINEN                                                                                                                                                                                                                                                                                                                                                             浦和記念（中央交流）浦和記念（中浦和記0000B 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　200000002300    0035000000122500000700000003500000017500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,5,11,4,7,1,10,3,8                                               202,6,9,5,11,4,7,1,10,3,8                                               306,9,2,4,5,11,1,10,3,8,7                                               406,9,4,2,5,1,11,10,8,3,7                                               0
RAA20161125201611244208040970000マルチウイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチウイン特別（中マルチウインマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00040000000120000000680000005200000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121250400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,7,11,5,8,1,12,6,4,9,3                                            2010,7,11,2,5,8,1,4,12,6,9,3                                            3010,7,11,2,5,8,1,4,6,3,12,9                                            4010,7,2,1,11,5,8,6,3,4,12,9                                            0
RAA20161124201611234208030760000東松山の梨ゼリー賞　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東松山の梨ゼリー賞　東松山の梨ゼ東松山0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00011000000033000000187000001430000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,3,10,11,1,9,8,7,5,2,6,4                                            2012,3,11,1,10,9,8,7,5,4,2,6                                            303,12,11,1,9,8,10,7,4,5,2,6                                            4011,3,1,12,4,2,9,8,5,10,7,6                                            0
RAA20161123201611224208021150000山茶花特別　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          山茶花特別　Ｂ３三　山茶花特別　山茶花0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,11,4,10,5,7,9,12,1,6,8,3                                            202,11,4,10,7,5,9,12,1,6,3,8                                            302,4,11,10,7,5,12,1,9,6,3,8                                            402,4,10,11,5,3,7,1,12,9,6,8                                            0
RAA20161122201611214208010740000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,11,2,9,10,12,4,5,3,6,8                                            201,7,11,2,9,4,12,5,10,3,8,6                                            301,2,7,4,5,11,12,9,3,6,10,8                                            401,2,4,7,5,3,12,8,6,11,10,9                                            0
RAA20161125201611244208040870000小川町のらぼう菜賞　Ｃ１四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     小川町のらぼう菜賞　小川町のらぼ小川町0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111105040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,8,11,1,10,4,5,7,6,9                                               202,8,3,1,(10,11),4,5,6,7,9                                             302,8,1,11,9,4,6,10,7,5,3                                               402,1,11,7,8,4,9,6,5,10                                                 0
RAA20161122201611214208011040000霜月特別　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          霜月特別　Ｂ３四　　霜月特別　Ｂ霜月特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,10,1,4,7,5,6,11,12,2,9                                            208,3,10,1,4,7,5,6,11,12,2,9                                            303,8,1,(4,6),5,12,7,11,10,9,2                                          403,1,12,8,4,6,5,7,11,9,2,10                                            0
RAA20161124201611234208030660000サラ系一般　Ｃ２八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,1,12,7,10,2,11,5,9,4,3                                            208,6,1,12,2,7,10,5,11,4,9,3                                            308,6,12,4,1,11,9,3,2,7,10,5                                            406,8,2,1,4,11,9,12,5,3,7,10                                            0
RAA20161124201611234208030560000サラ系一般　Ｃ２八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,1,12,2,5,10,9,11,8,6,4                                            203,7,1,12,2,10,5,8,9,11,4,6                                            303,10,12,7,1,11,5,2,6,9,8,4                                            403,10,1,5,12,7,9,6,4,2,11,8                                            0
RAA20161122201611214208010140000サラ系２歳　三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　三　　　サラ系２歳　サラ系0000  110000000000000000000７０万上１９０万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001400000004200000023800000182000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,8,10,5,11,3,9,7,4,12                                            201,2,10,6,8,11,3,5,9,7,4,12                                            301,6,2,10,8,4,3,11,9,7,5,12                                            401,6,10,4,7,3,2,9,8,11,5,12                                            0
RAA20161124201611234208030160000サラ系３歳　五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　五　　　サラ系３歳　サラ系0000  120000000000000000000１１０万上１３３万未満　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,11,9,12,2,5,4,3,8,6,1                                            207,9,10,11,12,2,5,3,4,8,6,1                                            307,11,9,10,12,5,2,4,3,6,8,1                                            407,11,9,12,10,5,2,3,6,4,8,1                                            0
