RAA20160519201605184403030360000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000８６万上１５０万未満　　　　　　　　　　　　　　　　　　　　120000002400    0001500000006000000037500000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,10,8,4,2,3,13,14,12,1,11,5,7,9                                      406,10,8,2,4,3,13,14,12,1,11,5,9,7                                      00                                                                      00                                                                      0
RAA20160520201605194403041270000カーネーション特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          カーネーション特別　カーネーショカーネ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001900000007600000047500000285000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,12,(7,13),5,9,6,3,11,1,8,2,14                                    20(4,10),12,7,5,13,9,6,(3,8,11),2,1,14                                  30(10,12),(9,13),7,5,8,4,6,11,(3,14),1,2                                4010,12,9,13,7,5,8,11,6,14,3,4,1,2                                      0
RAA20160521201605204403051280000薫風特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          薫風特別　Ｃ１一　　薫風特別　Ｃ薫風特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002300000009200000057500000345000002300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515152010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,12,13,14,2,15,10,11,3,9,8,7,6,5,4                                   201,12,13,2,14,10,15,11,3,(8,9),7,6,5,4                                 3012,13,1,15,2,10,14,3,11,8,9,7,5,4,6                                   4012,13,15,1,10,2,3,8,11,14,5,4,7,9,6                                   0
RAA20160519201605174403021150000ゆりかもめオープン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       ゆりかもめオープン　ゆりかもめオゆりか0000E 130001000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　120000002400    00059000000236000001475000008850000059000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,3,11,12,5,1,14,4,2,8,16,9,13,7,15,6                                4010,3,5,11,12,1,14,4,2,8,(9,16),13,7,15,6                              00                                                                      00                                                                      0
RAA20160519201605184403030560000サラ系一般　Ｃ１四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000006000000037500000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,1,8,12,3,5,7,9,11,13,2,4,10                                         406,1,8,12,3,5,7,11,9,2,13,4,10                                         00                                                                      00                                                                      0
RAA20160521201605204403050980000サラ系一般　Ｃ２１４Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,2,5,1,3,4,6,10,8                                                  209,2,7,1,5,3,6,10,4,8                                                  302,7,9,3,1,(5,10),4,6,8                                                402,7,9,(1,3),10,5,4,6,8                                                0
RAA20160519201605174403020950000サラ系一般　Ｃ２八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,13,7,2,4,12,1,11,6,(3,10),8,9                                       205,13,(2,7),4,(1,12),11,6,3,8,10,9                                     3013,5,4,2,1,12,7,6,9,3,8,11,10                                         4013,4,5,1,12,2,6,7,9,3,8,11,10                                         0
