RAA20160722201607214304021270000８時３０分だョ！九十九里特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ８時３０分だョ！九十８時３０分だ８時３0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707074040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,6,2,3,7                                                         201,4,5,6,3,7,2                                                         301,4,5,6,7,3,2                                                         401,4,6,5,7,3,2                                                         0
RAA20160721201607204304011160000習志野きらっとスプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NARASHINO KIRRATO SPRINT                                                                                                                                                                                                                                                                                                                                                習志野きらっとスプリ習志野きらっ習志野0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　100000002300    001000000003500000020000000100000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,12),14,3,11,13,2,10,9,7,1,6,5,8                                    404,12,14,3,11,13,2,9,10,7,1,6,5,8                                      00                                                                      00                                                                      0
RAA20160722201607214304020670000結婚一周年記念竹内芳男美和夫妻永遠に　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     結婚一周年記念竹内芳結婚一周年記結婚一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    00009000000027000000162000001080000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141440400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,11,12,9,3,6,14,4,2,5,8,13,1,7                                      4010,11,12,9,3,6,14,2,5,4,13,8,1,7                                      00                                                                      00                                                                      0
RAA20160723201607224304030380000サラ系一般　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000900000002700000016200000108000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,1,7,4,3,6,11,9,2,5,12                                            208,10,1,7,3,11,4,6,2,9,12,5                                            308,10,11,7,1,4,6,3,2,5,12,9                                            408,10,11,6,1,4,9,2,5,3,7,12                                            0
RAA20160721201607204304010660000レイクサイドスター特別（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 レイクサイドスター特レイクサイドレイク0000E 110000000000000000000サラ系２歳　３０万上　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,6,8,2,1,5,3                                                       204,7,6,8,1,5,3,2                                                       304,7,8,6,5,(1,3),2                                                     404,7,8,6,3,5,2,1                                                       0
RAA20160721201607204304011060000楽天競馬で買いま賞　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     楽天競馬で買いま賞　楽天競馬で買楽天競0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,14,12,4,13,3,9,8,10,11,1,7,6,5                                      202,14,12,4,13,3,9,10,8,11,1,7,6,5                                      302,14,12,(4,13),3,9,8,10,11,1,7,6,5                                    402,14,12,13,4,3,9,8,1,11,7,6,5,10                                      0
RAA20160723201607224304030680000リアトリスデビュー　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   リアトリスデビュー　リアトリスデリアト0000  110000000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002300    0002500000007500000045000000300000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000907072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,2,6,3,4,1,9                                                         407,2,4,6,9,3,1                                                         00                                                                      00                                                                      0
