RAA20160708201607075008020470000Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３　　　　　　　　Ｃ３　　　　Ｃ３　0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000200000000480000002400000016000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,2,7,6,10,1,5,3,8                                                  204,9,7,2,6,10,1,5,3,8                                                  304,9,7,2,6,10,5,8,3,1                                                  404,2,9,6,10,7,5,3,8,1                                                  0
RAA20160728201607275009040460000Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３　　　　　　　　Ｃ３　　　　Ｃ３　0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000200000000480000002400000016000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,9,2,4,6,7,10,8,5                                                  201,3,9,2,4,6,7,8,10,5                                                  303,1,9,6,2,4,7,10,8,5                                                  409,3,1,6,7,2,4,10,8,5                                                  0
RAA20160715201607145008050970000Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｂ２　　　　　　　　Ｂ２　　　　Ｂ２　0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000700000001680000008400000056000000420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,10,2,8,1,7,9,6,5,3                                               204,11,10,2,8,1,7,9,6,5,3                                               304,11,10,(2,8),9,7,1,6,5,3                                             4011,4,10,2,8,7,9,1,6,3,5                                               0
RAA20160719201607155008060480000Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１　　　　　　　　Ｃ１　　　　Ｃ１　0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000000960000004800000032000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,4,7,5,6,3                                                         201,2,7,4,5,6,3                                                         301,2,7,4,6,5,3                                                         402,7,1,6,4,5,3                                                         0
RAA20160728201607275009041160000Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ１　　　　　　　　Ｃ１　　　　Ｃ１　0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000450000001080000005400000036000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,12,11,9,(3,7),1,6,8,5,4                                          202,10,12,11,9,7,3,1,6,8,5,4                                            302,10,12,11,7,9,6,3,1,8,4,5                                            402,10,7,11,6,9,12,1,3,8,4,5                                            0
RAA20160707201607065008010460000Ｃ３一（中央騎手騎乗）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３一（中央騎手騎乗Ｃ３一（中央Ｃ３一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000480000002400000016000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,2,7,3,10,5,4,9,6                                                  208,1,2,3,7,10,4,5,6,9                                                  3010,2,7,8,1,3,4,6,9,5                                                  402,7,10,8,3,1,4,6,9,5                                                  0
RAA20160729201607285009050270000Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３二　　　　　　　Ｃ３二　　　Ｃ３二0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000480000002400000016000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,8,(4,6),1,5,7,9,2                                                203,10,(6,8),1,4,5,7,9,2                                                303,10,6,4,8,1,7,5,9,2                                                  403,10,(1,4),6,7,5,8,9,2                                                0
RAA20160725201607225009030780000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000720000003600000024000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,8,6,1,5,3,4,10,2                                                  207,9,6,8,1,5,3,4,10,2                                                  30(3,9),7,1,8,6,5,2,10,4                                                403,9,1,8,7,6,2,5,10,4                                                  0
RAA20160729201607285009050870000Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ１一　　　　　　　Ｃ１一　　　Ｃ１一0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004500000010800000054000000360000002700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,8,11,4,1,10,6,2,5,3,7,9                                            208,12,4,11,1,10,6,7,2,5,3,9                                            3012,8,11,4,1,6,10,7,2,5,3,9                                            4012,11,8,4,1,6,10,7,2,5,3,9                                            0
RAA20160721201607205009011160000Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｂ２　　　　　　　　Ｂ２　　　　Ｂ２　0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00007000000016800000084000000560000004200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,9,11,(1,10),8,4,2,5,3,(6,7)                                        2012,9,11,1,10,2,8,4,5,3,(6,7)                                          3012,9,11,1,10,4,2,5,8,3,7,6                                            409,12,1,11,5,10,2,4,8,7,3,6                                            0
