RAA20161005201610044614041150000白山大賞典（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAKUSAN DAISHOTEN                                                                                                                                                                                                                                                                                                                                                       白山大賞典（中央交流白山大賞典（白山大0000C 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　210000002400    0021000000048300000252000001890000012600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,5,8,11,2,10,3,7,6,4,1                                            209,12,(5,8),(2,11),(3,6,10),7,1,4                                      309,12,(5,8),11,2,6,3,10,7,1,4                                          409,12,8,5,2,11,(3,6),(7,10),(1,4)                                      0
RAA20161026201610254616021050000加賀白山賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          加賀白山賞（中央交流加賀白山賞（加賀白0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000080000000160000000720000005600000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(9,10),11,4,8,1,5,7,2,6,3                                             209,10,11,4,8,1,5,7,2,3,6                                               309,10,11,4,1,8,5,2,3,7,6                                               409,10,11,1,4,5,2,8,6,3,7                                               0
RAA20161026201610254616021250000サラ系一般　Ｂ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ１２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002700000005400000024000000180000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,2,6,10,(1,8),(3,4),11,7,9,5                                        202,12,6,1,(4,10),(3,8),11,7,9,5                                        3012,(2,10),(4,6,8),11,3,9,1,7,5                                        4010,11,12,4,9,(2,6),(3,7),8,(1,5)                                      0
RAA20170126201610184615041150000金沢シンデレラＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KANAZAWA CINDERELLA CUP                                                                                                                                                                                                                                                                                                                                                 金沢シンデレラＣ　　金沢シンデレ金沢シ0000D 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0003000000006000000027000000210000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,9,11,7,10,1,3,5,8,6                                               202,4,9,11,(3,7),1,10,5,6,8                                             302,4,9,11,7,1,3,(5,10),6,8                                             402,11,4,7,3,9,1,5,10,6,8                                               0
RAA20161024201610234616010520000サラ系一般　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２８　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,2,(3,5,6,9),7,8,11,4                                             201,10,2,6,9,3,5,7,8,11,4                                               301,10,2,3,9,6,7,(5,8),11,4                                             401,2,10,3,8,6,(5,9),11,7,4                                             0
RAA20161003201610024614030820000サラ系一般　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,9,12,1,5,3,7,2,10,11                                              206,9,4,12,1,5,7,3,2,(10,11)                                            306,9,4,12,7,5,1,(2,3),11,10                                            409,6,4,12,(5,7),11,3,2,10,1                                            0
RAA20161017201610164615030720000サラ系一般　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１７　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,(2,9),4,5,3,11,(1,10),7                                           208,6,2,9,4,(3,5),11,1,(7,10)                                           308,6,9,2,11,3,4,7,5,(1,10)                                             408,6,9,2,(3,11),1,7,4,5,10                                             0
RAA20161010201610094615010120000サラ系一般　Ｃ２１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,4,(1,6),5,3,7,8                                                   20(2,9),6,4,1,3,5,7,8                                                   30(2,9),6,4,3,7,1,5,8                                                   409,6,7,(2,4),3,1,5,8                                                   0
RAA20161024201610234616010220000サラ系一般　Ｃ２１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100910100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,7,8,(5,9),2,6,4,1                                                2010,3,7,5,8,9,2,6,4,1                                                  3010,3,7,5,8,9,(2,4),6,1                                                40(3,10),5,7,9,8,4,2,6                                                  0
RAA20161017201610164615030420000サラ系一般　Ｃ２二走６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二走サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,1,10,6,3,5,4,7,9                                                  202,8,1,6,10,3,5,4,7,9                                                  302,8,6,10,1,3,(5,7),4,9                                                408,(2,6),3,10,1,7,5,4,9                                                0
RAA20161026201610254616020150000サラ系一般　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,4,10,(3,5),(2,8,11),9                                           20(1,6),7,4,3,5,(2,10),8,11,9                                           30(1,6),7,4,3,5,(8,10),2,9,11                                           406,1,7,4,3,(8,9),10,5,2,11                                             0
RAA20161005201610044614040850000九谷焼ロディ杯　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     九谷焼ロディ杯　Ｃ１九谷焼ロディ九谷焼0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,8,(6,10),(5,7),11,12,4,3,1                                        202,9,(6,8,10),5,7,11,4,12,3,1                                          302,9,8,10,5,6,12,(3,4),7,(1,11)                                        402,8,9,10,(5,12),(1,6),4,3,7,11                                        0
RAA20161010201610094615010720000サラ系一般　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２８　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    00002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,1,5,(3,7,8),(2,9),4,6                                           2010,11,(1,5),8,3,7,9,2,4,6                                             3010,(5,11),8,1,7,3,9,2,4,6                                             40(5,10),8,11,1,7,3,9,6,2,4                                             0
RAA20161019201610184615040750000サラ系一般　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１３　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,2,10,(1,4),(9,12),(6,11),5,8                                      203,7,(2,12),(4,10),9,11,6,1,5,8                                        303,7,(10,12),11,2,9,(5,6),4,(1,8)                                      407,3,10,12,2,9,(6,11),5,8,(1,4)                                        0
RAA20161026201610254616020650000河北潟ふれあいフェスタ特別　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          河北潟ふれあいフェス河北潟ふれあ河北潟0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,11,9,10,(6,7),3,2,8,1                                             205,(4,11),9,10,7,6,(2,3),8,1                                           305,4,11,6,9,10,7,(2,3),8,1                                             405,4,11,6,9,7,10,2,3,1,8                                               0
RAA20161005201610044614040650000大地記念盃　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     大地記念盃　Ｃ１４　大地記念盃　大地記0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002100000004200000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,6,(1,7),9,(3,5,8),(2,4)                                         2010,11,(1,6),7,9,3,8,(4,5),2                                           30(6,7,10),11,1,9,4,(2,8),(3,5)                                         407,6,10,(9,11),(2,4),(1,8),3,5                                         0
RAA20161017201610164615030920000サラ系一般　Ｂ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２４　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000230000000460000002000000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,(9,10),(5,11),8,3,6,(1,2)                                         20(4,7),9,10,11,5,8,3,6,2,1                                             304,7,9,(10,11),8,5,3,6,(1,2)                                           404,9,11,(7,8,10),(3,5,6),1,2                                           0
RAA20161031201610304616030420000サラ系一般　Ｃ２二走４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二走サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,3,9,7,4,1,5,8                                                     206,2,3,(7,9),(1,5),4,8                                                 306,2,1,3,9,(5,7),4,8                                                   40(2,6),1,3,5,9,7,4,8                                                   0
