RAA20160707201607064808021060000名古屋ＣＣマスカット賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣマスカット名古屋ＣＣマ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004000000010000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010090910100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,5,3,7,2,1,6,4                                                    2010,9,5,3,7,2,1,6,4                                                    3010,9,5,3,7,2,1,6,4                                                    40(9,10),(5,7),3,1,2,6,4                                                0
RAA20160707201607064808020660000サラＣ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ９組　Ｃ９　　サラＣ９組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,3,4,2,1,8,9,5                                                     207,6,4,3,(1,2),8,9,5                                                   307,6,3,4,1,8,2,9,5                                                     407,6,3,(1,4),8,(2,9),5                                                 0
RAA20160708201607074808030270000サラ３歳７組　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳７組　７　　サラ３歳７組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,1,2,5,3,4,6                                                       208,7,1,2,5,6,3,4                                                       308,7,1,6,(2,5),4,3                                                     408,7,1,5,2,4,6,3                                                       0
RAA20160721201607204809020160000サラ３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳５組　５　　サラ３歳５組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,2,4,3,1,5                                                       206,7,8,4,2,3,1,5                                                       306,7,8,4,2,3,1,5                                                       406,7,4,8,3,2,1,5                                                       0
RAA20160706201607054808010650000サラＣ１３組　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１３組　Ｃ１３サラＣ１３組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,9,6,7,8,4,2,1                                                     203,5,9,6,7,4,8,2,1                                                     303,5,9,6,4,7,8,1,2                                                     403,6,9,5,4,7,1,8,2                                                     0
RAA20160721201607204809020260000サラ３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳４組　４　　サラ３歳４組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,6,1,2,8,3,4                                                       207,5,6,1,2,8,3,4                                                       307,5,6,1,2,8,3,4                                                       407,5,6,2,1,8,3,4                                                       0
RAA20160721201607204809021260000イワカガミ特別　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          イワカガミ特別　Ｃ１イワカガミ特イワカ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,2,7,3,6,4,1,5                                                     208,9,(2,3),7,6,4,5,1                                                   308,9,3,2,6,7,4,5,1                                                     403,(8,9),(2,6),4,5,7,1                                                 0
RAA20160708201607074808030470000サラ３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳５組　５　　サラ３歳５組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,7,1,3,6,2,4                                                       205,8,1,7,3,6,2,4                                                       305,8,(1,7),(3,6),2,4                                                   405,1,8,7,6,3,2,4                                                       0
RAA20160721201607204809020360000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,3,6,1,7,8,2,5                                                     204,9,3,6,1,7,2,5,8                                                     304,9,3,6,7,1,2,5,8                                                     404,9,6,3,7,1,2,8,5                                                     0
RAA20160706201607054808010850000孔雀特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               孔雀特別　１　　　　孔雀特別　１孔雀特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,2,3,4,1                                                           205,6,2,4,3,1                                                           305,6,2,3,4,1                                                           405,(2,3),4,6,1                                                         0
RAA20160707201607064808020960000てるてる坊主賞　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     てるてる坊主賞　Ｂ４てるてる坊主てるて0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,1,7,3,6,4,2                                                       205,8,1,7,3,6,4,2                                                       305,8,1,7,(4,6),3,2                                                     405,1,4,8,7,6,3,2                                                       0
RAA20160722201607214809031070000朱雀神賞　Ｂ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     朱雀神賞　Ｂ７　　　朱雀神賞　Ｂ朱雀神0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,3,6,5,1,2,4                                                     207,(8,9),3,6,5,1,(2,4)                                                 307,9,8,3,6,5,1,(2,4)                                                   40(7,9),8,3,6,5,1,4,2                                                   0
RAA20160706201607054808010150000サラＣ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１８組　Ｃ１８サラＣ１８組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,2,4,6,8,3,5,7                                                       401,2,4,8,6,5,3,7                                                       00                                                                      00                                                                      0
RAA20160706201607054808010350000サラＣ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１６組　Ｃ１６サラＣ１６組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,3,8,7,1,5,2,9                                                     206,4,3,8,7,2,5,1,9                                                     306,4,(7,8),5,2,3,1,9                                                   406,7,8,4,5,2,3,1,9                                                     0
