RAA20161117201611164413030560000サラ系一般　Ｃ３三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３三四サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000003200000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,4,6,2,7,14,3,5,13,10,8,12,11,9                                      40(1,4),2,6,7,5,3,8,14,10,13,11,12,9                                    00                                                                      00                                                                      0
RAA20161129201611284414020740000サラ系一般　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３四　サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001900000007600000047500000285000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,8,13,4,12,9,(1,5),11,6,3,2,10                                       407,13,8,4,12,9,1,5,11,6,2,3,10                                         00                                                                      00                                                                      0
RAA20161130201611294414030650000サラ系一般　Ｃ２十１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,2,8,(11,12),1,3,4,10,6,5,9,13                                       3012,7,2,11,(4,10),9,6,1,3,5,8,13                                       40(7,12),2,4,11,6,10,9,1,(3,5),13,8                                     00                                                                      0
RAA20161116201611154413020750000サラ系一般　Ｃ１六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六七サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000006000000037500000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,8,4,6,9,12,(1,11),(10,13),7,2                                     403,5,(4,8),6,9,(1,11),12,10,13,7,2                                     00                                                                      00                                                                      0
RAA20161201201611304414040960000サラ系一般　Ｃ１七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１七八サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000006000000037500000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,10,12,9,6,(1,3),7,11,(4,8),5                                        402,(10,12),9,6,3,1,7,11,8,4,5                                          00                                                                      00                                                                      0
RAA20161201201611304414040160000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　　　　　サラ系２歳　サラ系0000  110002000000000000000１７０万上２７６万未満　　　　　　　　　　　　　　　　　　　120000002400    000190000000760000004750000028500000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,4),9,14,2,5,10,6,13,(3,11),12,8,7                                  404,1,9,(2,5),14,(6,10),11,3,13,(8,12),7                                00                                                                      00                                                                      0
RAA20161116201611154413020650000サラ系一般　Ｃ２七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,(1,6),5,2                                                       203,4,7,(1,6),5,2                                                       30(5,7),3,4,6,1,2                                                       40(5,7),3,4,6,1,2                                                       0
RAA20161129201611284414020840000おおいぬ座特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          おおいぬ座特別　Ｃ２おおいぬ座特おおい0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    00019000000076000000475000002850000019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,(1,2),8,7,5,6,4,10,3,9,12                                          2011,2,1,8,6,7,5,4,9,10,3,12                                            30(2,11),8,4,6,(5,7),1,9,10,3,12                                        40(2,11),4,8,7,6,10,5,1,9,3,12                                          0
RAA20161118201611174413041070000オープス磐梯賞　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          オープス磐梯賞　Ｃ２オープス磐梯オープ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001900000007600000047500000285000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,4,7,12,6,(2,10),9,5,13,8,1,11,14                                    403,4,12,6,10,2,7,(5,8,9),1,(11,13),14                                  00                                                                      00                                                                      0
RAA20161130201611294414030750000サラ系一般　Ｃ２十１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,8,12,3,2,10,13,1,9,(6,7),5                                       204,11,8,12,2,3,10,1,13,9,7,5,6                                         304,(8,11),12,7,3,2,10,13,9,6,1,5                                       404,(8,11),(3,12),2,7,13,10,9,6,1,5                                     0
