UM42006061419771000021197911301980090319770515ヒュウガオーヒ　　　　　　　　　　　ﾋｭｳｶﾞｵｰﾋ                                                                                        0                   00210311100576パーソロン　　　　　　　　　　　　　12203958イワホウシヨウ　　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11100536シプリアニ　　　　　　　　　　　　　12105917ケイホウ　　　　　　　　　　　　　　11300490My Babu                             12300924Oatflake                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100331カバーラツプ二世　　　　　　　　　　12100898マンポウ　　　　　　　　　　　　　　200234田中良平　　　　　　　　　　300167池田　一信　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　462004岩切　博盛　　　　　　　　　　　　　　　　　　　　　　　　　　　000098000000000000000000288000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219771000601197905301980031919770324ミカサヒメ　　　　　　　　　　　　　ﾐｶｻﾋﾒ                                                                                           0                   00210111200012シユーテイングチヤント　　　　　　　12210156ニユーシンモエ　　　　　　　　　　　11300090Tudor Melody                        00000000　　　　　　　　　　　　　　　　　　11200017ロードリージ　　　　　　　　　　　　12104840ハジメクイン　　　　　　　　　　　　11300089Tudor Minstrel                      12300796Matelda                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11100449ゴールドアロー　　　　　　　　　　　12102223チカラリユウ　　　　　　　　　　　　200212瀬戸口勉　　　　　　　　　　330186笠茂牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　162005笠茂　重信　　　　　　　　　　　　　　　　　　　　　　　　　　　000026000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219771000921197905241980041819770328アヤシロウ　　　　　　　　　　　　　ｱﾔｼﾛｳ                                                                                           0                   03210711101068メイジシロー　　　　　　　　　　　　12204192アヤヒリユウ　　　　　　　　　　　　11300048Grey Sovereign                      12103900トリーモス　　　　　　　　　　　　　11100575ダラノーア　　　　　　　　　　　　　12103601ヒビキ　　　　　　　　　　　　　　　11300493Nasrullah                           12401515Kong                                11300113Ballymoss                           12301304Three Weeks                         11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100330ヤサカ　　　　　　　　　　　　　　　12101541ブゼンタマリユウ　　　　　　　　　　200237田之上勲　　　　　　　　　　200186木場　国雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　317001坂田　宗明　　　　　　　　　　　　　　　　　　　　　　　　　　　000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419771001171197905241982033119770428ハイストロード　　　　　　　　　　　ﾊｲｽﾄﾛｰﾄﾞ                            Haisuto Lord(JPN)                                           0                   00210111200017ロードリージ　　　　　　　　　　　　12104840ハジメクイン　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11100449ゴールドアロー　　　　　　　　　　　12102223チカラリユウ　　　　　　　　　　　　11300686Turn-to                             12402714Somethingroyal                      11300488Mr. Trouble                         12301931Athenia                             11300651Tehran                              12100783ニイアンドリア　　　　　　　　　　　11100013トビサクラ　　　　　　　　　　　　　12100849プリンセスリタ　　　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000125000000224300000000188000000094000058500000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419771001191197905241981061019770520フジミスキー　　　　　　　　　　　　ﾌｼﾞﾐｽｷｰ                             Fujimi Ski(JPN)                                             0                   00210311200007グツドリー　　　　　　　　　　　　　12107210ヨシフジ　　　　　　　　　　　　　　11200084スノツブ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100367マイナーズランプ　　　　　　　　　　12103272レンボクイン　　　　　　　　　　　　11300761Mourne                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301085Signal Light                        00000000　　　　　　　　　　　　　　　　　　11100035クリアヅマ　　　　　　　　　　　　　12101178ミスレインボウ　　　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000115300000000000000000292000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219771001211197905301979121419770220ミリオンセンプー　　　　　　　　　　ﾐﾘｵﾝｾﾝﾌﾟｰ                                                                                       0                   03210111200334ミリオンパラ　　　　　　　　　　　　12106294ヒカリヒメ　　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11100328テツノチカラ　　　　　　　　　　　　12102422カツフジ　　　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11301024Free For All                        00000000　　　　　　　　　　　　　　　　　　11100034ツバサ　　　　　　　　　　　　　　　12101215ミスカツフヂ　　　　　　　　　　　　200237田之上勲　　　　　　　　　　200400吉永　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419771001321198303151984060619770430ハマノグットリー　　　　　　　　　　ﾊﾏﾉｸﾞｯﾄﾘｰ                           Hamano Goodly(JPN)                                          0                   05210311200007グツドリー　　　　　　　　　　　　　12202255モンハイネス　　　　　　　　　　　　11200084スノツブ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100535ユアハイネス　　　　　　　　　　　　12103631ソオトウクイン　　　　　　　　　　　11300761Mourne                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300267Chamossaire                         00000000　　　　　　　　　　　　　　　　　　11100263ヒンドスタン　　　　　　　　　　　　12101028ホールドタイト　　　　　　　　　　　200203須貝彦三　　　　　　　　　　000176小園　孝一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　514009柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　000060900000000000000000180000000000000042000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419771001351197902281980111719770501グッドレデイ　　　　　　　　　　　　ｸﾞｯﾄﾞﾚﾃﾞｲ                                                                                       0                   00210111200007グツドリー　　　　　　　　　　　　　12106067ローヤルチエリー　　　　　　　　　　11200084スノツブ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100271ロイヤルウツド　　　　　　　　　　　12101881クインメリー　　　　　　　　　　　　11300761Mourne                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300692Underwood                           00000000　　　　　　　　　　　　　　　　　　11301443Swen                                12302212Mira Maid                           200236谷八郎　　　　　　　　　　　100177服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000090700000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219771001381197905111980120419770426ヤングカツミ　　　　　　　　　　　　ﾔﾝｸﾞｶﾂﾐ                                                                                         0                   03210611200037ウチユウオー　　　　　　　　　　　　12202301ヤングエース　　　　　　　　　　　　11100501テユーダーペリオツド　　　　　　　　12101382セカイイチ　　　　　　　　　　　　　11100328テツノチカラ　　　　　　　　　　　　12103542サンフレーム　　　　　　　　　　　　11300522Owen Tudor                          00000000　　　　　　　　　　　　　　　　　　11300438Knock Out                           12100715フオツクスンダウン　　　　　　　　　11301024Free For All                        00000000　　　　　　　　　　　　　　　　　　11100349マサムネ　　　　　　　　　　　　　　12101620ハツハナ　　　　　　　　　　　　　　200205杉村一馬　　　　　　　　　　630177藤岡　冨雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000016100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219771001811197905301980082219770508カネエイト　　　　　　　　　　　　　ｶﾈｴｲﾄ                                                                                           0                   00210311200136アレツ　　　　　　　　　　　　　　　12108815カネスター　　　　　　　　　　　　　11300167Le Fabuleux                         00000000　　　　　　　　　　　　　　　　　　11100453テツソ　　　　　　　　　　　　　　　12104352ダイサンヒロカネ　　　　　　　　　　11300177Wild Risk                           12300111Anguar                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300535Persian Gulf                        00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12101441シマタカラ　　　　　　　　　　　　　200258長浜彦三　　　　　　　　　　430175和田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　859004松川　八三　　　　　　　　　　　　　　　　　　　　　　　　　　　000002900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
