05141501
5,ピオニエトウショウ,84.59,,50.5,103
6,サクラレグナム,83.90,,50.0,122
7,メイショウハガクレ,85.20,,45.6,90
8,ワールドエンド,84.89,,49.7,108
9,エステーラブ,84.49,,46.3,96
10,ダンシングマオ,84.74,,49.8,98
11,ディアセルヴィス,84.72,,44.5,91
12,キタサンイナズマ,84.40,,48.5,112
05141511
1,シュヴァリエ,97.06,,50.2,73
2,マジックタイム,95.59,,51.8,124
3,サクラパリュール,96.56,,51.8,105
4,プレミアステイタス,96.79,,52.5,107
5,ツクバアスナロ,96.66,,43.8,91
6,フォーエバーモア,95.70,,47.8,130
7,グリサージュ,96.93,,48.9,106
8,タイセイティグレス,96.88,,53.0,112
9,フリュクティドール,97.01,,50.6,85
10,ダイワソフィー,96.65,,43.4,92
11,カノーロ,96.00,,59.5,114
12,デルフィーノ,96.32,,55.6,97
13,セレナビアンカ,96.73,,48.2,76
14,ニシノアカツキ,95.97,,52.9,115
15,ラインハーディー,97.05,,48.4,111
16,デルマサリーチャン,96.61,,41.7,77
05141512
1,フリーアズアバード,82.66,,48.2,100
2,オメガホームラン,82.45,,58.6,110
3,レッドエレンシア,82.83,,45.9,107
4,クリノチョモランマ,82.43,,46.7,104
5,シャドウエミネンス,82.58,,49.8,105
6,ダイワインスパイア,82.52,,53.1,104
7,プロスペラスマム,82.91,,38.7,88
8,エネアド,82.19,,59.2,116
9,モンテフジサン,82.75,,43.4,102
10,アポロオラクル,82.47,,50.8,97
11,ショウナンダイチ,82.41,,56.3,114
12,ジョーオリオン,82.16,,53.4,113
13,アグネスティンクル,82.73,,46.6,85
14,スズノフウジン,82.42,,54.7,102
15,ゴールデンクラウン,82.86,,50.8,110
16,ミエノゴーゴー,82.44,,43.9,104
