04143301
1,ナミノリゴリラ,70.23,46.1,51.5,92
2,スミレタンポポ,70.13,44.7,40.0,109
3,アライドメジャーズ,70.39,72.0,56.6,105
4,コーリンバロック,70.02,33.2,53.8,97
5,ヴィクトリーノース,70.94,46.9,55.2,99
6,スマイルミーティア,70.72,68.1,60.8,114
7,アドニスステラ,69.94,33.3,55.0,94
8,ノーモアベット,69.88,73.1,47.3,109
9,アクティブボス,70.47,29.5,47.4,91
10,エースナンバー,70.85,53.8,54.6,104
11,マニワプリンセス,70.22,44.4,57.8,102
12,ツクバレガーロ,70.25,76.5,43.5,114
13,ラビットボーテ,70.76,48.4,38.6,103
14,ノーフェイト,69.87,64.9,47.1,104
15,トーセンヌーヴォー,70.40,56.2,45.5,101
16,ブレッザバラーレ,71.19,32.5,43.4,109
17,クリノスイートピー,70.82,25.6,52.1,93
04143302
1,ヨザクラマスミ,110.14,28.9,33.3,95
2,ニシノオタケビ,108.85,78.7,59.4,114
3,パーソナルホウセキ,110.84,22.5,33.7,93
4,ギャルソンヌ,109.38,52.5,62.0,99
5,モントレーベイ,110.25,32.9,61.6,105
6,スクリーンショット,108.44,69.8,44.8,115
7,プラチナムスタング,109.63,19.9,49.8,99
8,ウインフォーエバー,109.19,61.1,48.8,104
9,サウスポールツアー,109.37,48.3,53.0,96
10,ラパンルージュ,109.75,42.8,47.8,96
11,スプリームゴールド,109.20,72.5,60.2,101
12,レッドルモンド,108.59,81.2,61.2,121
13,トーセンカナロア,109.67,47.4,42.1,103
14,エレガントソング,108.91,52.3,52.5,106
15,エースオブエース,109.65,51.3,36.8,121
16,トーセンマリオン,109.83,35.2,44.1,91
17,ベンガル,108.94,63.7,44.6,115
18,デトロイトカフェ,109.79,38.1,64.4,95
04143303
1,タカラフローリック,115.95,64.0,51.3,113
2,マリアフィオーレ,116.53,61.3,47.8,111
3,ロークワット,117.77,35.0,49.7,90
4,クィーンオブシバ,116.74,65.5,48.2,108
5,ユーヌベルファム,117.76,25.8,46.9,94
6,スウィートレイラニ,116.12,63.8,59.5,115
7,ワッグルダンス,117.61,46.8,50.3,105
8,モンサンアルビレオ,117.07,58.2,54.9,108
9,ハニーフォンテン,119.00,29.0,50.0,93
10,コウジンシュリー,119.63,18.9,42.4,92
11,キナウ,116.03,52.2,57.3,95
12,ドナアヴィード,115.46,76.7,50.7,119
13,ミルノワール,117.06,50.6,47.8,103
14,ジョイフルハニー,118.37,32.9,49.2,92
15,プロテクション,116.59,68.6,44.0,110
04143304
1,ローゼクヴァルツ,121.43,69.2,,117
2,ピーキー,121.22,71.1,,122
3,カラエ,122.37,31.2,,90
4,ビューロクラート,122.92,27.4,,92
5,グラズヘイム,122.07,28.9,,98
6,マイネルセントラム,125.00,21.9,,0
7,ファイネストアワー,120.85,70.7,,115
8,ゴールドクラウス,121.55,68.9,,121
9,トーセンマルシェ,121.63,73.2,,112
10,ミスアシング,122.19,45.9,,99
11,ボールドジュニア,121.94,52.8,,108
12,エルトント,121.96,55.4,,102
13,レッドウォーリア,121.57,70.2,,124
14,パスファインダー,122.03,41.1,,101
15,ユーカリノカゼ,121.93,55.4,,111
16,ハートオブジュン,122.02,34.0,,111
17,アプレイザル,122.33,34.2,,110
18,マイソウルメイト,122.06,47.6,,107
04143305
1,オープンマーケット,74.21,56.1,44.6,
2,テンプルオブラブ,75.97,40.0,53.9,
3,バッドイナフ,74.97,43.6,45.4,
4,サクラモチ,74.44,53.5,50.1,
5,エイコオヴィグラス,74.61,50.3,49.8,
6,タイセイレグルス,74.81,49.5,52.4,
7,コスモエポール,75.14,49.0,54.3,
8,ファイアフライ,75.22,48.7,54.9,
9,カンタベリーバロン,75.24,44.1,44.1,
10,エマーブルバターユ,74.69,50.7,54.8,
11,ベリサリウス,74.62,45.6,50.9,
12,ジャイアントアイ,74.76,55.3,41.6,
13,トーセンメリッサ,74.30,64.9,51.6,
14,クィーンパレット,75.07,44.8,48.4,
15,ハイアーヴォルト,74.45,53.3,53.2,
04143306
1,ヴァンドデセール,97.75,31.0,48.3,
2,ユノ,97.44,49.9,46.4,
3,スウォードワン,98.33,38.4,48.6,
4,マイティディーバ,98.54,32.4,39.9,
5,テイエムレジェンド,97.99,39.7,61.0,
6,イマジンシチー,97.37,59.6,48.0,
7,キスザスターズ,96.61,68.4,47.9,
8,ハイドンセット,97.63,43.7,63.2,
9,ファストクリス,97.38,34.6,42.4,
10,ストレートプレイ,96.39,55.5,53.4,
11,ネオルミエール,96.08,82.0,45.2,
12,コスモニンブル,96.98,52.6,38.7,
13,カッテカテグリーン,97.36,53.9,49.6,
14,ラブリーメイク,96.03,56.8,51.6,
15,アポロマギーア,97.77,51.4,49.9,
16,フジハイドランジア,97.08,34.3,53.0,
17,クラージュシチー,97.68,64.9,62.9,
04143307
1,プロトコル,72.97,45.1,48.4,105
2,コウギョウサンデー,72.59,38.0,51.0,99
3,メテオーラビアンカ,72.52,55.5,44.8,96
4,ドレッシースタイル,72.29,61.6,48.7,105
5,マレーナ,73.14,52.1,55.5,104
6,フレンチフェロー,72.51,61.9,54.7,114
7,キービスケット,72.90,30.2,55.7,90
8,マイネモントル,73.32,43.0,44.1,89
9,ハルズハッピー,72.44,53.8,46.4,112
10,オータムラヴ,72.69,67.1,50.3,112
11,キボウダクリチャン,73.72,20.3,49.3,90
12,バンビアイ,73.29,27.9,51.2,85
13,バルザック,72.98,46.5,44.2,89
14,ゼンノヒストリエ,72.41,73.3,54.2,110
15,ジョージジョージ,72.67,72.9,51.3,111
04143308
1,ナンヨーノキョー,115.09,28.6,52.1,81
2,ブルーボサノヴァ,113.94,67.4,53.6,104
3,チャードリー,115.15,54.7,53.4,101
4,トーセンハナミズキ,116.01,30.4,41.2,93
5,メテオーリカ,113.96,72.1,53.3,102
6,オクリモノ,114.75,35.4,45.5,95
7,リースリング,114.38,53.4,50.3,100
8,ヤマニンミミック,115.46,52.1,45.6,94
9,レイヨンヴェール,115.40,68.5,53.7,116
10,スプリングデジレ,116.16,27.0,47.1,0
11,ナデシコニッポン,115.94,52.5,48.6,99
12,グリサージュ,115.08,35.5,51.2,121
13,クラリティーエス,112.78,65.5,52.5,103
14,ダイワプロシード,114.77,54.5,48.7,97
15,カナルナニ,114.67,51.7,53.2,93
04143309
1,ゴールウェイ,72.45,36.0,47.5,90
2,エリモフェザー,71.84,40.3,50.5,103
3,デルマヌラリヒョン,72.08,53.2,55.4,118
4,ダークシーカー,71.89,48.9,47.8,110
5,キセキノハナ,71.88,47.4,47.4,105
6,セトアロー,71.87,51.8,54.1,108
7,アテーナーズブレス,71.68,53.2,49.2,100
8,モリトビャクミ,71.82,70.1,51.6,118
9,ダウトレス,71.66,58.4,44.3,102
10,スフィンクス,72.18,43.8,44.8,101
11,サノイチ,71.53,66.7,47.0,110
12,キンシザイル,71.62,63.2,48.7,115
13,サンセルマン,72.31,31.6,50.6,94
14,ペガサスジュニア,71.96,43.8,56.0,95
15,フェアリーライン,72.41,40.8,55.1,109
04143310
1,ジーニマジック,68.58,67.9,,103
2,スーパースター,70.26,11.6,,88
3,ゴールデンクラウン,69.21,30.9,,99
4,ナオミノユメ,68.83,27.6,,95
5,モーニングコール,68.99,45.9,,104
6,エターナルムーン,69.06,56.2,,113
7,ボンジュールココロ,68.59,66.2,,108
8,ケイアイウィルゴー,69.24,61.5,,117
9,サンマディソン,69.12,18.4,,99
10,マンボネフュー,68.72,71.6,,124
11,シンボリディスコ,68.62,72.4,,120
