2014051104010401
1,コーリングユー,75.21,45.9,48.4
2,ファーストフォリオ,73.90,33.0,45.7
3,リワードターン,73.89,37.3,51.8
4,ダブルフェイス,73.11,67.9,57.7
5,モズニントク,73.53,65.9,47.4
6,ネアポリス,73.87,45.1,56.7
7,ミスズモンブラン,73.38,58.8,54.9
8,ハッツオフ,73.36,69.7,44.3
9,ヤマニンキュルミネ,73.37,59.5,48.9
10,ビーチドラゴン,74.02,39.1,43.5
11,ハブーブ,73.43,53.3,50.9
12,オキテスグメシ,73.73,44.1,48.1
13,ハコダテノタカ,74.69,17.0,49.5
14,シュンブレイン,73.50,63.6,41.5
15,デランテーロ,73.76,48.9,60.5
2014051104010402
1,ダイワベンチャー,83.89,35.6,38.7
2,コスモエトワール,83.23,33.0,43.7
3,フヨウアーミーデー,83.50,54.5,48.7
4,バトルスパート,83.47,60.6,47.4
5,スナイパーライフル,85.40,34.4,44.5
6,フェリーチェシチー,83.79,37.5,47.0
7,ファインシュシュ,83.11,57.3,63.7
8,ジェットセッター,82.60,77.1,56.7
9,キシュウセリカ,84.77,23.6,45.5
10,ブラボーハワイ,83.24,55.1,53.3
11,キネオソレイユ,83.12,65.6,54.6
12,ユーヌベルファム,84.23,34.6,52.5
13,イタリアンフェッテ,82.41,59.8,55.2
14,シャトールージュ,84.07,37.7,52.4
15,ヒラボクボーノ,82.36,77.8,49.0
16,マッチレスヒーロー,82.66,55.0,47.1
2014051104010403
1,ピアノコンクール,117.81,50.4,51.5
2,カガグレイハート,117.94,39.4,50.0
3,シャイニンシーザー,116.66,59.8,46.8
4,クラバウターマン,117.50,48.4,50.8
5,ヤマノペガサス,119.12,29.6,45.1
6,グレイトフル,117.93,59.6,43.2
7,ドリームフェイス,118.76,17.9,51.8
8,カリビアンロマンス,117.44,64.4,46.0
9,イタダキマス,118.40,39.2,54.4
10,カフジスター,116.88,63.6,49.2
11,ムスカバード,118.83,30.9,49.7
12,サトノミラクル,116.74,70.1,54.9
13,フラクシヌス,117.09,52.5,47.6
14,クラシックセーラ,117.48,64.5,58.7
15,サトピーオスカル,117.84,58.8,50.1
2014051104010404
1,ドンクーガー,190.96,,
2,エーシンザピーク,191.76,,
3,グリーティングワン,196.13,,
4,フロレント,192.12,,
5,スズカホープ,191.63,,
6,アスターコリント,191.26,,
7,コスモカンタービレ,191.68,,
8,イチザゴールド,194.26,,
9,コスモファントム,191.49,,
10,クリノメダリスト,192.76,,
11,セクシイサウンド,190.32,,
12,ビッグプレゼンター,191.59,,
2014051104010405
