2014121306040301
14,マイネルティンラン,155.82,39.7,
15,オパールパワー,157.81,27.7,
16,アドマイヤイバマ,155.35,73.3,
2014121306040309
1,ゲンキチハヤブサ,69.97,62.3,53.8
2,エイシンアリエル,70.22,45.7,53.5
3,マジックシャトル,69.78,74.4,57.4
4,キッズライトオン,70.25,52.9,54.8
5,アイライン,70.92,28.0,46.5
6,イキオイ,70.18,39.8,52.3
7,ケモノタイプ,70.05,63.7,43.0
8,ゴールドペガサス,70.06,56.1,48.4
9,ヘニースウィフト,70.51,58.8,49.2
10,プレッツェル,70.85,23.2,51.3
11,フジマサジャンボ,70.01,60.6,41.2
12,ヴァリアントアロー,69.74,74.3,54.8
13,デュアルメジャー,70.24,52.0,48.1
14,レッドムーン,71.04,24.0,48.6
15,タイセイスウォード,70.74,33.6,47.0
2014121306040310
1,タナトス,112.71,48.5,51.8
2,キープインタッチ,112.15,73.5,51.0
3,セイカフォルトゥナ,112.95,34.3,46.2
4,バンブーリバプール,113.04,44.1,53.8
5,キャニオンバレー,113.22,49.6,50.5
6,ミッキースマホ,112.16,76.5,46.0
7,アドマイヤジャコモ,113.52,34.5,41.3
8,マイネルクロップ,112.24,68.8,52.2
9,ケイジータイタン,112.96,36.7,46.9
10,ショウナンアポロン,113.30,42.8,50.0
11,ベルウッドテラス,112.55,58.4,48.7
12,マイネルバウンス,112.78,49.0,50.2
13,サンバビーン,113.40,23.6,47.2
14,アサクサポイント,112.84,38.8,59.5
15,ベルサリエーレ,112.85,65.0,54.1
16,オメガスカイツリー,112.30,55.0,50.6
2014121306040311
1,プリンセスメモリー,68.41,40.9,48.7
2,スマートオリオン,67.89,63.4,64.2
3,フレデフォート,68.57,25.8,49.7
4,ワキノブレイブ,68.04,74.9,49.0
5,ルチャドルアスール,68.42,33.8,44.2
6,レオンビスティー,68.19,49.0,50.3
7,モグモグパクパク,68.60,56.7,49.6
8,コウヨウアレス,67.92,64.7,52.1
9,サクラゴスペル,67.82,55.2,55.4
10,アピア,68.32,50.4,41.5
11,ラインブラッド,68.81,13.2,43.8
12,アイラブリリ,68.14,53.9,45.0
13,アフォード,67.97,58.8,54.4
14,サンディエゴシチー,68.49,40.8,46.9
15,セイコーライコウ,67.94,69.7,53.2
16,レオアクティブ,68.70,47.9,51.8
2014121306040312
1,ダイワアクシス,108.28,65.4,54.2
2,マイネルイルミナル,108.63,57.2,49.5
3,シニョリーナ,109.05,48.1,48.1
4,ダイワリベラル,108.12,81.4,52.9
5,ナスノアオバ,109.37,20.2,47.4
6,ライズトゥフェイム,108.22,63.2,50.9
7,アンブリッジローズ,108.92,64.2,49.9
8,ヘルデンテノール,108.36,63.5,51.8
9,シャドウウィザード,108.32,69.1,57.6
10,ノーブルジュピタ,109.32,25.5,48.8
11,アルセーヌシチー,109.27,16.9,47.0
12,マユキ,109.64,32.9,45.5
13,ツクバアズマオー,109.36,65.3,52.1
14,ヴァンデミエール,109.03,26.7,44.4
2014121307040301
