UM42018062120101000350201211010000000020100426シャイニープリンス　　　　　　　　　ｼｬｲﾆｰﾌﾟﾘﾝｽ                          Shiny Prince(JPN)                                           0                   00110511201801キングヘイロー　　　　　　　　　　　12249862ダイタクピア　　　　　　　　　　　　11201333ダンシングブレーヴ　　　　　　　　　12231004グッバイヘイロー　　　　　　　　　　11201354リンドシェーバー　　　　　　　　　　12229811スイートラブ　　　　　　　　　　　　11301153Lyphard                             12404806Navajo Princess                     11301358Halo                                12406316Pound Foolish                       11401308Alydar                              12408008Bersid                              11100795テスコボーイ　　　　　　　　　　　　12208779ネヴアーイチバン　　　　　　　　　　100341栗田博憲　　　　　　　　　　200510コアレススタッド　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　531006小林　昌志　　　　　　　　　　　　　　　　　　　　　　　　　　　001786000000000000000019160000000000000435000000000000006002004005002020006002004005002020000000000000000000003001002002002008001001002002000012000000000000000000001000000001000000001000000000000000000000000000000000004002004003002016000000000001000002000000000000000002000000000000000000002000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003002001004001011001000003000001009000000000000000000002000000001000000000000000000000000000000000000000000000010022007039
UM92012121320101000361201210252012121320100315ベルウッドシード　　　　　　　　　　ﾍﾞﾙｳｯﾄﾞｼｰﾄﾞ                         Bell Wood Seed(JPN)                                         0                   00110311201801キングヘイロー　　　　　　　　　　　12253384ブライティアアップ　　　　　　　　　11201333ダンシングブレーヴ　　　　　　　　　12231004グッバイヘイロー　　　　　　　　　　11404069Singspiel                           12421068Satin Secret                        11301153Lyphard                             12404806Navajo Princess                     11301358Halo                                12406316Pound Foolish                       11402807In The Wings                        12405908Glorious Song                       11401449Thatching                           12412940Silky                               100415菅原泰夫　　　　　　　　　　200510コアレススタッド　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　137030鈴木　照雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001001
UM92013080520101000371201211012013080320100420エルフェンリート　　　　　　　　　　ｴﾙﾌｪﾝﾘｰﾄ                            Elfenlied(JPN)                                              0                   00310711201721チーフベアハート　　　　　　　　　　12255807ブライティアエルフ　　　　　　　　　11402440Chief's Crown                       12416218Amelia Bearhart                     11201913アドマイヤコジーン　　　　　　　　　12243671ブライティアスルー　　　　　　　　　11401155Danzig                              12408740Six Crowns                          11301509Bold Hour                           12416217Myrtlewood Lass                     11402530Cozzene                             12237456アドマイヤマカディ　　　　　　　　　11201144ハイブリツジスルー　　　　　　　　　12223966ケドラ　　　　　　　　　　　　　　　101052菊川正達　　　　　　　　　　200510コアレススタッド　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　851009岡田　牧雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001
UM92013082220101000401201205242013082020100401デンコウシラヌイ　　　　　　　　　　ﾃﾞﾝｺｳｼﾗﾇｲ                           Denko Shiranui(JPN)                                         0                   00110311201721チーフベアハート　　　　　　　　　　12253521ブライティアバード　　　　　　　　　11402440Chief's Crown                       12416218Amelia Bearhart                     11404243Forest Wildcat                      12419717Devil's Fool                        11401155Danzig                              12408740Six Crowns                          11301509Bold Hour                           12416217Myrtlewood Lass                     11402183Storm Cat                           12406183Victoria Beauty                     11402172Devil's Bag                         12412385Gambling Fool                       200356坂口正則　　　　　　　　　　200510コアレススタッド　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　484007田中　康弘　　　　　　　　　　　　　　　　　　　　　　　　　　　000007000000000000000000000000000000000000000000000000000000000000001006000000000000001006000000000000000000000000000000000002000000000000001002000000000000000000000000000000000002000000000000000000000000000000000000000000000000001004000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000000000000000002000000000000000000000000000000000000000000000000000002000000000000000000000000002005007
UM42016051620101000421201209132013012320100521ハクシンファミリー　　　　　　　　　ﾊｸｼﾝﾌｧﾐﾘｰ                           Hakushin Family(JPN)                                        0                   00110311202114サムライハート　　　　　　　　　　　12247131エラボレーション　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12243789エアグルーヴ　　　　　　　　　　　　11201399ロドリゴデトリアーノ　　　　　　　　12231033スプリングブレイク　　　　　　　　　11301358Halo                                12407543Wishing Well                        11201131トニービン　　　　　　　　　　　　　12222943ダイナカール　　　　　　　　　　　　11401986El Gran Senor                       12410137Hot Princess                        11400875Cure the Blues                      12408887April Run                           101029根本康広　　　　　　　　　　230369鹿戸　辰幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　208006新井原　博　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000001002003006005006000000000000000002000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000002023
UM42016042520101000451201212062015012220100519アロウィーバイオ　　　　　　　　　　ｱﾛｳｨｰﾊﾞｲｵ                           Arrowy Bio(JPN)                                             0                   00110311202004ネオユニヴァース　　　　　　　　　　12254449ケイパブルバイオ　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12237614ポインテッドパス　　　　　　　　　　11201741ジェリ　　　　　　　　　　　　　　　12242133ブリリアントバイオ　　　　　　　　　11301358Halo                                12407543Wishing Well                        11401066Kris                                12412004Silken Way                          11402558Theatrical                          12417126Garimpeiro                          11201131トニービン　　　　　　　　　　　　　12231051イングリッシュホーマー　　　　　　　201016西浦勝一　　　　　　　　　　930369清水牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　930800バイオ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000094000000000000000000000000000000000020000000000000001000002000002008001000002000002005000000000000000000000000000000001000000000000000000000000000000000000000001000002000001005000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000002001000001000001000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001001000002000001004000000000000000000003004001002013
UM42014091520101000491201209272013071820100217エンペラーバイオ　　　　　　　　　　ｴﾝﾍﾟﾗｰﾊﾞｲｵ                          Emperor Bio(JPN)                                            0                   00110711202010シルバーチャーム　　　　　　　　　　12246588ハイパーバイオ　　　　　　　　　　　11401442Silver Buck                         12415137Bonnie's Poker                      11201164ブライアンズタイム　　　　　　　　　12233010ディシイペイティング　　　　　　　　11300112Buckpasser                          12406029Silver True                         11300896Poker                               12415136What a Surprise                     11301372Roberto                             12406315Kelley's Day                        11401069Majestic Light                      12403895Squander                            200361坪憲章　　　　　　　　　　　930369清水牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　930800バイオ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000006000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000001000000000000000000000000001003006
UM42017120720101000501201312122014032020100419マルトクスパート　　　　　　　　　　ﾏﾙﾄｸｽﾊﾟｰﾄ                           Marutoku Spurt(JPN)                                         0                   05110311202150アルデバラン２　　　　　　　　　　　12254452マルトク　　　　　　　　　　　　　　11400948Mr. Prospector                      12421993Chimes of Freedom                   11201672マーベラスサンデー　　　　　　　　　12243945エリットビーナス　　　　　　　　　　11300169Raise a Native                      12403815Gold Digger                         11401518Private Account                     12413781Aviance                             11201232サンデーサイレンス　　　　　　　　　12220543モミジダンサー　　　　　　　　　　　11201261ジェイドロバリー　　　　　　　　　　12228821フリースピリツト　　　　　　　　　　200131梅田康雄　　　　　　　　　　930369清水牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　821003高浦　正雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000104500000000000000000000000000000000003500000000000010006004001002012000003002001002011000000000000000000000000001000000002000000000000000000000000000000000000000003001001002006000000000000000003000000000000000000000000001000000002000000000000000000000000000000000000000000000000000000000001000001002005000002000000000001000000001000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000002000000000000000000000000000000000000000002000001001008000001001000001001000000000000000000007008004000035
UM92014011420101000511201204252014011120100331ウルフキングボーイ　　　　　　　　　ｳﾙﾌｷﾝｸﾞﾎﾞｰｲ                         Wolf King Boy(JPN)                                          0                   00310511201659フサイチコンコルド　　　　　　　　　12246215メロディペリオット　　　　　　　　　11401191Caerleon                            12234714バレークイーン　　　　　　　　　　　11200707リアルシヤダイ　　　　　　　　　　　12227119メロデイスキー　　　　　　　　　　　11300096Nijinsky                            12405309Foreseer                            11401591Sadler's Wells                      12407604Sun Princess                        11301372Roberto                             12302584Desert Vixen                        11200415マルゼンスキー　　　　　　　　　　　12205678マツフラワー　　　　　　　　　　　　101076小笠倫弘　　　　　　　　　　930369清水牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　539002廣崎　利洋　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000007000000000000000007000000000000000000000000000000000002000000000000000004000000000000000000000000000000000000000000000000000000000000000000000001000000000000000005000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000001000000000000000000000000000000000000000000000000000000000003001003007
UM92013072920101000531201204252013072820100129エメラルパワー　　　　　　　　　　　ｴﾒﾗﾙﾊﾟﾜｰ                            Emeral Power(JPN)                                           0                   00110411201542フジキセキ　　　　　　　　　　　　　12238902ドルスク　　　　　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229223ミルレーサー　　　　　　　　　　　　11401155Danzig                              12413077La Dolce                            11301358Halo                                12407543Wishing Well                        11300167Le Fabuleux                         12408074Marston's Mill                      11300102Northern Dancer                     12403835Pas de Nom                          11300287Connaught                           12413076Guiding Light                       200379加藤敬二　　　　　　　　　　000362スガタ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平取町　　　　　　　630006高橋　勉　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000002000000000000000000000000001001003
