UM42006061419921000011199406301996101319920225ブラボーバ　　　　　　　　　　　　　ﾌﾞﾗﾎﾞｰﾊﾞ                            Bravo va(USA)                                               0                   06110311401402Miswaki                             12409752Erin R.                             11400948Mr. Prospector                      12404859Hopespringseternal                  11401310Temperence Hill                     12409748Spicy Life                          11300169Raise a Native                      12403815Gold Digger                         11300112Buckpasser                          12302523Rose Bower                          11301359Stop the Music                      12405550Sister Shannon                      11300050Cornish Prince                      12409747Spicy Living                        100371小林常泰　　　　　　　　　　660823Masaru Karibe Southern Projects                                       米　　　　　　　　　104800ガーベラパークスタッド　　　　　　　　　　　　　　　　　　　　　000360000000000000000000840000000000000060000000000000003003000003003033003003000003003010000000000000000000001001000003001004000001000000002003000000000000000000001001000000000001001000000000000002000000000000000000001001000002003006000000000000000001000000000001000000000001000000000000002001000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000002002003001000000001001003000000000000000001001001000000000003001000000000000000000000000000000000005004006007045
UM12004020219921000041199407211995110219920310ゲイリーグランディ　　　　　　　　　ｹﾞｲﾘｰｸﾞﾗﾝﾃﾞｨ                        Gaily Grundy(JPN)                                           0                   00110111200714グランデイ　　　　　　　　　　　　　12232310ゲイリーシーナー　　　　　　　　　　11300798Great Nephew                        12403848Word From Lundy                     11200935ギヤロツプダイナ　　　　　　　　　　12220195ミスカエデ　　　　　　　　　　　　　11300413Honeyway                            12402858Sybil's Niece                       11300176Worden                              12403849Lundy Princess                      11200291ノーザンテースト　　　　　　　　　　12213487アスコツトラツプ　　　　　　　　　　11200157ダストコマンダー　　　　　　　　　　12203596サニーブラツク　　　　　　　　　　　100423上原博之　　　　　　　　　　500508ジィワンファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　871004芳賀　満男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001002003
UM42006061419921000071199503231998042319920413ゲイリーロッキー　　　　　　　　　　ｹﾞｲﾘｰﾛｯｷｰ                           Gaily Rocky(JPN)                                            0                   00110111201234クリエイター　　　　　　　　　　　　12224335フアイブフランス　　　　　　　　　　11300149Mill Reef                           12408885Chalon                              11200291ノーザンテースト　　　　　　　　　　12213498セーヌスポート　　　　　　　　　　　11300101Never Bend                          12403460Milan Mill                          11300397Habitat                             12408884Areola                              11300102Northern Dancer                     12302035Lady Victoria                       11200063ボールドアンドエイブル　　　　　　　12203097タミアナ　　　　　　　　　　　　　　100430柴崎勇　　　　　　　　　　　200052村下牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　906006西谷　守博　　　　　　　　　　　　　　　　　　　　　　　　　　　000267900000000000000000660000000000000040000000000000002002002002002023002002002002002023000000000000000000001000000001001009000000000000000003000000000000000000001002002000000005000000000001001006000000000000000000001000000001001011000000000000000001000000000000000000000000000000000000000002002000001007001000000000000001000000000000000001000000000001000002000000000000000000000000000000000000000000000000000000000000000000000000001000000001001011000000000000000001000000000000000000001002002001001010000000000000000001000000000000000000006014010003033
UM12004020219921000081199411241995110219920408ゲイリーヒュウマ　　　　　　　　　　ｹﾞｲﾘｰﾋｭｳﾏ                           Gaily Hyuma(JPN)                                            0                   03110411201308イナリワン　　　　　　　　　　　　　12220195ミスカエデ　　　　　　　　　　　　　11200449ミルジヨージ　　　　　　　　　　　　12204712テイトヤシマ　　　　　　　　　　　　11200157ダストコマンダー　　　　　　　　　　12203596サニーブラツク　　　　　　　　　　　11300149Mill Reef                           12403463Miss Charisma                       11100798ラークスパー　　　　　　　　　　　　12103679ヤシマジエツト　　　　　　　　　　　11301193Bold Commander                      12301702Dust Storm                          11100743ラパス　　　　　　　　　　　　　　　12102468サリーランド　　　　　　　　　　　　200301増本豊　　　　　　　　　　　200052村下牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　871004芳賀　満男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000001000001001003
UM12004020219921000111199502021995042819920407ゲイリーレクシー　　　　　　　　　　ｹﾞｲﾘｰﾚｸｼｰ                           Gaily Lexy(JPN)                                             0                   00110311201236アロングオール　　　　　　　　　　　12224285リンドビルキス　　　　　　　　　　　11300149Mill Reef                           12408886All Along                           11200141プルバン　　　　　　　　　　　　　　12107247ムーンクローバ　　　　　　　　　　　11300101Never Bend                          12403460Milan Mill                          11400733Targowice                           12302476Agujita                             11300063Sheshoon                            12400740Devastating                         11100248ハクリヨウ　　　　　　　　　　　　　12104134ミスキンカ　　　　　　　　　　　　　100153加藤修甫　　　　　　　　　　500508ジィワンファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　871004芳賀　満男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000001003000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000001002004
UM42006061419921000131199502161997040619920401ゲイリーハヤテ　　　　　　　　　　　ｹﾞｲﾘｰﾊﾔﾃ                            Gaily Hayate(JPN)                                           0                   03110311201287アイネスフウジン　　　　　　　　　　12229250ロマンシンザホオン　　　　　　　　　11200138シーホーク　　　　　　　　　　　　　12215872テスコパール　　　　　　　　　　　　11401936Saratoga Six                        12408160Mallorca                            11300405Herbager                            12402572Sea Nymph                           11100795テスコボーイ　　　　　　　　　　　　12107986ムツミパール　　　　　　　　　　　　11401308Alydar                              12407486Priceless Fame                      11401621Full Out                            12408159Heladi                              100409二ノ宮敬　　　　　　　　　　500508ジィワンファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　871004芳賀　満男　　　　　　　　　　　　　　　　　　　　　　　　　　　000363800000000000000001100000000000000060000000000000003002000001001004003002000001001004000000000000000000000000000000001003000000000000000000000000000000000000002000000000000001001002000001000000000000000000000000000000000000001001000000000000000001000000000000000001000000000000000000002002000001000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000000000000000000000000000000000001002002000001000000001000000000000001000000000000000000000003004004011
UM42006061419921000161199503091997040619920407マイティグレイ　　　　　　　　　　　ﾏｲﾃｨｸﾞﾚｲ                            Mighty Gray(JPN)                                            0                   00110711200832タツプオンウツド　　　　　　　　　　12224049グランチラ　　　　　　　　　　　　　11400934Sallust                             12404475Cat O'Mountaine                     11401154Cougar                              12405167Grandmira                           11300116Pall Mall                           12404476Bandarilla                          11300159Ragusa                              12403449Marie Elizabeth                     11400731Tale of Two Cities                  12404569Cindy Lou                           11300334Dumpty Humpty                       12401920Mlle. Somebody                      100432富田一幸　　　　　　　　　　600197恵比寿興業株式会社那須野牧場　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　148800グリーンファーム　　　　　　　　　　　　　　　　　　　　　　　　000450800000000000000008950000000000000094500000000000004001000001002013004001000001002013000000000000000000004001000001001003000000000000000007000000000000000000000000000000000001000000000000001002000000000000000000004001000001001008000000000000000001000000000000000000000000000000000001000000000000000002000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000003003001000001001004000000000000000003000000000000001002000000000000000001000000000000000000004007007003021
UM42006061419921000211199412081997051819920525ナスノアザヤカ　　　　　　　　　　　ﾅｽﾉｱｻﾞﾔｶ                            Nasuno Azayaka(JPN)                                         0                   00110311200523スポーツキー　　　　　　　　　　　　12231912ラビウ　　　　　　　　　　　　　　　11300096Nijinsky                            12302429Sports Event                        11200499ダンサーズイメージ　　　　　　　　　12213630ナスノアロマ　　　　　　　　　　　　11300102Northern Dancer                     12401042Flaming Page                        11300644T. V. Lark                          12403506Pamplona                            11300494Native Dancer                       12302029Noors Image                         11200062ラデイガ　　　　　　　　　　　　　　12204083ナスノカオリ　　　　　　　　　　　　100430柴崎勇　　　　　　　　　　　700132村上　勝治　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　青森県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000149000000000000000000000000020000000040000001001001001000012001001001000000012000000000000000000000000000000000009000000000000000001000000000000000000000000000000000001000000000000000001001001001000000000000000000000000006000000000000000001000000000000000001000000000000000002000000000000000001000000000000000000000000000000000000000000000000000001001001001000000000000000000000000000000000000000000000000000000000000000000000000000000007000000000000000002000000000000000001000000000000000002000000000000000000000000000000000000000005009001016
UM42006061419921000381199501122001082419920413ミツワハリケーン　　　　　　　　　　ﾐﾂﾜﾊﾘｹｰﾝ                            Mitsuwa Hurricane(JPN)                                      0                   00310311200987スリルシヨー　　　　　　　　　　　　12226886オキノサヤカ　　　　　　　　　　　　11400963Northern Baby                       12405777Splendid Girl                       11200516サンフオードラツド　　　　　　　　　12216745オキノチグサ　　　　　　　　　　　　11300102Northern Dancer                     12404562Two Rings                           11401371Golden Eagle                        12405776Coccinea                            11300626St. Alphage                         12302043Hill Queen                          11200361キングスカンパニー　　　　　　　　　12208906デンタルジヨアン　　　　　　　　　　200336渡辺栄　　　　　　　　　　　730198鍋掛牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　991800高昌　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　001053300000000000000011140000000000000074500000000000003006006011006047003006006011006047000000000000000000002004004008006034001001002001000009000000000000000000000000000002000003000001000000000001000000000000000000003003005009006039000002001000000001000000000000000001000000000000000002000001000002000003000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001003002004005031002002004005001012000000000000000000000000000000000000000001000002000004000000000000000000003026023026079
UM42006061419921000431199407141996090619920326シルバーピーク　　　　　　　　　　　ｼﾙﾊﾞｰﾋﾟｰｸ                           Silver Peak(JPN)                                            0                   00110311201261ジェイドロバリー　　　　　　　　　　12217419コーネリアン　　　　　　　　　　　　11400948Mr. Prospector                      12409046Number                              11200291ノーザンテースト　　　　　　　　　　12207108マランダ　　　　　　　　　　　　　　11300169Raise a Native                      12403815Gold Digger                         11300096Nijinsky                            12404854Special                             11300102Northern Dancer                     12302035Lady Victoria                       11100729オンリーフオアライフ　　　　　　　　12102937グリーンライト　　　　　　　　　　　100146奥平真治　　　　　　　　　　100120ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　343800ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　000096900000000000000000000000000000000020000000000000004002008005003012001001001001001002000000000000000000000000000001001001000000000000000000000000000000000000001001001000000001000000000000000000000000000000000000000000000001001001000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001001000000000000000000000000000000000000001001001000000001000000000000000000000006001000034
UM42006061419921000451199410201996031719920511シグナルライト　　　　　　　　　　　ｼｸﾞﾅﾙﾗｲﾄ                            Signal Light(JPN)                                           0                   00110311201263フレンチグローリー　　　　　　　　　12224984センテニアル　　　　　　　　　　　　11401591Sadler's Wells                      12409047Dunette                             11100960リマンド　　　　　　　　　　　　　　12210360フラワーレコード　　　　　　　　　　11300102Northern Dancer                     12406600Fairy Bridge                        11400215Hard to Beat                        12407811Pram                                11300010Alcide                              12403231Admonish                            11300102Northern Dancer                     12301954Overpowering                        100146奥平真治　　　　　　　　　　100120ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　343800ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　000964400000000000000006440000000000000135000000000000002003003000002005002003003000002005000000000000000000002002001000000004000001001000002001000000000000000000000000000000000000000000001000000000000000000000000000001002002000002004000000000000000000000001000000000000001000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001001002000000001002000001002000001002000000001000000000000000000000000000000000000000000000002007003002015
