RAA20090407200904064401011240000りょうけん座特別　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          りょうけん座特別　Ｃりょうけん座りょう0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002100000007350000042000000315000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,7,2,8,(3,13),(10,11),12,(4,15),16,14,5,1,6                          409,7,2,13,8,3,(10,11),12,4,5,(1,15,16),14,6                            00                                                                      00                                                                      0
RAA20090410200904094401041270000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001300000004550000026000000195000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,4,7,5,2,10,6,11,8,12,3                                            209,(1,7),4,5,2,6,10,12,11,8,3                                          309,5,6,1,11,4,7,10,12,2,8,3                                            409,5,6,11,4,1,10,12,2,7,3,8                                            0
RAA20090411200904104401050880000サラ系一般　Ｃ２１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,11,9,2,14,(1,6),3,12,8,5,10,13,7                                    304,11,14,(2,9),1,6,12,10,13,8,3,5,7                                    404,11,2,14,9,1,6,10,12,13,3,7,8,5                                      00                                                                      0
RAA20090411200904104401050980000サラ系一般　Ｃ２１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,14,4,2,10,6,8,9,12,3,1,7,11,13                                      205,14,4,2,10,9,8,6,12,3,1,7,11,13                                      305,14,2,4,10,8,3,9,(1,7),6,12,13,11                                    405,14,2,4,10,3,8,7,1,9,6,12,13,11                                      0
RAA20090411200904104401051180000北極星賞　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          北極星賞　Ｂ３一　　北極星賞　Ｂ北極星0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,14,5,12,(1,10),4,8,(2,6),11,3,13,7                                  209,14,5,1,12,10,8,4,6,11,2,3,7,13                                      309,14,5,8,10,(6,7),1,11,12,2,4,3,13                                    409,14,5,(8,10),1,6,7,11,2,12,4,3,13                                    0
RAA20090411200904104401051280000こぐま座特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          こぐま座特別　Ｃ１一こぐま座特別こぐま0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00021000000073500000420000003150000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,4,6,1,9,14,13,5,10,8,2,12,7,3                                      2011,4,6,1,9,13,14,10,(2,5),8,12,7,3                                    3011,6,8,10,4,9,1,14,13,(2,12),5,7,3                                    4011,6,8,10,9,1,14,4,13,2,5,12,7,3                                      0
RAA20090422200904214402021250000おとめ座特別　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          おとめ座特別　Ｃ１三おとめ座特別おとめ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000210000000735000004200000031500000210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141313302000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(3,11),9,14,12,2,4,1,13,5,6,7,10                                      40(3,11),9,14,12,2,13,1,4,6,7,5,10                                      00                                                                      00                                                                      0
RAA20090423200904224402031060000ダイヤモンド賞　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ダイヤモンド賞　Ｂ３ダイヤモンドダイヤ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,5,14,2,8,9,(6,12),10,11,13,4,7                                    401,5,3,14,2,8,9,12,6,(10,11),13,4,7                                    00                                                                      00                                                                      0
RAA20090423200904224402031160000羽田盃　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HANEDA HAI                                                                                                                                                                                                                                                                                                                                                              羽田盃　　　　　　　羽田盃　　　羽田盃0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    00400000001400000008000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,10,7,3,12,1,4,9,(2,6),8,5                                          2011,10,(3,7),1,12,9,4,2,6,5,8                                          3011,(7,9,10),5,3,(1,12),6,4,8,2                                        4011,9,(7,10),3,5,(1,12),6,4,8,2                                        0
RAA20090424200904234402040670000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,3,8,9,1,5,6,4,12,10,7,11,13                                         302,3,8,9,1,5,6,4,10,12,7,(11,13)                                       402,8,3,9,5,1,(4,6,10),7,(11,12,13)                                     00                                                                      0
