RAA20091004200910033507010410000２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳　　　　　　　　２歳　　　　２歳　0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000720000001440000007200000051000000210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,9,6,8,1,2,10,3,7,4                                                  405,9,6,3,1,2,7,10,8,4                                                  00                                                                      00                                                                      0
RAA20091020200910193508031040000若駒賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　WAKAKOMA SHO                                                                                                                                                                                                                                                                                                                                                            若駒賞　　　　　　　若駒賞　　　若駒賞0000D 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002500000005750000032500000225000001250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212124010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,1,8,(5,9,11),12,3,(2,4),7,10                                        40(1,8),(5,9,11),3,2,10,6,4,12,7                                        00                                                                      00                                                                      0
RAA20091005200910043507020620000Ｂ２八組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２八組　　　　　　Ｂ２八組　　Ｂ２八0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000220000000440000002200000016000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,5,8,2,1,7,6,4,3                                                     402,8,9,5,1,3,7,4,6                                                     00                                                                      00                                                                      0
RAA20091006200910053507030240000Ｃ２八組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２八組　　　　　　Ｃ２八組　　Ｃ２八0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,10,8,7,3,2,6,1,5,9                                                  404,10,7,8,3,2,6,1,5,9                                                  00                                                                      00                                                                      0
RAA20091019200910173508010610000Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２五組　　　　　　Ｃ２五組　　Ｃ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(8,9),2,6,10,5,7,4,1                                                403,9,2,10,4,8,7,5,6,1                                                  00                                                                      00                                                                      0
RAA20091005200910043507020420000ホープフル（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ホープフル（中央認定ホープフル（ホープ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000001100    0001200000002760000015600000108000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,9,10,1,4,7,6,2,5,8                                                  403,9,1,6,10,4,7,5,2,8                                                  00                                                                      00                                                                      0
RAA20091006200910053507030440000Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２五組　　　　　　Ｃ２五組　　Ｃ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,4,10,1,8,9,2,5,7,6                                                  403,4,10,1,8,2,9,6,5,7                                                  00                                                                      00                                                                      0
RAA20091013200910103507040510000Ｃ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２七組　　　　　　Ｃ２七組　　Ｃ２七0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,9,(6,7),8,10,1,2,5,4                                                403,9,7,6,8,10,1,5,2,4                                                  00                                                                      00                                                                      0
RAA20091018200910173508010410000ホープフル（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ホープフル（中央認定ホープフル（ホープ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000001100    0001200000002760000015600000108000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,10,1,(8,9),4,3,6,2                                                405,7,10,1,8,9,3,4,2,6                                                  00                                                                      00                                                                      0
RAA20091019200910173508010710000Ｃ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２四組　　　　　　Ｃ２四組　　Ｃ２四0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,8,(1,7),9,2,3,4,10                                                405,6,1,7,9,8,4,2,10,3                                                  00                                                                      00                                                                      0
