RAA20091211200912105017061070000八重垣酒造青乃無特別　Ａ１Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          八重垣酒造青乃無特別八重垣酒造青八重垣0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000900000001800000009000000054000000360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,1,7,2,3,(4,5)                                                   206,8,9,1,7,2,3,4,5                                                     30(6,8),9,1,7,3,2,4,5                                                   408,6,9,1,7,4,2,3,5                                                     0
RAA20091203200912025017020860000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,12,4,7,10,5,8,6,9,3,11,2                                            201,12,4,7,10,5,(6,8),9,3,11,2                                          301,12,(4,7),8,(5,9),(3,10),6,11,2                                      401,12,4,7,(3,5),9,10,(6,8),11,2                                        0
RAA20091204200912035017030670000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,2,7,10,1,12,(3,4),8,6,11                                          209,5,2,7,10,1,12,4,3,8,6,11                                            30(5,9),4,2,7,1,10,12,8,6,3,11                                          405,9,4,2,1,7,6,10,8,12,(3,11)                                          0
RAA20091204200912035017030770000リミテッド　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     リミテッド　Ｃ２　　リミテッド　リミテ0000  130003000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211113030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,8,4,9,12,6,2,11,1,7                                              203,10,8,9,4,(2,6),12,11,1,7                                            303,10,9,2,(6,7,8),12,4,11,1                                            403,10,9,2,7,6,12,8,4,11,1                                              0
RAA20091209200912085017040650000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000005000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,9,1,8,11,(2,3),10,6,4,7,5                                          2012,9,1,8,11,2,3,10,4,6,(5,7)                                          3012,6,1,9,8,4,11,(2,3),5,10,7                                          4012,6,1,8,9,4,2,3,11,(5,10),7                                          0
RAA20091209200912085017040750000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,4,6,12,1,5,3,11,7,10                                            202,8,9,4,6,12,1,5,3,11,10,7                                            302,8,9,12,4,6,11,1,5,(3,10),7                                          402,8,(9,12),11,(4,6),(1,3),5,10,7                                      0
RAA20091210200912095017050460000サラ系２歳　二組一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　二組一　サラ系２歳　サラ系0000  110003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004000000008000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,1,7,2,9,6,3,8,4,5,12                                            2010,11,(1,7),2,9,3,8,6,5,12,4                                          3010,11,8,(1,7),2,(3,9),12,5,4,6                                        4011,10,8,1,7,2,3,9,12,5,4,6                                            0
RAA20091216200912155018010650000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000E 130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,2,(3,5),4,9,6                                                   201,7,8,2,5,(3,4),9,6                                                   301,7,8,2,5,9,3,4,6                                                     407,1,8,2,5,9,3,(4,6)                                                   0
RAA20091217200912165018020460000サラ系３歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２三サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,5,8,1,4,12,6,3,10,9,11                                            202,7,5,8,1,4,12,6,10,3,9,11                                            30(2,7),8,4,5,6,10,12,1,3,9,11                                          407,2,8,6,4,10,5,12,3,9,1,11                                            0
RAA20091217200912165018020660000セカンドトライ（中央認定）　一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            セカンドトライ（中央セカンドトラセカン0000  110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001500000003000000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,8,4,2,9,1,3,10,12,7,5                                            206,11,8,4,2,1,9,3,12,10,7,5                                            306,8,2,3,11,12,4,1,5,9,10,7                                            406,8,3,2,11,12,5,4,10,1,9,7                                            0
RAA20091224200912235018050760000サラ系２歳　一組一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組一　サラ系２歳　サラ系0000  110003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000700000001400000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,11,12,2,3,7,(4,6),10,8,1,5                                          209,11,12,2,7,3,6,4,8,10,1,5                                            3012,(9,11),8,7,2,3,4,10,6,1,5                                          4012,8,9,11,2,7,(4,10),3,1,6,5                                          0
