RAA20090706200907055306020620000サラ系３歳　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　４　　　サラ系３歳　サラ系0000  120003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    000020000000050000000260000001400000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,5),7,(3,6),4,2,8                                                   20(1,5),7,(3,6),4,2,8                                                   305,1,(3,6),7,4,2,8                                                     405,1,(3,6),(2,4,7),8                                                   0
RAA20090712200907115306030810000高知・福山連携円福寺シリーズ一戦　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     高知・福山連携円福寺高知・福山連高知・0000  000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000170000000420000002200000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,4,8,2,7,1,5                                                       203,6,4,8,2,7,1,5                                                       306,3,4,8,5,7,2,1                                                       406,8,(3,4),5,7,2,1                                                     0
RAA20090721200907205307020340000サラ系一般　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ９　　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000170000000420000002200000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,(2,7),3,1,6,8                                                     204,5,(2,7),(1,3),6,8                                                   30(4,5),2,7,1,6,3,8                                                     404,2,1,5,7,6,3,8                                                       0
