RAA20090904200909034810030270000サラ２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ２歳　　　　　　サラ２歳　　サラ２0000  000000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    000037000000096000000400000002900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20090903200909024810020760000サラＢ６組　Ｂ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ６組　Ｂ６　　サラＢ６組　サラＢ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000460000001900000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,7,9,3,1,5,6                                                     202,4,8,7,9,3,1,5,6                                                     302,4,8,3,7,9,1,5,6                                                     402,3,8,7,9,1,5,4,6                                                     0
RAA20090916200909154811010250000サラ３歳２組　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳２組　２　　サラ３歳２組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,4,9,6,7,2,5,3,10                                                  201,8,9,4,6,7,5,2,3,10                                                  301,8,4,6,9,5,7,2,3,10                                                  401,8,4,6,5,7,9,2,3,10                                                  0
RAA20090919200909174811031070000秋分特別　Ｂ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     秋分特別　Ｂ６　　　秋分特別　Ｂ秋分特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000650000002700000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,6,1,7,8,9,3                                                     202,4,5,6,1,7,8,9,3                                                     302,5,4,6,1,7,8,9,3                                                     402,5,4,6,1,7,8,9,3                                                     0
RAA20090930200909294812010950000ほととぎす特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ほととぎす特別　１　ほととぎす特ほとと0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000001170000004900000036000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,1,4,7,8,6,2,3,5                                                  209,10,7,1,4,8,6,2,5,3                                                  309,10,7,1,4,8,2,5,6,3                                                  409,10,7,1,4,8,2,3,5,6                                                  0
RAA20091001200909304812020860000サラＢ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ５組　Ｂ５　　サラＢ５組　サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000460000001900000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,4,2,10,(1,3),8,6                                                205,7,4,9,2,3,1,10,8,6                                                  305,7,9,2,3,4,1,8,6,10                                                  405,7,3,2,4,8,1,6,9,10                                                  0
RAA20090919200909184811040180000サラ３歳１３組　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１３組　１３サラ３歳１３サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,2,7,8,4,1,3,5                                                  206,9,10,2,7,8,1,4,3,5                                                  306,9,10,8,2,7,1,4,5,3                                                  406,8,10,9,2,1,7,4,3,5                                                  0
RAA20091001200909304812020660000サラ２歳特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 サラ２歳特別　１　　サラ２歳特別サラ２0000E 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000550000001430000006000000044000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,4,2,9,3,1,6,8,5                                                  207,10,4,2,9,3,1,6,8,5                                                  307,10,4,2,9,1,8,3,5,6                                                  407,10,4,2,9,1,8,6,5,3                                                  0
RAA20090916200909154811010350000サラＣ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１５組　Ｃ１５サラＣ１５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000170000000440000001800000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,10,2,7,9,8,6,4,3,5                                                  401,10,9,2,3,8,7,6,4,5                                                  00                                                                      00                                                                      0
RAA20091001200909304812020760000サラＣ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ８組　Ｃ８　　サラＣ８組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000019000000049000000200000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010402000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,9,10),1,5,8,4,7,3,6                                                202,9,10,1,5,8,4,7,3,6                                                  302,9,10,1,5,4,8,7,3,6                                                  402,9,10,1,5,4,8,7,6,3                                                  0
RAA20090903200909024810020360000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000590000002500000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,5,10,4,8,7,6,9                                                  201,2,10,5,3,7,4,8,6,9                                                  301,2,10,3,5,4,7,8,6,9                                                  401,2,3,4,8,10,5,7,6,9                                                  0
RAA20090903200909024810021060000名古屋ＣｈＣグレープ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣｈＣグレープ名古屋ＣｈＣ名古屋0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004700000011700000047000000280000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,7,8,9,4,1,6,5,3                                                  2010,2,8,7,9,4,5,1,6,3                                                  3010,2,8,7,9,4,5,1,3,6                                                  4010,2,7,8,9,4,1,5,3,6                                                  0
