RAA20091104200911035014040750000ＯＢＣラジオ大阪賞　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＯＢＣラジオ大阪賞　ＯＢＣラジオＯＢＣ0000E 130003000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000550000001100000005500000033000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,5,3,11,9,(2,12),7,1,6,8                                          204,10,(3,5),11,9,12,2,(1,7),6,8                                        30(4,5,10),1,2,(11,12),3,9,7,6,8                                        40(4,10),5,1,2,11,3,12,9,(6,7),8                                        0
RAA20091127200911265016050370000サラ系３歳上　Ｃ２四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２四サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,12,1,5,8,7,2,3,4,9,11                                            206,10,12,1,5,2,8,7,3,4,9,11                                            306,10,1,5,2,12,8,7,3,4,11,9                                            406,10,1,(2,5),8,12,7,3,4,11,9                                          0
RAA20091105200911045014050660000キャリーアップ　一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            キャリーアップ　一　キャリーアッキャリ0000  110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,(1,9),2,6,5,11,12,10,4,3                                          207,8,(1,9),(2,5),6,11,10,12,(3,4)                                      308,7,9,6,1,11,2,10,5,12,4,3                                            408,1,6,9,7,11,2,10,5,4,12,3                                            0
RAA20091106200911055014060870000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,11,12,4,(9,10),5,6,2,8,3,7                                          201,11,12,4,10,9,5,6,2,8,3,7                                            301,11,6,(4,5,9),10,12,8,2,3,7                                          401,11,6,5,(4,9),8,10,2,3,12,7                                          0
RAA20091111200911105015010750000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,12,(1,5),3,2,8,7,9,4,11                                          206,10,12,1,5,3,2,8,7,9,4,11                                            306,10,4,7,1,(3,12),8,(2,5,9),11                                        406,4,10,1,7,3,9,12,8,2,(5,11)                                          0
RAA20091118200911175015040650000キャリーアップ　一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            キャリーアップ　一　キャリーアッキャリ0000  110003000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,2,11,6,8,1,5,3,(4,7),10                                          209,12,2,11,8,6,1,5,3,4,7,10                                            309,12,2,8,(7,11),6,3,1,5,4,10                                          409,2,8,12,7,6,(3,11),1,(4,5),10                                        0
RAA20091118200911175015040750000サラ系３歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２二サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,1,(4,8),7,11,5,12,2,10,3                                          209,6,8,7,1,4,11,5,12,2,10,3                                            309,6,8,1,7,11,5,2,4,10,3,12                                            406,9,1,(7,8),5,2,11,(3,10),4,12                                        0
RAA20091118200911175015040850000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,5,4,9,(3,7),6,(10,11),8,12                                        201,2,5,4,9,7,3,(6,10),11,8,12                                          301,2,4,9,7,5,3,6,10,11,8,12                                            401,2,4,7,9,3,6,5,11,(8,10),12                                          0
RAA20091119200911185015050560000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 サラ系２歳　一組　　サラ系２歳　サラ系0000E 110003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,(2,8),3,6,7                                                       201,4,2,8,3,7,6                                                         304,1,8,7,3,2,6                                                         404,7,8,3,1,2,6                                                         0
RAA20091119200911185015050760000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,10,3,9,4,7,2,6,5,11,8,1                                            2012,10,3,9,4,7,2,6,5,11,8,1                                            3010,9,(3,12),7,(2,4),6,5,(8,11),1                                      4010,9,7,3,2,12,4,11,(6,8),5,1                                          0
RAA20091119200911185015050860000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　123000002400    000030000000060000000300000001800000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,4),(6,12),2,9,1,8,5,11,10,7                                        203,4,6,2,12,1,9,8,11,5,10,7                                            303,4,2,(6,12),1,8,9,11,7,5,10                                          403,2,4,12,1,6,8,(7,11),9,5,10                                          0
