RAA20090927200909265608030910000若駒特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 若駒特別　　　　　　若駒特別　　若駒特0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000750000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,5,1,6,7,2,4,8                                                     203,9,5,7,1,2,8,4,6                                                     303,9,7,1,2,8,5,6,4                                                     403,7,1,2,8,4,5,6                                                       0
RAA20090927200909265608030310000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　　　　　サラ系２歳　サラ系0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000400000001600000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,5,6,2,1,4,3                                                         307,6,2,5,1,4,3                                                         407,2,6,5,1,3,4                                                         00                                                                      0
RAA20090911200909105607050470000ストロングホース（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ストロングホース（中ストロングホストロ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　095000002400    0001500000004500000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,2,6,7,8,1,3,4                                                       402,5,6,7,1,3,8,4                                                       00                                                                      00                                                                      0
RAA20090920200909195608010810000祝賢太郎＆永里子結婚記念サラ系Ｃ－３組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝賢太郎＆永里子結婚祝賢太郎＆永祝賢太0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000370000001500000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,2,6,1,4                                                           203,5,2,6,1,4                                                           303,5,2,6,1,4                                                           403,5,2,6,1,4                                                           0
RAA20090921200909205608020720000サラ系Ｃ－１４組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１４組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,8,5,1,7,6                                                       202,3,8,4,1,5,7,6                                                       302,3,8,5,1,4,7,6                                                       402,5,8,1,3,7,4,6                                                       0
RAA20090910200909095607040860000音無小鳥誕生日記念「花」サラ系Ｃ－１１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     音無小鳥誕生日記念「音無小鳥誕生音無小0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,6,8,7,4,2                                                       201,3,6,(5,7,8),4,2                                                     301,3,8,6,5,4,7,2                                                       401,3,8,5,6,4,7,2                                                       0
RAA20090910200909095607041060000霧島賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                               霧島賞（中央交流）　霧島賞（中央霧島賞0000D 130000000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0008000000024000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,6,2,10,3,4,12,9,11,7,5                                            201,8,6,2,10,3,4,12,9,11,7,5                                            301,8,2,10,6,11,9,12,3,4,7,5                                            408,1,10,2,11,9,6,12,4,3,7,5                                            0
RAA20090921200909205608020820000サラ系Ｃ－１３組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－１３組　Ｃサラ系Ｃ－１サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,1,3,8,6,2,4                                                       205,7,1,3,8,4,6,2                                                       305,3,7,1,8,4,6,2                                                       403,8,1,5,4,6,7,2                                                       0
RAA20090927200909265608030410000サラ系Ｃ－２４組　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ－２４組　Ｃサラ系Ｃ－２サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001000000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,3,1,6,7,5,4                                                         302,1,3,5,7,6,4                                                         402,1,3,5,7,6,4                                                         00                                                                      0
