RAA20111103201111024815030960000名古屋ＣＣサテュロス賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣサテュロス名古屋ＣＣサ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001020000004100000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,1,3,6,2,7,8                                                     204,5,9,(1,3),6,2,7,8                                                   304,5,6,9,2,1,3,7,8                                                     404,6,5,2,9,1,3,7,8                                                     0
RAA20111116201111154816020650000サラＣ２０組　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２０組　Ｃ２０サラＣ２０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,5,7,10,2,1,4,3                                                  206,8,9,5,10,7,2,1,3,4                                                  306,9,8,5,10,7,2,1,3,4                                                  406,9,5,8,10,7,2,3,1,4                                                  0
RAA20111118201111174816040770000サラＣ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ８組　Ｃ８　　サラＣ８組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,2,8,10,7,9,3,4                                                  201,5,6,2,8,10,9,7,3,4                                                  301,5,6,2,8,10,9,4,3,7                                                  401,8,6,2,10,5,9,3,4,7                                                  0
RAA20111118201111174816040870000新生・中京ＲＣ☆あと３か月　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     新生・中京ＲＣ☆あと新生・中京Ｒ新生・0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,3,2,10,1,8,5,4                                                  206,7,9,3,2,1,10,8,5,4                                                  306,3,7,1,9,2,8,10,5,4                                                  406,3,1,7,2,9,8,10,5,4                                                  0
RAA20111201201111304817030460000サラＣ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１６組　Ｃ１６サラＣ１６組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,6,5,8,1,9,4,3                                                     207,2,(1,5,6,8),4,9,3                                                   307,2,6,1,5,8,9,4,3                                                     407,2,(5,6,8),1,4,3,9                                                   0
RAA20111104201111034815040270000長谷川杯争奪・アンチエイジング　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     長谷川杯争奪・アンチ長谷川杯争奪長谷川0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,8,2,3,7,4,9,6                                                     201,5,8,2,3,4,7,(6,9)                                                   301,5,8,4,3,2,7,(6,9)                                                   405,8,1,4,3,2,7,9,6                                                     0
RAA20111116201111154816020250000サラＣ２４組　Ｃ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２４組　Ｃ２４サラＣ２４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,1,6,7,8,9,5                                                     202,3,4,1,6,7,8,9,5                                                     302,3,4,1,6,7,9,8,5                                                     402,3,4,1,6,7,8,9,5                                                     0
RAA20111117201111164816030560000サラＣ１４組　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１４組　Ｃ１４サラＣ１４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,9,8,5,7,4,10,3,2                                                  201,6,9,8,5,(4,7,10),3,2                                                301,6,9,8,5,7,4,10,3,2                                                  401,6,9,5,7,8,10,4,2,3                                                  0
RAA20111117201111164816030960000サラＢ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ４組　Ｂ４　　サラＢ４組　サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,8,1,10,5,6,9,4,2                                                  203,7,8,1,(6,9,10),5,4,2                                                303,7,8,1,10,6,9,5,4,2                                                  407,8,1,9,10,6,3,5,4,2                                                  0
RAA20111119201111184816051080000エキスパート編　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エキスパート編　Ｃ１エキスパートエキス0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000350000000910000003900000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,8,10,3,6,9,1,12,11,2,5                                            204,7,8,10,3,6,1,9,11,12,2,5                                            304,7,8,10,3,1,5,12,11,2,6,9                                            404,7,8,1,10,11,5,3,2,12,6,9                                            0
RAA20111129201111284817011040000射手座特別　Ａ４Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          射手座特別　Ａ４Ｂ１射手座特別　射手座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000270000000540000002700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,5,10,6,12,7,2,9,3,1,11                                            204,8,10,5,6,12,7,2,9,1,3,11                                            304,8,10,6,5,7,3,12,2,9,1,11                                            404,8,5,10,6,7,3,9,1,12,11,2                                            0
