RAA20110113201101125020041060000妙見山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               妙見山特別（中央交流妙見山特別（妙見山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,5,2,11,10,(3,7),12,1,8,6                                          204,9,5,2,7,11,3,10,1,12,8,6                                            304,9,5,7,2,11,3,8,6,1,10,12                                            405,7,4,9,2,3,8,11,6,1,10,12                                            0
RAA20110114201101135020050670000サラ系４歳上　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ａ１　サラ系４歳上サラ系0000E 140002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001400000002800000014000000084000000560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505051010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,3,1,5                                                             20(2,4),3,1,5                                                           302,4,1,3,5                                                             402,1,4,5,3                                                             0
RAA20110127201101265021051160000市川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           市川特別（中央交流）市川特別（中市川特0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001300000002600000013000000078000000520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,11,7,1,8,12,4,2,5,10,3                                            206,9,11,7,(1,8),12,4,2,5,10,3                                          309,11,6,8,7,1,4,12,10,2,5,3                                            4011,1,9,8,6,4,7,10,2,12,5,3                                            0
RAA20110104201101035020020140000サラ系４歳上　Ｃ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３三サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,12,2,9,11,7,4,3,(6,8),10,1                                          205,12,2,9,11,4,3,7,6,8,(1,10)                                          3012,(5,9),4,2,3,11,6,8,7,1,10                                          4012,9,4,5,3,2,6,11,8,1,10,7                                            0
RAA20110104201101035020020640000サラ系３歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　一組　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,5,4,9,(6,7),2,3                                                   201,8,5,4,9,(6,7),2,3                                                   301,8,(5,9),7,4,6,2,3                                                   401,8,7,(5,9),6,3,2,4                                                   0
RAA20110113201101125020040960000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,12,8,1,4,3,9,(5,6),10,2,11                                          207,12,1,8,4,3,(5,9),6,10,2,11                                          307,12,1,8,9,(4,6),(3,5),(2,10),11                                      407,12,1,9,4,(3,8),(5,6),2,10,11                                        0
RAA20110119201101185021010850000サラ系４歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,11,1,(6,12),8,5,10,2,4                                          203,7,9,11,1,12,8,6,5,10,2,4                                            309,11,1,3,12,6,7,5,10,8,4,2                                            4011,9,1,3,6,5,10,12,8,4,2,7                                            0
RAA20110119201101185021010950000サラ系４歳上　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,11,12,1,7,3,9,2,10,4,8                                            205,6,11,12,3,7,1,9,2,10,4,8                                            305,1,11,6,12,9,3,10,7,2,8,4                                            401,5,11,9,6,12,10,3,2,(7,8),4                                          0
RAA20110121201101205021030870000サラ系４歳上　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,8,10,3,12,(5,7),1,6,9,2                                          204,11,8,10,3,5,12,(1,7),(6,9),2                                        304,11,8,10,3,5,1,9,7,6,12,2                                            408,4,5,11,10,3,1,9,(6,7),12,2                                          0
RAA20110121201101205021031170000園田クイーンセレクション　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SONODA QUEEN SELECTION                                                                                                                                                                                                                                                                                                                                                  園田クイーンセレクシ園田クイーン園田ク0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002000000004000000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,12,7,10,2,11,6,3,(1,8),9,4                                          205,12,7,10,2,11,6,8,(1,3),4,9                                          305,12,7,10,8,(4,6),1,2,11,3,9                                          405,12,7,8,10,6,1,4,2,3,11,9                                            0
RAA20110127201101265021051060000エフエムあまがさき８２．０ＭＨｚ賞　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           エフエムあまがさき８エフエムあまエフエ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000700000001400000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,3,8,6,9,2,4,11,10,12                                            201,5,3,7,6,8,2,9,4,11,10,12                                            306,5,3,7,1,8,2,9,12,4,11,10                                            406,3,2,5,9,8,12,4,7,1,11,10                                            0
RAA20110102201101015019050610000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000E 140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000400000000800000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,6,9,5,1,4,2,3                                                     207,8,6,9,5,1,4,2,3                                                     308,9,7,4,5,(2,3),6,1                                                   408,9,5,4,7,2,3,6,1                                                     0
RAA20110102201101015019050710000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,11,4,1,3,12,2,8,9,5,6                                            207,10,4,11,1,3,12,2,8,9,5,6                                            307,10,(1,11),9,12,4,3,2,8,6,5                                          407,10,11,(1,12),9,(2,4,8),6,3,5                                        0
RAA20110103201101025020010620000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,(3,12),11,6,5,(1,4),10,9                                        202,7,8,3,12,11,5,6,4,1,10,9                                            308,7,12,6,11,2,5,3,4,10,1,9                                            40(6,7),12,8,11,2,5,(3,4),10,(1,9)                                      0
