RAA20110219201102184418051280000仲春賞　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          仲春賞　Ｂ３二　　　仲春賞　Ｂ３仲春賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,9,13,14,4,1,3,10,12,2,7,6,5,11                                      408,9,13,1,14,4,2,10,12,3,7,6,5,11                                      00                                                                      00                                                                      0
RAA20110204201102034417041170000ウインタースプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(FOUR-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                             ウインタースプリントウインタースウイン0000E 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　120000002400    0008000000024000000160000000960000006400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,5,6,10,4,3,2,8,1,9                                                  407,5,6,4,3,2,10,1,9,8                                                  00                                                                      00                                                                      0
RAA20110202201102014417020950000サラ系一般　Ｃ１六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000004550000026000000195000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,13,10,15,1,8,11,9,2,16,(3,6),12,4,14,5                              207,13,10,15,1,8,11,2,9,16,6,3,12,4,14,5                                307,13,10,15,1,11,8,3,2,16,6,12,9,4,14,5                                407,13,10,15,1,8,11,2,3,16,6,12,4,9,5,14                                0
RAA20110203201102024417030560000特選　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          特選　　　　　　　　特選　　　　特選　0000  120000000000000000000サラ系３歳　２４３万上３３２万未満　　　　　　　　　　　　　160000002400    0001600000005600000032000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,1,3,10,11,4,(2,9),12,5                                          206,7,8,1,(3,11),10,2,4,12,9,5                                          306,8,11,12,3,7,1,10,2,9,4,5                                            406,8,11,3,12,1,10,7,2,4,9,5                                            0
RAA20110203201102024417030660000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,5,7,8,14,3,9,1,12,4,11,10,15,6,13                                   40(2,5),7,8,3,14,9,1,12,4,10,6,11,15,13                                 00                                                                      00                                                                      0
RAA20110204201102034417040870000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,8,15,6,11,13,5,12,9,2,7,1,16,3,14,10                                404,8,6,11,13,5,9,(7,12),15,1,2,3,14,16,10                              00                                                                      00                                                                      0
RAA20110215201102144418010840000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,3,4,1,6,8,5,10,7,13,11,12,9                                         402,3,4,1,8,6,5,10,7,13,11,9,12                                         00                                                                      00                                                                      0
RAA20110203201102024417030960000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00013000000045500000260000001950000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,14,16,10,5,3,(9,15),2,7,1,8,11,6,4,12                              2013,14,5,16,10,3,15,9,2,1,7,8,6,11,4,12                                3013,14,16,7,5,8,15,10,3,6,9,2,12,1,11,4                                4013,5,14,16,3,10,15,7,8,2,9,6,12,1,11,4                                0
RAA20110215201102144418010540000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000８１万上１２３万未満　　　　　　　　　　　　　　　　　　　　120000002400    0001400000004900000028000000210000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,6,12,7,5,15,14,4,13,11,8,16,9,2,3,10                                401,6,12,5,15,7,14,13,11,16,4,(8,9),2,3,10                              00                                                                      00                                                                      0
RAA20110219201102184418050980000サラ系一般　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00013000000045500000260000001950000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151520400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,13,3,5,8,2,1,7,9,15,10,12,4,(6,14)                                 2011,13,3,8,(2,5),1,7,9,15,12,10,4,14,6                                 303,13,8,15,2,7,11,12,5,9,10,4,6,14,1                                   4013,3,8,15,2,7,10,12,5,9,11,4,6,14,1                                   0
RAA20110202201102014417020850000サラ系一般　Ｃ１七Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１七Ｃサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00013000000045500000260000001950000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,9,7,5,6,15,4,2,16,13,14,1,(8,12),11,3                              4010,9,7,5,6,2,4,15,13,1,12,14,16,8,11,3                                00                                                                      00                                                                      0
RAA20110216201102154418020950000サラ系一般　Ｃ１五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00013000000045500000260000001950000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,14,1,3,12,4,(2,13),11,6,5,8,7                                    2010,9,14,1,(3,12),2,4,13,11,6,5,8,7                                    3010,(9,14),12,1,3,4,13,2,11,8,5,6,7                                    4010,9,14,1,(3,12),4,13,2,11,8,5,6,7                                    0
RAA20110215201102144418010640000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000８１万上１２３万未満　　　　　　　　　　　　　　　　　　　　160000002400    0001400000004900000028000000210000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,11,12,10,4,8,6,7,1,2,3,13,9                                         205,11,10,12,4,(7,8),6,2,3,1,13,9                                       30(10,11),6,3,5,7,4,(1,2),8,12,13,9                                     40(10,11),6,3,7,2,4,5,13,1,8,12,9                                       0
RAA20110218201102174418040770000サラ系一般　Ｃ２十１１イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00010000000035000000200000001500000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,13,16,2,1,5,4,15,3,9,6,12,(7,8),14,10                              2011,13,16,1,2,5,(3,4),15,9,12,6,8,7,14,10                              3011,13,16,1,2,3,5,9,15,4,12,8,6,14,7,10                                4011,1,13,16,3,2,9,8,5,15,4,12,6,14,7,10                                0
RAA20110219201102184418050380000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１２３万上２０７万未満　　　　　　　　　　　　　　　　　　　120000002400    0001500000005250000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,3,6,11,5,1,9,14,4,10,7,15,8,12,13                                   402,3,6,11,(1,5),9,14,4,10,7,15,8,13,12                                 00                                                                      00                                                                      0
RAA20110217201102164418030660000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001514141040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,15,5,14,6,1,9,(3,13),7,2,8,10,12                                    404,15,5,1,14,3,13,9,6,7,2,10,8,12                                      00                                                                      00                                                                      0
RAA20110215201102144418011140000銀嶺賞　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          銀嶺賞　Ｂ３一　　　銀嶺賞　Ｂ３銀嶺賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00025000000087500000500000003750000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151520300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001015,9,1,4,7,8,6,10,13,14,3,2,12,5,11                                   2015,9,1,4,7,6,8,10,13,14,3,12,2,5,11                                   3015,7,9,1,4,6,8,10,13,14,12,11,3,5,2                                   4015,1,7,4,9,6,8,13,10,14,12,3,11,5,2                                   0
RAA20110202201102014417021250000早春賞　Ｂ１一Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          早春賞　Ｂ１一Ｂ２一早春賞　Ｂ１早春賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0003200000011200000064000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,12,3,13,6,8,2,4,9,10,14,1,16,15,11                                405,3,7,12,2,4,13,6,9,8,10,1,14,16,15,11                                00                                                                      00                                                                      0
RAA20110216201102154418020850000サラ系一般　Ｃ１五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001300000004550000026000000195000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616151040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,10,14,2,7,9,16,6,15,4,5,13,8,12                                   401,3,2,7,10,6,14,15,9,16,4,5,8,13,12                                   00                                                                      00                                                                      0
