RAA20110201201101314417010840000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１８４万上２４３万未満　　　　　　　　　　　　　　　　　　　160000002400    0001500000005250000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,4,5,8,1,11,3,12,2,7,13,9                                         206,10,4,5,1,8,3,11,2,12,7,13,9                                         306,11,10,5,3,4,2,1,12,13,9,7,8                                         406,11,5,3,10,4,2,1,12,13,9,7,8                                         0
RAA20110201201101314417010440000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１２０万上１８４万未満　　　　　　　　　　　　　　　　　　　120000002400    00015000000052500000300000002250000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003013,3,11,9,10,8,15,4,2,16,5,1,7,6,12,14                                4013,3,11,10,9,8,4,15,2,1,5,16,7,6,12,14                                00                                                                      00                                                                      0
RAA20110201201101314417011140000ジャニュアリー賞　Ｂ３三Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ジャニュアリー賞　Ｂジャニュアリジャニ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00025000000087500000500000003750000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,10,9,3,11,4,5,8,2,13,15,1,7,14                                     2012,10,9,3,11,4,5,2,8,13,15,1,7,14                                     3012,3,9,10,11,2,4,5,8,15,13,7,1,14                                     4012,3,9,10,(2,11),5,4,(8,15),13,7,14,1                                 0
RAA20110201201101314417011040000睦月特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          睦月特別　Ｃ２二　　睦月特別　Ｃ睦月特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000170000000595000003400000025500000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(13,15),16,2,9,4,1,12,5,7,14,6,3,11,10,8                              4015,13,2,16,1,9,4,12,3,5,7,14,10,11,6,8                                00                                                                      00                                                                      0
RAA20110201201101314417010240000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000６０万未満　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000002800000016000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,4,5,10,1,2,7,8,9,11,14,12,15,13,3                                   406,4,5,10,2,1,8,7,11,12,14,9,3,15,13                                   00                                                                      00                                                                      0
