RAA20110615201106144606020850000金沢城賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               金沢城賞（中央交流）金沢城賞（中金沢城0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000005400000042000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,8,9,3,4,11,2,6,12,10,1                                            205,7,(3,8),2,9,11,4,6,12,10,1                                          305,7,8,3,2,11,6,12,9,10,4,1                                            405,7,11,2,8,6,3,10,4,9,12,1                                            0
RAA20110606201106054605031120000サラ系一般　Ｂ４２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ４２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000023000000046000000200000001600000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,4),(7,9),(2,5),(6,8),3                                             201,4,7,9,2,8,5,6,3                                                     30(1,4),7,9,8,(2,6),5,3                                                 401,4,7,8,9,6,2,(3,5)                                                   0
RAA20110622201106214606040750000名物食べて復興支援宮城県産地鶏　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     名物食べて復興支援宮名物食べて復名物食0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,(5,8),9,6,3,7,4                                                   201,2,5,8,9,(3,6),7,4                                                   301,2,8,5,9,(3,7),6,4                                                   402,1,8,5,9,3,7,4,6                                                     0
RAA20110627201106264607011120000加賀毛針特別　Ｂ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          加賀毛針特別　Ｂ２１加賀毛針特別加賀毛0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000270000000540000002400000018000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,10,(4,9),(1,2),8,6,3                                              205,7,10,4,(1,2),9,3,6,8                                                30(7,10),5,4,1,9,8,2,3,6                                                404,10,7,5,1,9,3,2,(6,8)                                                0
RAA20110620201106194606031020000百万石賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HYAKUMANGOKU SHO                                                                                                                                                                                                                                                                                                                                                        百万石賞　　　　　　百万石賞　　百万石0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　230000002400    0003000000006000000027000000210000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,8,11,9,12,7,10,4,5,(2,6)                                          201,(3,8),(9,11),7,12,10,5,(4,6),2                                      308,1,3,9,11,7,10,6,5,2,4,12                                            408,1,7,3,9,10,11,6,4,2,5,12                                            0
RAA20110613201106124606010820000名物食べて復興支援牛タン　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          名物食べて復興支援牛名物食べて復名物食0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002000000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,6,(8,9),(2,7),(5,10),4                                            201,3,2,6,8,7,9,5,4,10                                                  301,3,6,2,5,8,4,7,9,10                                                  401,6,3,2,5,4,8,10,7,9                                                  0
RAA20110627201106264607010320000サラ系一般　Ｃ３４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３４　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,(9,10),5,2,4,6,7,8                                                201,3,9,10,5,2,4,7,6,8                                                  303,1,(9,10),2,5,4,(6,7),8                                              403,1,2,(9,10),5,7,4,6,8                                                0
RAA20110629201106284607020850000今日すまいるママ誕生日記念　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          今日すまいるママ誕生今日すまいる今日す0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000500000002200000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,10,(3,6,7),8,2,4                                                201,5,9,(3,7),10,6,2,8,4                                                301,(5,9),7,(6,8),3,2,10,4                                              401,9,5,7,8,6,3,2,(4,10)                                                0
RAA20110606201106054605030320000サラ系３歳　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,2,1,(3,9),5,7                                                   204,6,1,8,9,2,3,5,7                                                     304,6,9,1,2,5,8,3,7                                                     40(4,6,9),2,(1,5),8,3,7                                                 0
RAA20110613201106124606010620000名物食べて復興支援会津身不知柿　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          名物食べて復興支援会名物食べて復名物食0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,10,(3,6,7),2,4,5,1                                                209,8,10,3,6,7,2,4,(1,5)                                                309,8,10,3,6,7,2,1,4,5                                                  40(8,9),3,10,2,6,1,7,4,5                                                0
RAA20110627201106264607010720000石動山特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               石動山特別　Ｂ１　　石動山特別　石動山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,(3,9),1,5,4,8,7,6                                                   202,(3,9),1,5,7,4,8,6                                                   302,9,3,1,7,5,8,(4,6)                                                   402,9,3,1,5,7,4,6,8                                                     0
