RAA20111109201111084616021050000能登巌門賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          能登巌門賞（中央交流能登巌門賞（能登巌0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000002000000009000000070000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,9,(3,11),5,10,6,8,2                                             201,(4,7),9,3,11,10,5,8,6,2                                             301,(4,7),9,10,3,8,11,5,6,2                                             407,1,4,9,(8,10),5,3,11,6,2                                             0
RAA20111130201111294617040150000サラ系２歳　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　２　　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000000800000003600000028000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,1,(2,4,5),6,3                                                     207,1,8,(2,5),4,6,3                                                     307,1,2,5,8,4,6,3                                                       40(1,7),2,5,8,6,4,3                                                     0
RAA20111102201111014616010150000サラ系一般　Ｃ４８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４８　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,4,9,3,7,8,2,5                                                     206,4,1,9,3,7,(2,8),5                                                   306,1,4,9,3,7,2,(5,8)                                                   406,1,4,9,3,2,7,8,5                                                     0
RAA20111121201111204617010520000サラ系一般　Ｃ４４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４４　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,2,10,9,3,6,8,5,1                                                  207,10,4,2,3,9,6,8,1,5                                                  307,4,10,2,9,3,6,8,1,5                                                  407,4,2,9,10,3,6,8,1,5                                                  0
RAA20111123201111224617020450000サラ系一般　Ｃ３５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,2,4,6,11,10,3,7,9                                                 208,1,6,2,4,11,10,3,7,9                                                 308,1,2,11,6,4,10,7,3,9                                                 401,8,2,11,10,7,6,4,3,9                                                 0
RAA20111130201111294617040650000アタック戦（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタック戦（中央認定アタック戦（アタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001000000002000000009000000070000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,7,9,2,4,10,5,8,6,11                                               201,3,7,9,2,10,4,5,8,6,11                                               30(3,7,9),1,10,(2,8),4,5,6,11                                           403,9,7,10,8,4,1,2,5,6,11                                               0
RAA20111116201111154616041150000サラ系一般　Ｂ４２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ４２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000230000000460000002000000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,1,9,5,(3,4),7                                                   202,6,8,1,5,9,(3,4),7                                                   30(2,6),8,1,5,(4,9),3,7                                                 406,2,1,8,4,5,9,7,3                                                     0
RAA20111121201111204617010220000サラ系一般　Ｃ４８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４８　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,10,6,5,9,8,7,1,3                                                  204,2,10,5,6,9,8,7,1,3                                                  302,4,10,6,5,7,8,9,1,3                                                  402,10,6,4,5,8,9,1,7,3                                                  0
RAA20111128201111274617030420000サラ系一般　Ｃ４１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４１０サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,9,11,12,8,10,1,5,6,4,2                                            20(3,7),9,11,12,1,8,10,5,6,4,2                                          30(7,9),(3,8,12),11,10,1,5,(2,4),6                                      409,7,8,3,12,10,1,5,2,11,6,4                                            0
RAA20111130201111294617040850000祝ＫｙｕＳａｎ誕生日記念　Ｂ４３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝ＫｙｕＳａｎ誕生日祝ＫｙｕＳａ祝Ｋｙ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000023000000046000000200000001600000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,6),2,8,(1,7),5,9,10,4                                              203,6,2,1,7,8,5,(9,10),4                                                303,6,2,8,7,1,5,9,10,4                                                  403,6,7,2,5,1,8,10,9,4                                                  0
RAA20111109201111084616021150000サラ系一般　Ｂ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ１２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000600000002700000021000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,(2,5,10),9,1,3,4                                                206,7,8,2,5,10,9,(1,3),4                                                30(6,7,10),3,(2,5),(1,8,9),4                                            406,10,3,2,(1,5),9,7,8,4                                                0
RAA20111121201111204617011020000ＨＢＡ組合長杯特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＨＢＡ組合長杯特別　ＨＢＡ組合長ＨＢＡ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000000800000003600000028000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,5,7,10,3,1,6,9,4                                                  208,2,7,5,3,1,10,6,9,4                                                  308,9,7,2,5,10,4,1,3,6                                                  407,2,9,8,4,10,1,5,3,6                                                  0
RAA20111114201111134616030220000サラ系一般　Ｃ４１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４１１サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,6,2,(7,9),4,5,8                                                   201,3,2,6,4,5,7,(8,9)                                                   30(1,3),6,2,4,7,8,5,9                                                   403,1,2,6,4,7,8,5,9                                                     0
RAA20111121201111204617010420000サラ系一般　Ｃ４５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,1,7,8,2,3,4,6,5                                                  209,10,8,4,7,1,2,3,6,5                                                  3010,8,9,4,1,7,2,3,6,5                                                  409,10,8,1,4,2,7,3,5,6                                                  0
