RAA20110118201101175416020540000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,2,8,4,5,1,3                                                       206,7,2,8,4,5,3,1                                                       306,2,8,7,4,5,3,1                                                       406,2,8,7,4,5,3,1                                                       0
RAA20110118201101175416020640000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,7,6,2,9,1,8,3                                                     204,5,7,2,6,9,1,8,3                                                     304,7,5,2,8,9,6,3,1                                                     408,4,7,2,9,5,3,6,1                                                     0
RAA20110124201101235416040720000中土佐町のイチゴ特別　ＡＢ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          中土佐町のイチゴ特別中土佐町のイ中土佐0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000450000002200000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,2,6,3,5,1,7                                                       204,9,2,6,3,5,1,7                                                       304,(6,9),2,3,5,(1,7)                                                   406,4,5,2,1,9,(3,7)                                                     0
RAA20110131201101305416060720000南国土佐観光びらき特別　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          南国土佐観光びらき特南国土佐観光南国土0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000012000000030000000150000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,7),(1,5,9),2,3,6,8                                                 204,(1,7),5,9,2,3,6,8                                                   304,7,9,1,5,3,6,8,2                                                     409,1,3,(5,6,7),8,4,2                                                   0
RAA20110118201101175416020840000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系一般　Ｃ３　　サラ系一般　サラ系0000E 000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000120000000300000001500000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,6,(2,8),(5,7),1                                                   203,4,6,2,8,5,7,1                                                       303,4,6,8,7,2,5,1                                                       404,(3,8),(1,7),6,2,5                                                   0
RAA20110123201101225416030510000サラ系一般　Ｃ３イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３イ　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,3,2,1,7,6,8                                                       20(4,5),3,2,1,(6,7),8                                                   30(4,5),3,2,1,6,7,8                                                     40(4,5),2,3,1,8,7,6                                                     0
RAA20110124201101235416041020000ガーネット特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           ガーネット特別　　　ガーネット特ガーネ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001800000004500000022000000150000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,6,2,1,9,3,7,(5,8)                                                2010,6,2,4,1,3,9,7,5,8                                                  3010,6,2,4,1,7,3,8,5,9                                                  402,10,6,(1,7),4,5,8,3,9                                                0
RAA20110131201101305416060120000本山町帰全山公園特別　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     本山町帰全山公園特別本山町帰全山本山町0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,(1,7),3,6                                                       204,5,8,(1,3),7,6                                                       304,5,8,3,1,7,6                                                         40(4,5),3,1,6,8,7                                                       0
RAA20110109201101085415050310000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,7,2,4,3,1                                                         206,5,7,4,2,3,1                                                         306,(4,7),(2,5),3,1                                                     406,(4,7),2,5,3,1                                                       0
RAA20110118201101175416020440000サラ系一般　Ｃ３ヘ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３ヘ　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,1,2,5,4                                                         203,6,7,1,2,5,4                                                         303,6,7,1,5,2,4                                                         403,6,7,1,5,4,2                                                         0
RAA20110123201101225416030310000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,(1,5),2,6,3                                                         204,1,(2,5),6,3                                                         304,1,2,5,3,6                                                           404,1,2,5,3,6                                                           0
RAA20110102201101015415041010000武将長宗我部元親特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          武将長宗我部元親特別武将長宗我部武将長0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000012000000030000000150000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,10),(2,6),(1,4),7,5,8,9                                            2010,3,2,6,4,1,7,5,(8,9)                                                3010,3,2,6,(1,4),9,(5,7),8                                              4010,2,6,3,4,1,(5,7,8,9)                                                0
RAA20110110201101095415060320000サラ系一般　Ｃ２イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２イ　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,4,2,1,6,3                                                         205,7,4,2,1,6,3                                                         305,7,2,4,6,1,3                                                         405,2,4,6,7,3,1                                                         0
RAA20110131201101305416061020000菜の花ウォーキング特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          菜の花ウォーキング特菜の花ウォー菜の花0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000120000000300000001500000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,4,(2,5),3,7                                                       206,1,4,(2,5),3,7                                                       306,1,4,(2,5),3,7                                                       404,1,5,2,6,3,7                                                         0
