RAA20110306201103055520051010000マーチ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マーチ特別　Ｃ１　　マーチ特別　マーチ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　175000002400    0000350000000810000003200000018000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,4,6,9,7,8,5                                                     201,2,4,3,6,9,7,8,5                                                     301,6,2,3,4,7,9,8,5                                                     406,1,3,4,2,7,8,9,5                                                     0
RAA20110313201103125521010210000Ｃ２－２０組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－２０組　Ｃ２　Ｃ２－２０組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000150000000350000001400000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,7,3,4,2,1,5                                                       206,8,7,3,2,4,1,5                                                       306,3,8,7,2,1,5,4                                                       406,3,7,8,2,1,5,4                                                       0
RAA20110313201103125521010910000Ｃ１－６組　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１－６組　Ｃ１　　Ｃ１－６組　Ｃ１－0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,2,6,3,4,1,8                                                       205,7,2,6,3,4,1,8                                                       305,7,2,6,3,1,8,4                                                       405,2,7,3,6,1,8,4                                                       0
RAA20110322201103215521050740000Ｃ１－９組　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１－９組　Ｃ１　　Ｃ１－９組　Ｃ１－0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,3,6,5,1,7,2,4                                                     209,8,3,5,6,7,1,2,4                                                     309,8,3,5,6,7,1,4,2                                                     408,3,9,6,1,5,4,7,2                                                     0
RAA20110322201103215521050840000Ｃ１－２組　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１－２組　Ｃ１　　Ｃ１－２組　Ｃ１－0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000240000000550000002200000012000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808084040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,2,6,3,4,1,5                                                       207,8,2,3,6,4,1,5                                                       307,8,3,2,4,6,5,1                                                       407,8,3,4,1,2,6,5                                                       0
RAA20110313201103125521011010000大観峰特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               大観峰特別　　　　　大観峰特別　大観峰0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000350000000810000003200000018000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,2,7,4,1,3,8                                                       205,6,2,4,7,1,8,3                                                       305,6,7,2,4,8,1,3                                                       405,6,2,4,1,7,8,3                                                       0
RAA20110314201103135521021020000はがくれ大賞典　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAGAKURE DAISHOTEN                                                                                                                                                                                                                                                                                                                                                      はがくれ大賞典　　　はがくれ大賞はがく0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　200000002400    0002000000004600000018000000100000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,10,9,3,4,1,8,2,5,11                                               207,10,6,3,4,9,1,8,2,5,11                                               307,10,3,8,4,2,6,1,5,9,11                                               4010,7,4,3,8,2,1,11,5,9,6                                               0
RAA20110306201103055520050710000Ｃ２－３組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－３組　Ｃ２　　Ｃ２－３組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000350000001400000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,2,4,6,5,7,8                                                       203,9,2,6,4,5,7,8                                                       306,3,9,2,5,8,4,7                                                       406,3,9,2,5,8,7,4                                                       0
RAA20110321201103205521040920000Ｃ２－３組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－３組　Ｃ２　　Ｃ２－３組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000350000001400000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,7,6,8,3,9,2                                                     201,4,5,7,8,6,9,3,2                                                     301,5,4,7,9,8,6,3,2                                                     401,5,4,7,6,3,8,9,2                                                     0
RAA20110306201103055520050310000３歳－９組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳－９組　　　　　３歳－９組　３歳－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000460000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,4,2,8,6,1,9                                                     203,5,7,4,2,6,8,1,9                                                     303,5,4,7,6,2,1,8,9                                                     405,3,4,6,2,7,1,9,8                                                     0
RAA20110321201103205521040520000東日本大震災復興支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          東日本大震災復興支援東日本大震災東日本0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000460000001800000010000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,2,6,7,3,5,8                                                       201,4,2,7,6,3,5,8                                                       304,1,2,7,3,6,5,8                                                       404,2,1,3,7,6,5,8                                                       0
