RAA20110818201108174506010960000オーガストフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               オーガストフラワー賞オーガストフオーガ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,6,1,8,7,3,5,9                                                     202,4,6,1,8,3,7,5,9                                                     302,4,8,6,1,7,(3,9),5                                                   402,(1,4),3,6,8,5,7,9                                                   0
RAA20110823201108184506020970000サーフフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サーフフラワー賞（中サーフフラワサーフ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,5,7,4,2,8,1                                                       203,6,5,7,4,2,8,1                                                       303,6,5,7,8,4,2,1                                                       403,6,5,7,(4,8),2,1                                                     0
RAA20110818201108174506011160000サラ系一般　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,6,1,11,5,2,3,12,10,7,4,13                                         209,6,8,1,5,11,2,10,12,3,7,13,4                                         309,(6,10),(1,8),(11,12),5,2,3,13,7,4                                   409,10,6,1,12,5,11,13,3,2,7,8,4                                         0
RAA20110901201108314507010860000サードニックスフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サードニックスフラワサードニックサード0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,8,1,7,11,9,2,6,4,10                                               205,3,8,1,7,11,9,2,6,4,10                                               305,3,8,1,11,7,9,6,10,2,4                                               405,3,1,7,8,11,6,9,10,2,4                                               0
RAA20110821201108204506040710000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131320400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,13,3,5,9,2,4,7,10,6,12,1,8                                         2011,13,3,5,9,2,4,7,10,12,1,6,8                                         3011,13,(5,9),(2,3),4,7,1,(8,12),10,6                                   40(9,11,13),5,(2,3,4),1,8,7,10,12,6                                     0
RAA20110821201108204506040810000サラ系一般　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,11,3,5,12,9,6,8,7,2                                              201,10,11,3,12,5,6,7,9,8,2                                              30(1,10,12),(7,11),3,6,5,8,9,2                                          40(10,12),11,7,(1,3),6,(5,8),2,9                                        0
RAA20110820201108194506031180000星月夜特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          星月夜特別　Ｂ３二　星月夜特別　星月夜0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,11,8,6,4,7,10,1,5,12,3                                            202,9,11,8,6,4,10,7,1,5,12,3                                            302,11,(5,9),(6,8),(4,7),10,12,1,3                                      40(2,11),5,8,6,4,(10,12),(1,9),3,7                                      0
RAA20110819201108184506021070000葉月特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          葉月特別　Ａ３　　　葉月特別　Ａ葉月特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0003400000010200000068000000408000002720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,4,5,8,7,3,9,2,6                                                  201,4,5,10,8,7,3,(2,9),6                                                301,(4,8),5,7,3,(9,10),2,6                                              401,(4,8),7,(3,9),2,5,10,6                                              0
RAA20110818201108174506010660000サラ系一般　Ｃ２二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,5,4,10,(7,11),2,6,9,3                                             201,(5,8),4,10,2,7,(6,11),3,9                                           301,(5,8),4,10,(6,7,11),(3,9),2                                         401,(4,5),8,10,6,7,2,3,9,11                                             0
RAA20110831201108184506020270000特選　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            特選　３　　　　　　特選　３　　特選　0000  110000000000000000000サラ系２歳　１５万上３５万未満　　　　　　　　　　　　　　　140000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,11,5,9,12,7,6,3,2,4,1                                            20(8,10),11,5,9,12,(3,6),7,2,4,1                                        30(10,11),12,8,9,(6,7),5,3,4,2,1                                        4010,11,8,12,9,6,7,(2,3),5,4,1                                          0
RAA20110819201108184506020670000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,11,3,2,4,5,1,8,7,12,9                                            2010,6,2,11,3,4,8,5,1,7,12,9                                            3010,6,11,3,2,4,(1,8),5,9,12,7                                          4010,6,3,(2,4),11,8,1,12,5,(7,9)                                        0
