RAA20111216201112155021060870000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,11,2,8,(4,10),5,7,1,9,6,12                                          203,11,2,8,(4,10),5,7,1,9,6,12                                          308,11,(2,4),3,10,9,1,5,7,6,12                                          408,4,2,10,9,11,1,5,(3,6),7,12                                          0
RAA20111222201112215022020860000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,10,6,4,7,(1,2),5,9                                                203,8,10,6,4,7,1,2,5,9                                                  30(2,8),3,4,6,1,10,7,5,9                                                408,2,4,(1,3,6),5,9,7,10                                                0
RAA20111222201112215022020960000エフエムあまがさき８２．０ＭＨｚ賞　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エフエムあまがさき８エフエムあまエフエ0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,2,12,3,7,5,8,4,9,10,1                                            206,11,2,12,3,7,5,8,4,9,10,1                                            306,12,8,11,2,9,3,7,(4,5),10,1                                          406,12,8,9,2,11,5,1,3,10,4,7                                            0
RAA20111224201112235022040380000サラ系３歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２二サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,10,(8,9),7,6,5,1,3                                                202,4,10,8,9,7,6,5,1,3                                                  302,4,7,9,10,3,8,6,5,1                                                  402,7,4,9,3,10,6,1,8,5                                                  0
RAA20111230201112295022061170000サラ系３歳上　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｂ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00005500000011000000055000000330000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,9,10,3,4,7,6,(1,5),8,2,11                                          2012,9,10,3,7,4,5,6,1,8,2,11                                            3012,10,3,9,7,6,4,5,1,2,8,11                                            4012,10,7,3,9,6,4,1,5,8,2,11                                            0
RAA20111231201112305023010780000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,9,(2,11),(6,7),1,4,8,10                                           203,5,9,2,11,6,7,1,4,8,10                                               305,3,9,6,1,2,4,7,10,11,8                                               405,9,6,3,1,2,7,4,8,10,11                                               0
RAA20111231201112305023011180000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000540000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,(2,12),1,4,6,11,8,10,9,3                                          207,5,2,12,1,4,6,11,8,10,9,3                                            30(1,7),5,12,2,9,6,10,4,3,8,11                                          401,7,(5,9),12,2,10,3,(4,6,11),8                                        0
RAA20120101201112315023020510000サラ系３歳上　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳上　Ｂ２　サラ系３歳上サラ系0000E 130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,3,6,7,1                                                         202,4,3,5,6,7,1                                                         302,4,3,6,1,5,7                                                         402,4,3,6,1,7,5                                                         0
RAA20120101201112315023020710000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,1,10,4,2,3,7,5,8                                                  206,9,1,10,4,2,3,7,5,8                                                  306,10,9,1,3,2,4,7,5,8                                                  406,10,1,9,3,2,5,4,7,8                                                  0
RAA20120106201112315023020910000園田ジュニアＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SONODA JUNIOR CUP                                                                                                                                                                                                                                                                                                                                                       園田ジュニアＣ　　　園田ジュニア園田ジ0000D 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0005000000010000000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,5,8,2,7,(1,9),3,10,6                                             204,11,5,8,2,7,1,9,(3,10),6                                             304,8,5,3,(7,10),2,11,6,1,9                                             404,5,8,3,10,6,7,1,2,(9,11)                                             0
