RAA20110504201105033001020750000日高町家畜自衛防疫組合賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          日高町家畜自衛防疫組日高町家畜自日高町0000  120004000000000000000サラ系３歳　１００万下　　　　　　　　　　　　　　　　　　　120000002400    000030000000060000000450000003000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,3),8,(4,5),7,11,(6,9),1,10                                         40(2,3),8,(4,5),6,(7,11),(1,9),10                                       00                                                                      00                                                                      0
RAA20110504201105033001021050000「門別温泉とねっこの湯」特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          「門別温泉とねっこの「門別温泉と「門別0000E 130002000000000000000サラ系３歳上　４００万下　　　　　　　　　　　　　　　　　　180000002400    0000500000001000000007500000050000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,(1,2,5),6,12,8,11,10,(7,9)                                        203,4,1,(2,5),6,8,12,11,10,(7,9)                                        303,4,5,(1,2),(6,8,12),(10,11),(7,9)                                    40(3,4),(2,5,8),12,6,(10,11),(1,9),7                                    0
RAA20110512201105113002010660000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    00017000000034000000255000001700000008500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003011,(3,9),(1,2,10),5,8,6,7                                             4011,(3,9),2,1,10,5,8,6,7                                               00                                                                      00                                                                      0
RAA20110512201105113002010760000サラ系３歳　条件　ＯＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD OP                                                                                                                                                                                                                                                                                                                                                       サラ系３歳　条件　Ｏサラ系３歳　サラ系0000  120002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,(2,8),9,(3,4,6),(1,7),10                                            405,2,8,9,3,6,(1,4),7,10                                                00                                                                      00                                                                      0
RAA20110520201105193002041070000クルミ特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          クルミ特別　Ａ３　　クルミ特別　クルミ0000E 000002000000000000000サラ系一般　６００万下　　　　　　　　　　　　　　　　　　　170000002400    0000600000001200000009000000060000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,1,8,7,3,9,2                                                       206,5,1,8,3,7,9,2                                                       306,5,1,8,9,7,2,3                                                       406,5,1,9,8,(2,7),3                                                     0
RAA20110526201105253003010660000サラ系３歳　条件　ＯＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD OP                                                                                                                                                                                                                                                                                                                                                       サラ系３歳　条件　Ｏサラ系３歳　サラ系0000  120002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,6,(1,5,8),2                                                     203,4,(5,7),1,(6,8),2                                                   30(3,4,7,8),5,1,6,2                                                     40(3,4,8),7,5,1,2,6                                                     0
RAA20110505201105043001031160000ヴァーミリアン賞　一般　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       ヴァーミリアン賞　一ヴァーミリアヴァー0000E 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　170000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,4,(1,8),2,7,6,5                                                   203,9,4,8,(1,2),7,6,5                                                   309,(4,8),1,3,7,2,6,5                                                   409,(1,4),8,7,3,6,2,5                                                   0
RAA20110506201105053001041170000コスモバルク記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　COSMO BULK KINEN                                                                                                                                                                                                                                                                                                                                                        コスモバルク記念　　コスモバルクコスモ0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　180000002400    0003000000006000000045000000300000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,(7,14),2,5,4,8,(1,9),(10,12),(6,13),11                              203,7,14,2,5,9,(4,8),12,1,10,(6,13),11                                  30(3,7,14),9,2,12,1,5,8,13,10,4,11,6                                    40(3,7,14),(2,9),12,(1,8),13,(5,10),11,(4,6)                            0
RAA20110519201105183002030560000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0001200000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,7,3,4,5,6,(2,10),9,8                                                40(1,7),3,4,5,6,(2,10),9,8                                              00                                                                      00                                                                      0
RAA20110519201105183002031260000ひなげし特別　一般　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       ひなげし特別　一般　ひなげし特別ひなげ0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,(2,5),(1,4),3                                                     207,6,5,2,1,4,3                                                         30(2,6),(5,7),4,1,3                                                     40(2,6),4,5,1,7,3                                                       0
