RAA20110922201109215014051060000はぎ賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     はぎ賞　Ｃ１　　　　はぎ賞　Ｃ１はぎ賞0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000005400000027000000150000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111120400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,1,10,5,8,2,9,6,7,3,4                                               2011,1,10,5,8,2,9,6,7,3,4                                               3011,5,1,10,2,9,6,(3,8),7,4                                             4011,5,10,1,9,2,6,3,7,8,4                                               0
RAA20110923201109225015010370000サラ系３歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２三サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,7,6,4,1,3                                                         202,5,6,7,1,4,3                                                         302,1,5,6,7,4,3                                                         402,5,1,6,7,4,3                                                         0
RAA20110928201109275015031150000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,1,7,5,4,10,6                                                    202,3,9,1,7,5,4,10,6                                                    309,5,2,7,1,(3,4),6,10                                                  405,9,7,2,1,4,6,10,3                                                    0
RAA20110922201109215014050460000サラ系３歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２三サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,10,2,5,6,9,8,7                                                  201,3,4,2,10,5,6,9,8,7                                                  301,5,3,4,2,10,6,9,8,7                                                  401,5,4,3,2,10,6,9,8,7                                                  0
RAA20110923201109225015010870000サラ系３歳上　Ａ１Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳上　Ａ１Ａサラ系３歳上サラ系0000E 130002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000850000001700000008500000051000000340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000706062040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,5,3,4                                                           201,6,7,5,3,4                                                           301,5,3,6,4,7                                                           401,3,5,6,4,7                                                           0
RAA20110909201109085013060670000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000000800000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,9,2,10,3,8,4,1,7,5                                               206,11,9,2,10,3,8,4,7,1,5                                               30(6,10),8,9,3,7,2,11,4,1,5                                             407,3,10,6,8,9,4,2,1,11,5                                               0
RAA20110914201109135014010750000サラ系３歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,4,1,6,2,8,10,5,7                                                  209,4,3,1,6,2,8,(7,10),5                                                309,4,8,(1,3),2,6,(5,7),10                                              404,8,9,3,1,2,6,7,5,10                                                  0
RAA20110922201109215014050360000サラ系３歳上　Ｃ２四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２四サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,2,5,6,1,8,7,9                                                     203,4,2,1,6,5,8,7,9                                                     304,3,2,5,1,6,8,7,9                                                     404,2,5,3,1,8,6,7,9                                                     0
RAA20110922201109215014050560000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004000000008000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121230400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,12,6,10,7,1,4,9,2,5,8,3                                            2011,12,6,10,(1,7),(4,9),2,3,5,8                                        3012,(10,11),6,1,(2,7),9,3,4,8,5                                        4012,10,2,6,11,7,1,3,9,4,8,5                                            0
RAA20110924201109235015020680000サラ系３歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２二サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,3,7,1,4,5                                                         20(2,6),7,3,1,4,5                                                       307,1,2,6,3,4,5                                                         407,1,3,2,6,4,5                                                         0
