RAA20110206201102055316011110000梅の花特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          梅の花特別　Ｂ１　　梅の花特別　梅の花0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,1,(2,7),3,4,6                                                   205,8,1,9,(2,3,7),4,6                                                   305,8,7,3,1,9,4,2,6                                                     405,3,7,8,4,1,6,9,2                                                     0
RAA20110220201102195317011010000パンジー特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          パンジー特別　Ｂ１　パンジー特別パンジ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,2,5,3,7,6,9,10                                                  201,4,8,2,5,7,3,6,9,10                                                  301,4,8,5,2,7,3,9,10,6                                                  401,4,5,8,7,2,3,9,10,6                                                  0
RAA20110228201102275317030920000福山牝馬特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FUKUYAMA HIMBA TOKUBETSU                                                                                                                                                                                                                                                                                                                                                福山牝馬特別　　　　福山牝馬特別福山牝0000D 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000005000000025000000125000000620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,8,1,(3,4,10),(5,7),6                                              202,9,(1,8),(3,4),10,7,5,6                                              302,8,7,9,1,5,4,3,10,6                                                  402,8,7,5,1,4,(3,6),9,10                                                0
RAA20110206201102055316010810000三菱電機株式会社創立記念日杯　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     三菱電機株式会社創立三菱電機株式三菱電0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000140000000280000001400000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,9,2,4,1,3,5,7                                                     208,6,9,2,4,1,3,5,7                                                     308,6,9,2,4,1,3,5,7                                                     408,2,6,9,1,4,5,3,7                                                     0
RAA20110220201102195317010110000「おはようモーニングとく戦」　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     「おはようモーニング「おはようモ「おは0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000140000000280000001400000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,10,1,9,5,3,8,4,6                                                  207,2,1,10,9,5,3,8,4,6                                                  307,2,9,1,10,5,8,4,3,6                                                  407,2,9,5,1,4,6,10,8,3                                                  0
