RAA20110714201107134707010960000あじめ峡特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          あじめ峡特別（中央交あじめ峡特別あじめ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004100000010300000041000000250000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,6,9,7,4,2,1,8,5                                                  2010,3,6,7,9,2,1,4,8,5                                                  3010,3,1,6,7,9,2,4,8,5                                                  401,10,3,7,9,6,2,8,4,5                                                  0
RAA20110728201107274708020860000郡上高原賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          郡上高原賞（中央交流郡上高原賞（郡上高0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,9,7,4,6,3,1,8,10                                                  202,5,9,7,3,4,1,6,8,10                                                  302,5,9,7,3,1,4,8,6,10                                                  402,5,9,7,3,1,4,8,6,10                                                  0
RAA20110728201107274708020960000鈴蘭特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          鈴蘭特別（中央交流）鈴蘭特別（中鈴蘭特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,4,6,1,8,2,3                                                       204,7,9,6,1,3,2,8                                                       304,7,3,2,1,9,6,8                                                       403,4,2,7,1,6,9,8                                                       0
RAA20110715201107144707020570000頑張れ東北！マリオ小松記念　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     頑張れ東北！マリオ小頑張れ東北！頑張れ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,3,7,4,2,9,5,8                                                     201,6,3,7,2,4,9,5,8                                                     301,6,3,7,4,2,9,5,8                                                     401,6,3,7,4,2,9,8,5                                                     0
RAA20110719201107184707040740000岐阜信用金庫杯　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          岐阜信用金庫杯　Ｃ１岐阜信用金庫岐阜信0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,7,5,8,2,6                                                       204,9,1,7,5,2,8,6                                                       304,9,1,7,2,8,5,6                                                       404,9,7,1,8,2,5,6                                                       0
RAA20110719201107184707041040000オグリキャップメモリアル　Ｂ６Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     オグリキャップメモリオグリキャッオグリ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010090920100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,7,8,5,2,4,1,9,6                                                    2010,7,8,5,2,1,4,9,6                                                    3010,7,8,5,2,1,4,9,6                                                    4010,7,8,2,5,1,9,4,6                                                    0
RAA20110726201107254708010940000マックル賞　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     マックル賞　Ｃ１８　マックル賞　マック0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101030400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,8,9,7,4,1,5,6,2                                                  2010,3,8,7,9,4,1,5,6,2                                                  3010,8,7,4,3,1,9,5,6,2                                                  4010,1,8,7,4,9,5,6,3,2                                                  0
RAA20110728201107274708020760000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳１組特別　サラ系３歳１サラ系0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000330000000660000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,2,9,10,6,7,3,8,5                                                  201,4,2,9,10,6,7,3,8,5                                                  301,4,2,10,9,3,7,6,8,5                                                  401,4,2,3,10,7,9,6,8,5                                                  0
RAA20110730201107294708040880000サラ系Ｂ５・Ｃ３組　Ｂ５Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５・Ｃ３組　サラ系Ｂ５・サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,7,2,6,3,4,10,8                                                    207,5,9,2,6,3,4,10,8                                                    307,5,9,2,3,6,4,10,8                                                    405,7,9,3,2,6,4,10,8                                                    0
RAA20110702201107014706040180000サラ系３歳１３組　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１３組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,7,4,9,3,1,6,5                                                     208,2,7,4,9,1,3,6,5                                                     308,2,4,7,1,9,3,6,5                                                     408,4,7,2,1,9,3,6,5                                                     0
RAA20110714201107134707010260000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,1,9,7,6,8,10,5,2,4                                                  203,1,9,7,6,8,5,10,2,4                                                  303,6,9,1,7,8,5,10,2,4                                                  403,6,7,9,5,1,8,10,4,2                                                  0
RAA20110715201107144707020170000サラ系３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳８組　８　サラ系３歳８サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,7,3,5,1,4,6                                                     202,8,7,9,3,5,4,1,6                                                     308,2,9,3,7,5,4,1,6                                                     408,3,9,2,7,5,4,1,6                                                     0
RAA20110716201107154707031080000クイーンＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　QUEEN CUP                                                                                                                                                                                                                                                                                                                                                               クイーンＣ　　　　　クイーンＣ　クイー0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000003750000016500000090000000450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,9,1,6,3,8,10,2,5                                                  204,7,1,9,6,3,8,2,10,5                                                  306,9,1,7,4,3,8,2,10,5                                                  406,9,1,3,4,7,10,2,8,5                                                  0
