RAA20110307201103065318021020000岡山県馬事振興会長賞　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          岡山県馬事振興会長賞岡山県馬事振岡山県0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,2,8,5,1,6,3                                                       204,7,2,8,5,1,6,3                                                       304,7,2,8,5,1,3,6                                                       404,(2,7),5,8,1,3,6                                                     0
RAA20110322201103215319021140000春分の日特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春分の日特別　Ｂ１　春分の日特別春分の0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,(7,8),2,10,6,3,9,5,1                                                204,7,2,8,6,10,9,3,1,5                                                  304,8,9,(2,7),3,6,1,10,5                                                404,9,8,2,3,6,1,7,10,5                                                  0
RAA20110306201103055318010410000福山・高知連携龍馬シリーズ五戦　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     福山・高知連携龍馬シ福山・高知連福山・0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　113000002400    0000140000000280000001400000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,2,7,4,6,8,1,5                                                       203,2,7,6,4,1,8,5                                                       303,2,(4,6,7),1,5,8                                                     40(2,3),4,6,1,7,5,8                                                     0
RAA20110307201103065318020720000「午後のカフェとく戦」　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     「午後のカフェとく戦「午後のカフ「午後0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000140000000280000001400000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,4,1,6,8,5                                                       20(2,3),7,4,1,6,8,5                                                     30(2,3),7,(1,4),6,8,5                                                   403,2,7,1,4,8,6,5                                                       0
RAA20110329201103285319040840000中国・四国連携よさこいシリーズ第三戦　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     中国・四国連携よさこ中国・四国連中国・0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,10,5,6,4,1,9,8,2                                                  207,10,6,3,5,4,1,9,8,2                                                  307,6,10,4,3,5,1,8,9,2                                                  407,6,4,10,5,3,1,8,9,2                                                  0
