RAA20110518201105174502021250000緑陰特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          緑陰特別　Ｃ２一　　緑陰特別　Ｃ緑陰特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,13,14,12,1,7,2,6,3,4,10,11,8,5                                      209,13,14,1,12,7,2,6,4,3,11,10,8,5                                      309,13,14,12,6,1,10,2,7,4,3,11,5,8                                      4013,9,14,12,1,6,10,2,5,4,7,11,3,8                                      0
RAA20110520201105194502040670000サラ系一般　Ｃ２１３１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１３サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,6,5,2,1,9,8,(3,4),12,7                                          2010,11,6,5,1,2,3,9,4,8,7,12                                            3010,11,5,3,9,6,(2,7),1,8,4,12                                          4010,11,5,3,2,7,9,6,1,4,8,12                                            0
RAA20110521201105204502050980000サラ系一般　Ｃ２１６１７１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１６サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,(11,12),1,4,(2,3),5,6,7,10,8                                        209,12,1,11,4,2,3,5,6,7,10,8                                            309,12,11,1,7,3,4,2,5,6,10,8                                            409,12,1,11,3,2,7,5,4,6,10,8                                            0
RAA20110520201105194502041070000薫風特別　Ｂ２三Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          薫風特別　Ｂ２三Ｂ３薫風特別　Ｂ薫風特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002600000007800000052000000312000002080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(8,14),5,10,9,7,11,3,2,13,12,4                                      201,8,5,14,10,9,7,3,11,2,13,12,4                                        301,8,14,7,5,10,9,11,3,12,13,2,4                                        401,8,5,9,7,14,11,3,(2,10),12,13,4                                      0
RAA20110521201105204502051280000小田原十郎梅特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          小田原十郎梅特別　Ｂ小田原十郎梅小田原0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00024000000072000000480000002880000019200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,5,10,14,4,2,11,8,3,1,6,9,12,7                                      2013,5,10,14,4,2,8,11,3,1,6,9,12,7                                      3013,5,14,11,10,(3,4),2,1,6,8,12,9,7                                    405,13,11,14,3,4,6,1,10,9,2,12,8,7                                      0
RAA20110519201105184502030960000特選　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     特選　Ｂ３三　　　　特選　Ｂ３三特選　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000170000000510000003060000020400000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,3),2,12,10,11,8,7,9,4,5,6                                          201,3,2,12,10,11,7,8,9,4,5,6                                            301,2,3,12,11,10,8,4,9,7,6,5                                            401,2,12,10,3,9,11,8,4,6,7,5                                            0
RAA20110519201105184502030560000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,11,10,6,12,5,1,13,3,2,8,9,4                                         207,11,10,6,12,5,3,1,2,13,8,9,4                                         307,11,10,(5,6),12,1,3,2,8,4,13,9                                       407,11,10,6,5,1,12,3,2,9,8,4,13                                         0
RAA20110521201105204502050580000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,13,12,5,1,10,11,2,14,6,3,7,8,4                                      209,13,12,5,1,11,10,2,14,6,3,4,8,7                                      309,13,5,14,(11,12),3,(2,10),6,1,4,8,7                                  409,13,(5,12),11,(2,14),3,6,10,4,1,8,7                                  0
RAA20110519201105184502030260000サラ系３歳　６イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　６イ　　サラ系３歳　サラ系0000  120000000000000000000１００万上１４８万未満　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,6,1,2,3,9,5,8                                                     204,7,1,6,2,3,9,5,8                                                     30(4,7),6,1,9,3,2,5,8                                                   404,7,1,6,3,9,5,2,8                                                     0
RAA20110521201105204502050280000サラ系３歳　９ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　９ロ　　サラ系３歳　サラ系0000  120000000000000000000４０万上１００万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,12,2,4,6,3,1,11,7,10                                            205,8,9,2,4,12,6,1,3,11,7,10                                            305,8,9,12,4,6,10,3,2,11,7,1                                            405,8,(4,9),12,6,3,10,7,11,2,1                                          0
RAA20110517201105164502010940000サラ系一般　Ｃ１五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,5,11,3,12,4,14,8,1,9,10                                         202,7,6,5,3,11,4,12,8,14,1,9,10                                         302,(6,7),5,3,11,4,8,14,12,1,10                                         402,5,(6,7),4,3,11,14,8,1,12,10                                         0
