HR22002122120001007080401011414000000000000000000000000000000000000000000000000000000000000000000000000800000138006                          080000004400706000000280040300000021003                          4500000374016                          0608000005780022                                060800000180002003080000014200160306000000710006                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401021111000000000000000000000000000000000000000000000000000000000000000000000000300000035002                          030000001900307000000230050500000068008                          3600000090005                          0307000001370006                                030700000044000403050000020900250507000002170027                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401031010000000000000000000000000000000000000000000000000000000000000000000000000600000022001                          060000001300103000000230040200000065009                          3600000126005                          0306000001240005                                030600000051000502060000014800150203000003010030                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401041111000000000000000000000000000000000000000000000000000000000000000000000000400000105006                          040000003700605000000840100200000017002                          4500001087030                          0405000013410042                                040500000292004102040000009900110205000001590022                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401051313000000000000000000000000000000000000000000000000000000000000000000000000500000254007                          050000003500504000000120011000000017003                          4400000236010                          0405000002250007                                040500000078000705100000012300140410000000290002                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401061111000000000000000000000000000000000000000000000000000000000000000000000000600000147006                          060000002300405000000130011100000025005                          5600000120004                          0506000001490005                                050600000059000506110000012900180511000000620006                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401071717000000000000000000000000000000000000000000000000000000000000000000000000400000163006                          040000004100709000000360050600000014001                          2500000248009                          0409000009100032                                040900000312003804060000012600100609000001020005                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401081313000000000000000000000000000000000000000000000000000000000000000000000001300000033001                          130000001400105000000170020400000024005                          4800000066003                          0513000001160003                                051300000047000304130000007300080405000000970012                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401090909000000000000000000000000000000000000000000000000000000000000000000000000900000102004                          090000002600702000000130020400000011001                          2800000131006                          0209000003360012                                020900000079001204090000004500050204000000200001                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401101313000000000000000000000000000000000000000000000000000000000000000000000000400000078004                          040000002700509000000480070800000025004                          4600000168010                          0409000005240021                                040900000164002304080000010300100809000001630021                                                                                                                0000                                                                                            000000                                                                                                                                                                  
HR22002122120001007080401111313000000000000000000000000000000000000000000000000000000000000000000000001200000162007                          120000004500602000000490070500000030004                          2800000415019                          0212000008160029                                021200000239002805120000026000310205000001880024                                                                                                                0000                                                                                            000000                                                                                                                                                                  
