HR22004011920040117100101011010000000000000000000000000000000000000000000000000000000000000000000000000200000011001                          020000001100108000000180030100000048007                          2700000032002                          0208000000420002                                020800000023000201020000004900070108000001750018                                                                                                                0208000000500002                                                                                010208000003440011                                                                                                                                                      
HR22004011920040117100101021616000000000000000000000000000000000000000000000000000000000000000000000000400000084004                          040000001800413000000140020500000015003                          2700000116005                          0413000001420006                                041300000046000504050000005300070513000000420004                                                                                                                0413000003850014                                                                                040513000001890006                                                                                                                                                      
HR22004011920040117100101031717000000000000000000000000000000000000000000000000000000000000000000000000800000526009                          080000007500912000000220040900000013001                          4600000744020                          0812000017110036                                081200000310002608090000015100180912000000440004                                                                                                                0812000053640091                                                                                080912000012010034                                                                                                                                                      
HR22004011920040117100101041818000000000000000000000000000000000000000000000000000000000000000000000000200000199005                          020000004600901000000120010700000046008                          1100000168006                          0102000001530006                                010200000065000602070000030300280107000001250011                                                                                                                0201000005500015                                                                                010207000012290036                                                                                                                                                      
HR22004011920040117100101050909000000000000000000000000000000000000000000000000000000000000000000000000300000023001                          030000001200109000000130020800000043006                          3800000030001                          0309000000310001                                030900000014000103080000009100110809000001130013                                                                                                                0309000000690001                                                                                030809000002960011                                                                                                                                                      
HR22004011920040117100101061515000000000000000000000000000000000000000000000000000000000000000000000000700000135007                          070000002900512000000440081100000027004                          4700000355015                          0712000007500032                                071200000218003007110000014000201112000001140014                                                                                                                0712000013420062                                                                                071112000015210060                                                                                                                                                      
HR22004011920040117100101071414000000000000000000000000000000000000000000000000000000000000000000000000700000047003                          070000002200304000002640120500000054007                          3500000139005                          0407000023740049                                040700000881005605070000018900160405000013190067                                                                                                                0704000036790077                                                                                040507000142850202                                                                                                                                                      
HR22004011920040117100101081615000000000000000000111110110100000000000000000000000000000000000100000001500000060003                          150000002100403000000490080600000020002                          2800000960026                          0315000009090029                                031500000327003306150000006500070306000001660021                                                                                                                1503000012700042                                                                                030615000016850046                                                                                                                                                      
HR22004011920040117100101091818000000000000000000000000000000000000000000000000000000000000000000000000900000018001                          090000001100104000000260041500000064010                          2500000055001                          0409000001100003                                040900000058000409150000014000140415000006350058                                                                                                                0904000001760003                                                                                040915000009460026                                                                                                                                                      
HR22004011920040117100101101818000000000000000000000000000000000000000000000000000000000000000000000000400000040002                          040000002300203000000260030700000132013                          2200000159007                          0304000001550005                                030400000070000504070000040700410307000005460060                                                                                                                0403000002610007                                                                                030407000027700081                                                                                                                                                      
