RAA20101012201010114711010840000サラ系２歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 サラ系２歳１組特別　サラ系２歳１サラ系0000E 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000550000001380000007200000039000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,6,2,1,8,7,3                                                       205,4,6,2,1,8,7,3                                                       305,4,6,1,2,7,8,3                                                       405,4,6,1,7,8,3,2                                                       0
RAA20101014201010134711030960000三番叟特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          三番叟特別（中央交流三番叟特別（三番叟0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,4,9,6,10,1,7,8                                                  202,3,5,9,4,10,6,1,8,7                                                  303,5,2,9,4,1,8,6,10,7                                                  405,9,3,4,2,1,6,10,8,7                                                  0
RAA20101028201010274712020960000白菊特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          白菊特別（中央交流）白菊特別（中白菊特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,5,6,2,7,3                                                         204,5,1,6,2,7,3                                                         304,5,6,1,2,7,3                                                         404,5,6,3,1,2,7                                                         0
RAA20101012201010114711010340000ずっと応援☆笠松けいば記念　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ずっと応援☆笠松けいずっと応援☆ずっと0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,9,7,8,2,4,5,3                                                     201,6,9,2,8,7,5,4,3                                                     301,6,9,2,7,8,5,3,4                                                     406,1,9,2,7,8,5,3,4                                                     0
RAA20101014201010134711030160000サラ系３歳１２組　１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１２組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,9,4,2,7,1,8                                                     203,5,6,4,9,2,7,8,1                                                     303,5,4,6,7,2,9,8,1                                                     405,7,3,4,6,2,8,9,1                                                     0
RAA20101016201010154711050180000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,1,4,6,5,2,8                                                     203,7,9,1,4,6,2,8,5                                                     303,7,9,1,6,2,4,8,5                                                     403,7,9,1,6,2,4,8,5                                                     0
RAA20101028201010274712020260000サラ系３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１１組　１サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,10,7,8,4,6,2,3                                                    209,5,10,4,7,8,2,6,3                                                    309,5,2,10,4,8,7,6,3                                                    409,2,5,10,4,8,7,6,3                                                    0
RAA20101029201010284712031070000岐阜金賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　GIFU KIN SHO                                                                                                                                                                                                                                                                                                                                                            岐阜金賞　　　　　　岐阜金賞　　岐阜金0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0003200000008000000035200000192000000960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,4,5,9,10,6,7,3,8                                                  202,1,4,5,9,10,6,7,3,8                                                  301,2,4,6,5,9,7,10,3,8                                                  401,2,5,4,9,7,6,8,3,10                                                  0
RAA20101012201010114711010140000響け！なんくるないさー杯　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          響け！なんくるないさ響け！なんく響け！0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,7,3,5,6,8,2,1                                                     209,4,3,7,5,2,6,8,1                                                     309,4,3,7,5,2,6,8,1                                                     404,9,3,7,5,6,2,8,1                                                     0
RAA20101012201010114711010940000ぎふ清流国体ミナモＣ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ぎふ清流国体ミナモＣぎふ清流国体ぎふ清0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000450000002400000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,8,2,3,4,1,6,9                                                     205,7,8,2,3,4,1,6,9                                                     305,7,8,3,4,2,6,1,9                                                     405,7,3,4,8,6,2,1,9                                                     0
RAA20101015201010144711041070000イチイの木特別　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          イチイの木特別　Ｃ１イチイの木特イチイ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002600000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,1,7,5,2,3,8,9                                                     206,4,7,1,5,2,3,9,8                                                     306,4,7,5,1,9,3,2,8                                                     404,6,5,7,3,9,1,2,8                                                     0
RAA20101026201010254712010340000愛Ｌｏｖｅ笠松けいば　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          愛Ｌｏｖｅ笠松けいば愛Ｌｏｖｅ笠愛Ｌｏ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000580000003000000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,10,7,1,8,9,5,6,2                                                  203,4,10,7,1,8,9,5,6,2                                                  303,4,10,7,1,9,8,5,6,2                                                  403,4,10,7,1,9,8,5,6,2                                                  0
RAA20101026201010254712011140000伊勢菊特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          伊勢菊特別　Ｂ１　　伊勢菊特別　伊勢菊0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,7,6,9,4,2,1,5,3                                                  208,10,7,6,9,4,2,1,3,5                                                  308,10,9,7,6,4,2,5,1,3                                                  408,10,6,7,4,9,2,5,3,1                                                  0
