RAA20100527201005263003010460000せせらぎの里日高町賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     せせらぎの里日高町賞せせらぎの里せせら0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,1,(2,6),(4,10),5,3,11,7,12,8                                        409,1,6,10,2,4,3,5,7,11,(8,12)                                          00                                                                      00                                                                      0
RAA20100528201005273003021070000メイショウボーラー賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                            メイショウボーラー賞メイショウボメイシ0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0000500000001000000007500000050000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,2,7,10,5,1,9,6,4,3                                                  408,2,(5,10),7,1,9,6,4,3                                                00                                                                      00                                                                      0
RAA20100505201005043001030750000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001700000003400000025500000170000000850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,(5,9),1,3,2,8,7,6                                                   404,9,5,1,3,2,8,7,6                                                     00                                                                      00                                                                      0
RAA20100520201005193002030660000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0001200000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,12,6,(9,11),8,4,1,10,3                                            405,7,(9,12),6,11,4,8,(1,3),10                                          00                                                                      00                                                                      0
RAA20100520201005193002030860000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001700000003400000025500000170000000850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,8,2,9,3,1                                                         405,8,7,2,3,9,1                                                         00                                                                      00                                                                      0
RAA20100527201005263003010660000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120004000000000000000１００万下　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000300000000600000004500000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,6,8,(4,10),7,5,2,9                                                40(1,3),6,8,(4,10),7,(5,9),2                                            00                                                                      00                                                                      0
RAA20100506201005053001040860000サッポロ麦とホップ特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サッポロ麦とホップ特サッポロ麦とサッポ0000E 000004000000000000000サラ系一般　１３０万下　　　　　　　　　　　　　　　　　　　170000002400    000030000000060000000450000003000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,6),5,4,3,1,7                                                       202,6,5,4,3,1,7                                                         30(2,6),5,(1,4),3,7                                                     40(2,6),5,(1,4),3,7                                                     0
RAA20100528201005273003020970000キタルファ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          キタルファ特別　Ｃ１キタルファ特キタル0000E 000004000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　180000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,3,9,5,8,7,(2,6)                                                   201,4,3,(5,9),8,7,(2,6)                                                 301,4,5,3,8,9,7,(2,6)                                                   401,4,(3,5),8,9,2,7,6                                                   0
RAA20100514201005133002020570000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000170000000340000002550000017000000085000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090807204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,7),3,(4,9),8,(1,6)                                                 405,7,(3,4,9),6,8,1                                                     00                                                                      00                                                                      0
RAA20100514201005133002020770000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001700000003400000025500000170000000850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,6,7,2,8,5,9,3,1                                                     404,(6,7),2,8,5,9,1,3                                                   00                                                                      00                                                                      0
RAA20100505201005043001030550000イーバンクから楽天銀行賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     イーバンクから楽天銀イーバンクかイーバ0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,2,7,(4,9),8,1,3,5                                                   406,2,7,4,1,(8,9),5,3                                                   00                                                                      00                                                                      0
RAA20100513201005123002010760000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    000170000000340000002550000017000000085000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090808304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(6,7),9,(2,3),4,1,5                                                   40(6,7),3,9,2,4,1,5                                                     00                                                                      00                                                                      0
RAA20100527201005263003010760000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0001200000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,4,9,3,2,5,8,1,7                                                     406,4,9,3,2,(1,5),8,7                                                   00                                                                      00                                                                      0
RAA20100520201005193002030560000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001200000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000907071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,3,(2,6),1,7,9                                                       404,3,6,2,1,7,9                                                         00                                                                      00                                                                      0
RAA20100506201005053001040760000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000170000000340000002550000017000000085000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(8,9),5,7,3,2,6,10,4,1                                                40(8,9),5,7,3,6,2,4,10,1                                                00                                                                      00                                                                      0
RAA20100506201005053001040460000サッポロ玉露入りお茶賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サッポロ玉露入りお茶サッポロ玉露サッポ0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(5,7,8),2,4,10,6,9,11,3                                             201,(5,7),8,2,4,10,6,9,11,3                                             301,7,5,8,2,4,9,(10,11),6,3                                             401,7,8,5,2,9,4,(6,11),10,3                                             0
RAA20100520201005193002030260000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000004000000000000000８０万下　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(4,6,9),1,2,5,(8,10),7                                              403,(4,6,9),1,2,5,(7,8),10                                              00                                                                      00                                                                      0
