RAA20101207201012063610060540000選抜戦Ｃ２二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２二組　　　選抜戦Ｃ２二選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,8,(5,7),1,6,2,3,10                                                204,9,1,7,5,6,8,2,3,10                                                  30(4,9),7,1,5,3,8,6,2,10                                                409,4,7,5,(1,3),6,8,2,10                                                0
RAA20101206201012053610051020000錦秋湖賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          錦秋湖賞　Ｃ１　　　錦秋湖賞　Ｃ錦秋湖0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    000025000000050000000250000001800000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,9),2,10,8,(4,5),3,6,7                                              209,1,10,2,3,5,4,6,8,7                                                  309,1,10,3,5,4,2,6,7,8                                                  401,9,3,10,4,5,7,2,6,8                                                  0
RAA20101212201012113611010410000ホープフル（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ホープフル（中央認定ホープフル（ホープ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002300000013000000090000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,4,5,7,10,9,2,3                                                  201,6,8,5,4,7,9,10,2,3                                                  306,8,4,5,(1,7,10),(2,9),3                                              406,4,10,8,5,7,9,1,3,2                                                  0
RAA20101213201012113611010610000Ｃ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２六組　　　　　　Ｃ２六組　　Ｃ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,(7,9),10,8,5,4,3,1,2                                                206,7,9,10,5,8,4,3,1,2                                                  307,9,6,10,8,5,(3,4),2,1                                                40(7,9),6,10,5,8,3,4,2,1                                                0
RAA20101213201012123611020220000Ｃ２十一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十一組　　　　　Ｃ２十一組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,2,4,3,5,8,7,6,1                                                  209,10,4,2,3,5,7,8,1,6                                                  30(9,10),4,2,5,3,7,8,1,6                                                40(4,9,10),2,3,5,7,1,8,6                                                0
RAA20101213201012123611021020000寒菊賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 寒菊賞　　　　　　　寒菊賞　　　寒菊賞0000E 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00015000000030000000150000001050000004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,5,6,3,10,2,7,4,9,8,1                                               2011,5,6,3,10,2,7,8,4,9,1                                               3011,5,(6,10),3,7,(2,8),4,9,1                                           40(5,11),7,3,10,6,8,(2,4),9,1                                           0
RAA20101214201012133611030140000Ｃ２九組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２九組　　　　　　Ｃ２九組　　Ｃ２九0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,6,10,1,3,5,8,7,9                                                  202,4,6,10,1,3,5,8,9,7                                                  302,4,6,10,1,3,5,9,8,7                                                  402,4,6,10,1,3,5,9,7,8                                                  0
RAA20101227201012263612020420000Ｃ２十組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十組　　　　　　Ｃ２十組　　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,1,8,4,10,3,9,2,5                                                  206,7,1,8,4,3,10,9,2,5                                                  306,1,7,(3,8,10),4,5,9,2                                                406,1,10,7,3,4,8,5,9,2                                                  0
RAA20110105201012303612040370000Ｃ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２四組　　　　　　Ｃ２四組　　Ｃ２四0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001000000002000000010000000070000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,7,3,9,6,1,(2,5),8,4                                                2010,7,3,9,6,(1,2),(5,8),4                                              3010,7,9,2,6,3,8,5,1,4                                                  4010,7,9,6,2,5,8,3,1,4                                                  0
RAA20101207201012053610050520000選抜戦Ｃ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２六組　　　選抜戦Ｃ２六選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,(4,7),5,6,2,3                                                       208,7,4,5,2,6,3                                                         308,7,4,5,2,6,3                                                         408,7,4,5,2,6,3                                                         0
RAA20101220201012193611050520000選抜戦Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２五組　　　選抜戦Ｃ２五選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,5,2,6,(3,4)                                                     201,7,2,8,5,6,(3,4)                                                     301,2,(5,7,8),6,(3,4)                                                   401,2,5,6,7,3,(4,8)                                                     0
RAA20101213201012123611020120000Ｃ２十二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十二組　　　　　Ｃ２十二組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,9,6,4,8,1,2,7,3                                                  205,10,9,4,6,8,1,2,7,3                                                  305,(4,10),6,2,9,8,1,7,3                                                4010,5,4,2,1,9,6,8,7,3                                                  0
RAA20101213201012123611020420000Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２五組　　　　　　Ｃ２五組　　Ｃ２五0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001000000002000000010000000070000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,8,1,4,7,3,9,5,6                                                  2010,2,8,1,7,4,3,9,5,6                                                  3010,2,8,7,1,4,3,9,5,6                                                  4010,2,1,8,7,3,4,(5,9),6                                                0
