RAA20100109201001084717030880000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳１組特別　サラ系３歳１サラ系0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000950000005000000027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,7,6,1,4,2                                                         203,5,7,6,1,4,2                                                         303,5,7,1,6,2,4                                                         401,7,3,6,5,2,4                                                         0
RAA20100118201001174718010820000サラ系Ｃ２９組牝馬　Ｃ２９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２９組牝馬　サラ系Ｃ２９サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,9,8,3,7,10,1,5,6                                                  202,4,3,8,9,10,7,6,1,5                                                  302,4,3,8,9,7,10,6,1,5                                                  402,4,7,3,9,1,10,8,6,5                                                  0
RAA20100119201001184718020540000量栄様婚活記念　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     量栄様婚活記念　Ｃ２量栄様婚活記量栄様0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,8,1,3,2,5,4,6                                                     207,9,8,1,2,3,5,4,6                                                     307,8,9,2,1,3,4,5,6                                                     408,7,2,1,3,9,4,5,6                                                     0
RAA20100120201001194718030550000サラ系Ｃ２５組　Ｃ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２５組　Ｃ２サラ系Ｃ２５サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,8,6,7,2,4,1,5                                                     203,9,8,6,7,4,2,1,5                                                     303,9,8,4,7,2,1,6,5                                                     403,9,4,8,2,1,7,5,6                                                     0
RAA20100120201001194718030950000ガーネット特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ガーネット特別（中央ガーネット特ガーネ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,1,3,10,9,5,2,8,4                                                  207,6,1,3,10,5,9,2,8,4                                                  307,6,1,3,5,10,8,2,9,4                                                  406,7,3,10,1,5,8,2,9,4                                                  0
RAA20100121201001204718040860000若菜賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          若菜賞（中央交流）　若菜賞（中央若菜賞0000  120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,1,8,7,4,6                                                       202,3,5,1,8,4,7,6                                                       302,3,5,1,8,4,7,6                                                       402,5,1,8,3,4,7,6                                                       0
RAA20100121201001204718040960000水仙賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          水仙賞（中央交流）　水仙賞（中央水仙賞0000  120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,8,3,4,2,1                                                         207,5,3,8,4,2,1                                                         307,5,4,8,3,2,1                                                         407,4,5,8,3,2,1                                                         0
RAA20100107201001064717010760000サラ系Ｃ１８組　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１８組　Ｃ１サラ系Ｃ１８サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,2,6,3,1,4,7                                                       205,8,2,6,3,1,4,7                                                       305,8,6,2,3,1,4,7                                                       405,8,1,3,6,2,7,4                                                       0
RAA20100118201001174718010920000千両特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          千両特別　Ｂ１　　　千両特別　Ｂ千両特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000290000000730000003800000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,7,8,4,2,10,9,6,1                                                  205,7,3,8,4,2,10,6,9,1                                                  305,7,3,8,4,2,10,9,1,6                                                  403,5,7,8,4,10,2,9,1,6                                                  0
RAA20100121201001204718041060000Ｃ級Ｃｈ　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ級Ｃｈ　Ｃ１３　　Ｃ級Ｃｈ　ＣＣ級Ｃ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000280000000700000003700000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,9,2,4,10,6,7,8,1                                                  203,5,9,2,4,10,7,6,8,1                                                  305,3,9,2,4,10,7,6,8,1                                                  409,10,5,3,4,7,2,1,8,6                                                  0
RAA20100122201001214718050170000サラ系Ｃ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組　Ｃ１サラ系Ｃ１７サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000002100000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,3,7,2,9,5,4,8                                                     201,6,3,7,9,2,5,4,8                                                     306,3,1,7,5,9,4,2,8                                                     406,3,7,5,9,1,4,2,8                                                     0
