RAA20100928201009234307031070000ファビィサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファビィサドル特別（ファビィサドファビ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313133020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,(4,12),13,(2,7,8),11,3,10,6,5                                     201,9,4,12,(2,7),13,8,(10,11),3,5,6                                     30(1,9),4,7,13,10,8,2,11,12,3,5,6                                       40(1,9),(4,7),13,10,8,11,3,2,5,6,12                                     0
RAA20100924201009234307031170000日本ＴＶ盃（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NIPPON TV HAI                                                                                                                                                                                                                                                                                                                                                           日本ＴＶ盃（中央交流日本ＴＶ盃（日本Ｔ0000B 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　180000002300    0040000000140000000800000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,13,2,12,(1,5),6,4,9,11,(3,8),14                                  207,10,13,2,12,(1,5),6,4,9,11,(3,8),14                                  307,10,(2,13),12,5,(4,6),1,9,11,8,3,14                                  407,10,2,4,13,12,6,11,9,1,5,8,14,3                                      0
RAA20100925201009244307040980000サラ系一般　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１Ｃ２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,11,(2,3),4,(8,9),10,7,6                                           201,5,11,(2,3),(4,8),9,10,7,6                                           30(1,5),11,(2,3),9,4,8,10,7,6                                           401,5,(2,3,11),9,4,8,10,7,6                                             0
RAA20100922201009214307010450000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,11,10,14,(3,4),9,(12,13),5,6,8,7                                  202,11,1,10,3,14,4,13,(5,9),12,6,8,7                                    302,11,(10,13,14),3,1,(4,12),5,9,6,8,7                                  402,11,13,14,(3,12),4,10,5,6,(8,9),1,7                                  0
RAA20100922201009214307011150000コスモス賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          コスモス賞　　　　　コスモス賞　コスモ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,2,5,12,3,(1,4),8,7,6,11                                          209,10,5,(2,12),3,(1,4),(7,8),6,11                                      309,10,5,(2,12),(3,4),(7,8),1,(6,11)                                    409,10,5,2,4,3,12,8,7,(6,11),1                                          0
RAA20100924201009234307030370000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000４９万上１０８万未満　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,1,10,4,8,(3,9),(7,11),6,2,12                                        305,1,10,4,11,8,12,9,6,2,7,3                                            401,5,4,11,10,12,2,(6,8,9),7,3                                          00                                                                      0
RAA20100924201009234307031270000仲秋特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          仲秋特別　Ｃ１一　　仲秋特別　Ｃ仲秋特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000200000000600000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121111302000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,5),(7,11),6,1,2,9,(3,8,12)                                         20(4,5),7,6,11,1,2,9,8,3,12                                             30(4,5),7,6,11,2,1,(8,9),12,3                                           40(2,5),4,7,6,11,(1,8,9),12,3                                           0
RAA20100925201009244307040380000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000４９万未満　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(3,4),7,6,9,2,5,1,8                                                   30(3,4,7),(6,9),(2,5),1,8                                               40(3,4,7),9,(5,6),2,1,8                                                 00                                                                      0
RAA20100922201009214307010950000サラ系一般　Ｂ３Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３Ｃ１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    000180000000540000003240000021600000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,8),(10,13),(1,12),3,14,11,5,(6,7),(4,9)                            40(2,8),10,13,1,12,3,(5,14),11,6,7,(4,9)                                00                                                                      00                                                                      0
RAA20100924201009234307030270000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000４９万上１０８万未満　　　　　　　　　　　　　　　　　　　　150000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111301000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,5),6,(7,9),2,1,8,(10,11),4                                         203,5,6,2,9,(1,7),8,(10,11),4                                           30(3,5),6,(1,8,9),7,2,10,11,4                                           40(3,5),6,(8,9),1,7,2,10,11,4                                           0
RAA20100925201009244307040580000中央認定　イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   中央認定　イ　　　　中央認定　イ中央認0000  110000000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002300    0002000000006000000036000000240000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,4,7,6,3,5,1,8,9,10                                                  402,4,7,6,5,3,1,8,9,10                                                  00                                                                      00                                                                      0
