RAA20100602201006015102010450000サラ系３歳　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ１　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000000800000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,7,3,4,2,5                                                       201,6,7,8,3,4,2,5                                                       301,6,3,8,7,4,2,5                                                       401,(3,6),7,8,4,2,5                                                     0
RAA20100603201006025102020560000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000030000000060000000300000001800000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(6,9),5,1,7,4,8,(10,11),3,2                                           206,9,5,1,7,(4,8),11,10,3,2                                             306,9,5,7,(1,4),3,8,11,(2,10)                                           406,9,5,7,3,4,1,8,2,11,10                                               0
RAA20100603201006025102020960000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,7,(1,6),5,2,3,4                                                   208,9,7,1,6,5,2,4,3                                                     309,4,8,1,7,6,5,3,2                                                     409,4,8,1,7,6,5,(2,3)                                                   0
RAA20100604201006035102030870000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,8,(3,11),(1,7),10,2,(5,6),12                                      204,9,8,3,11,7,1,10,2,5,6,12                                            304,8,9,3,10,(7,11),1,5,6,2,12                                          408,4,3,7,10,9,1,11,5,2,6,12                                            0
RAA20100609201006085102040550000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,(3,6),1,7                                                       202,4,5,3,6,1,7                                                         304,5,2,3,6,1,7                                                         404,5,3,2,6,1,7                                                         0
RAA20100618201006175103030770000サラ系４歳上　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,(2,9),7,6,1,5,3                                                   204,8,9,2,7,1,6,(3,5)                                                   304,8,9,2,(6,7),(3,5),1                                                 404,8,9,2,7,(5,6),3,1                                                   0
RAA20100625201006245103060470000サラ系４歳上　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２二サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,3,9,4,2,6,1,5                                                     208,7,3,(4,9),2,6,1,5                                                   308,7,3,(4,9),6,2,1,5                                                   408,7,3,9,4,6,2,1,5                                                     0
RAA20100603201006025102020460000サラ系３歳　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,11,3,12,1,8,4,2,6,10,9                                            207,5,11,3,1,8,12,4,(2,6),10,9                                          305,7,3,11,1,8,12,6,10,4,9,2                                            405,3,7,11,1,8,12,10,6,9,4,2                                            0
RAA20100603201006025102020660000サラ系４歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,6,3,12,11,8,9,10,5,7,2                                            201,4,6,3,12,11,8,9,10,5,2,7                                            306,(4,9),12,11,3,10,1,(5,8),2,7                                        406,(4,9),12,3,11,10,5,8,1,2,7                                          0
RAA20100616201006155103010450000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,9,2,3,5,7,1,10,8                                                  204,9,6,2,3,1,5,8,(7,10)                                                30(1,3),4,5,9,2,(6,8),10,7                                              401,3,5,4,6,9,2,8,10,7                                                  0
RAA20100617201006165103020760000サラ系４歳上　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ１　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000550000001100000005500000033000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,1,(2,4),5,6                                                       203,7,1,2,4,5,6                                                         303,7,2,1,(4,6),5                                                       402,3,(1,7),4,6,5                                                       0
RAA20100618201006175103030370000サラ系４歳上　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,12,(1,8),6,(2,4),10,(5,9),3,11                                      207,12,1,8,6,2,4,10,5,9,11,3                                            3012,8,7,5,6,2,1,4,9,10,11,3                                            4012,8,5,2,6,7,9,4,1,(10,11),3                                          0
RAA20100618201006175103030670000サラ系４歳上　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,8,2,10,6,5,4,7,9                                                  201,3,8,2,10,6,5,4,7,9                                                  301,3,10,2,8,5,4,6,9,7                                                  401,3,10,2,5,8,4,6,9,7                                                  0
RAA20100623201006225103040250000サラ系３歳　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ１　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000000800000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505052020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,2,3,1                                                             204,5,2,3,1                                                             304,5,3,2,1                                                             40(3,4),2,5,1                                                           0
RAA20100610201006095102050260000サラ系４歳上　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３　サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,7,4,12,6,11,10,8,9,1,3                                            202,5,7,4,12,6,11,10,8,1,9,3                                            304,5,12,(2,6),7,(8,10),9,11,1,3                                        404,12,5,6,7,11,(2,9),10,8,3,1                                          0
RAA20100610201006095102050860000サラ系４歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２一サラ系４歳上サラ系0000  140004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,3,1,7,4,10,5,2,8,11                                               209,6,3,1,7,4,10,5,2,8,11                                               30(9,10),6,3,1,7,5,4,11,2,8                                             409,10,1,6,5,3,7,4,11,2,8                                               0
RAA20100617201006165103020460000サラ系３歳　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,7,3,6,1,5,4,2                                                     209,8,7,3,(1,6),5,4,2                                                   308,9,3,7,(1,6),4,2,5                                                   408,3,9,1,(6,7),4,2,5                                                   0
RAA20100610201006095102050460000サラ系３歳　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ２一　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,12,5,(6,11),2,7,9,3,8,1,10                                          204,12,5,11,6,2,8,7,3,9,1,10                                            304,12,8,11,5,9,6,7,10,2,1,3                                            404,12,8,9,11,5,7,6,10,2,1,3                                            0
RAA20100616201006155103011050000神姫バス杯　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           神姫バス杯　Ｂ１　　神姫バス杯　神姫バ0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000700000001400000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,10,3,6,1,9,7,4,2                                                  205,8,10,3,6,1,9,7,4,2                                                  305,7,8,10,6,9,1,4,3,2                                                  405,7,6,10,(8,9),4,1,2,3                                                0
RAA20100611201006105102060970000時のふるさと明石特別　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           時のふるさと明石特別時のふるさと時のふ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000900000001800000009000000054000000360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,1,9,3,11,6,4,7,8,2                                               205,10,(1,9),(3,11),6,4,7,8,2                                           305,10,9,1,11,6,3,7,4,8,2                                               405,10,9,1,(6,11),3,4,7,8,2                                             0
