UM12004020219981000681200004132001011019980528ナショナルブランド　　　　　　　　　ﾅｼｮﾅﾙﾌﾞﾗﾝﾄﾞ                         National Brand(JPN)                                         0                   00210311201455コマンダーインチーフ　　　　　　　　12236458タイガーミトス　　　　　　　　　　　11401909Dancing Brave                       12410222Slightly Dangerous                  11200415マルゼンスキー　　　　　　　　　　　12211735クインテツソ　　　　　　　　　　　　11301153Lyphard                             12404806Navajo Princess                     11301372Roberto                             12407601Where You Lead                      11300096Nijinsky                            12205156シル　　　　　　　　　　　　　　　　11100453テツソ　　　　　　　　　　　　　　　12204365クインチヤイルド　　　　　　　　　　100106阿部新生　　　　　　　　　　700330アラキフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　957800ナショナル企画　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419981000721200011012003111419980501キーステップ　　　　　　　　　　　　ｷｰｽﾃｯﾌﾟ                             Key Step(JPN)                                               0                   03210411201120ラグビーボール　　　　　　　　　　　12228454キードール　　　　　　　　　　　　　11200444ナイスダンサー　　　　　　　　　　　12204953ペルシアンテール　　　　　　　　　　11200509キヤタオラ　　　　　　　　　　　　　12215511キークランツ　　　　　　　　　　　　11300102Northern Dancer                     12403493Nice Princess                       11300445Le Haar                             12301724Persian Princess                    11300101Never Bend                          12302036Silent Beauty                       11100730サウンドトラツク　　　　　　　　　　12201818チヤイム　　　　　　　　　　　　　　201018宮徹　　　　　　　　　　　　010331イシダファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　338008北前　孔一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000191800000000000000000000000000000000060000000000000003003001008004022001002000006003022000000000000000000000000000001001004000000000001000002000000000000000000001001000001002014000001000003000002000000000000000000000000000002001006000000000000000000000000000000000000000000000000000000001002000004001010000000000000000002000000000000001002000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000002001005000000000000000001000000000000000000001001000004002016000001000000000000000000000000000000000008014012041
UM12004020219981000731200009282003041619980301ローレルマイロード　　　　　　　　　ﾛｰﾚﾙﾏｲﾛｰﾄﾞ                          Laurel My Road(JPN)                                         0                   00210311201455コマンダーインチーフ　　　　　　　　12234322アスクイメージ　　　　　　　　　　　11401909Dancing Brave                       12410222Slightly Dangerous                  11200558ターゴワイス　　　　　　　　　　　　12206263ライトスピード　　　　　　　　　　　11301153Lyphard                             12404806Navajo Princess                     11301372Roberto                             12407601Where You Lead                      11300158Round Table                         12302438Matriarch                           11100798ラークスパー　　　　　　　　　　　　12102844イチキヨサチ　　　　　　　　　　　　201046鮫島一歩　　　　　　　　　　300331石田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　032800ローレルレーシング　　　　　　　　　　　　　　　　　　　　　　　000090000000000000000000000000000000000000000000000000000003001001000011000003001001000011000000000000000000000001000001000007000002001000000003000000000000000000000000000000000001000000000000000000000000000000000000000003001001000007000000000000000002000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000002001001000006000000000000000003000000000000000000000000000000000001000000000000000000000004009003016
UM12004020219981000771200102152001100319980224シルクエアリー　　　　　　　　　　　ｼﾙｸｴｱﾘｰ                             Silk Airy(JPN)                                              0                   03210511201520サクラバクシンオー　　　　　　　　　12230237ツジノビューティ　　　　　　　　　　11200941サクラユタカオー　　　　　　　　　　12226430サクラハゴロモ　　　　　　　　　　　11200558ターゴワイス　　　　　　　　　　　　12206263ライトスピード　　　　　　　　　　　11100795テスコボーイ　　　　　　　　　　　　12207268アンジエリカ　　　　　　　　　　　　11200291ノーザンテースト　　　　　　　　　　12203046クリアアンバー　　　　　　　　　　　11300158Round Table                         12302438Matriarch                           11100798ラークスパー　　　　　　　　　　　　12102844イチキヨサチ　　　　　　　　　　　　200396福島信晴　　　　　　　　　　300331石田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　506800シルク　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419981000791200004272003041619980225ドリームティーナ　　　　　　　　　　ﾄﾞﾘｰﾑﾃｨｰﾅ                           Dream Tina(JPN)                                             0                   00210111403006Kingmambo                           12241600ドラゴンティーナ　　　　　　　　　　11400948Mr. Prospector                      12411133Miesque                             11401155Danzig                              12415691Charmante                           11300169Raise a Native                      12403815Gold Digger                         11401063Nureyev                             12405612Pasadoble                           11300102Northern Dancer                     12403835Pas de Nom                          11401308Alydar                              12412014French Charmer                      201044昆貢　　　　　　　　　　　　300331石田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　505800石田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　000158000000000000000000000000000000000020000000000000001001004002000007001001004001000007000000000000000000000000000000000001000000000000000000000000000000000000001001003001000005000000001000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000004001000005000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001001004001000005000000000000000001000000000000000000004005005000015
UM12004020219981000851200011092001110919980409ピンキーブラック　　　　　　　　　　ﾋﾟﾝｷｰﾌﾞﾗｯｸ                          Pinky Black(JPN)                                            0                   00210111201261ジェイドロバリー　　　　　　　　　　12225035ミスデルモント　　　　　　　　　　　11400948Mr. Prospector                      12409046Number                              11200460ゲイルーザツク　　　　　　　　　　　12209407スピードハクセス　　　　　　　　　　11300169Raise a Native                      12403815Gold Digger                         11300096Nijinsky                            12404854Special                             11400153Faberge                             12403383Green as Grass                      11100533ダイハード　　　　　　　　　　　　　12107944チヤイナスピード　　　　　　　　　　100383伊藤正徳　　　　　　　　　　300331石田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　602800ピーアンドピー　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000009000000000000000009000000000000000000000000000000000003000000000000000003000000000000000000000000000000000002000000000000000001000000000000000000000000000000000005000000000000000001000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000004000000000000000000000000000000000001000000000000000002000000000000000000000001005003009
UM42006061419981001361200101112002060819980422ユウタールビー　　　　　　　　　　　ﾕｳﾀｰﾙﾋﾞｰ                            Yuta Ruby(JPN)                                              0                   04210311201166キンググローリアス　　　　　　　　　12239676クルジェアムール　　　　　　　　　　11401762Naevus                              12407959Glorious Natalie                    11201297オグリキャップ　　　　　　　　　　　12225057ミスイエロー　　　　　　　　　　　　11400948Mr. Prospector                      12407066Mudville                            11401055Reflected Glory                     12407958Blue Eyed Blonde                    11200078ダンシングキヤツプ　　　　　　　　　12211888ホワイトナルビー　　　　　　　　　　11200146イエローゴツド　　　　　　　　　　　12201254タマコダマ　　　　　　　　　　　　　100390池上昌弘　　　　　　　　　　030334小田　健一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　957007上山　利広　　　　　　　　　　　　　　　　　　　　　　　　　　　000073000000000000000000000000000000000020000000000000002000001001003012001000001001000009000000000000000000000000000000000000001000000000000004000000000000000000000000000001000002000000001000000003000000000000000000001000000000000003000000000000000001000000000000000000000000000000000000000000001001000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000004000000000000000000000000000000000000000000001001000005000000000000000000000000000000000000000005006001019
UM12004020219981001441200007062001083119980406オースミブラッシー　　　　　　　　　ｵｰｽﾐﾌﾞﾗｯｼｰ                          Osumi Blushy(JPN)                                           0                   08210311201622ナリタブライアン　　　　　　　　　　12237588ブラッシングインザレイン　　　　　　11201164ブライアンズタイム　　　　　　　　　12229360パシフィカス　　　　　　　　　　　　11301511Blushing Groom                      12412165Dancinintherain                     11301372Roberto                             12406315Kelley's Day                        11300102Northern Dancer                     12408211Pacific Princess                    11300171Red God                             12402497Runaway Bride                       11300096Nijinsky                            12406428Show Lady                           201033木原一良　　　　　　　　　　700331オリエント牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　090002山路　秀則　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000007000000000000000007000000000000000000000000000000000005000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001001005007
UM42006061419981001451200201102002062719980430フェイバリット　　　　　　　　　　　ﾌｪｲﾊﾞﾘｯﾄ                            Favorite(JPN)                                               0                   10210311201550サンシャインフォーエヴァー　　　　　12236466プリティエース　　　　　　　　　　　11301372Roberto                             12407600Outward Sunshine                    11201053ゴライタス　　　　　　　　　　　　　12211622ヒカルオーバー　　　　　　　　　　　11300398Hail to Reason                      12403282Bramalea                            11301186Graustark                           12403379Golden Trail                        11300096Nijinsky                            12406023Glad Rags                           11100629セダン　　　　　　　　　　　　　　　12103447ホマレタカイ　　　　　　　　　　　　100106阿部新生　　　　　　　　　　700331オリエント牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　677009西森　鶴　　　　　　　　　　　　　　　　　　　　　　　　　　　　000215000000000000000002380000000000000061500000000000004002003000001012002000000000000006000000000000000000001000000000000003001000000000000003000000000000000000000000000000000000000000000000000000000000000000000000002000000000000005000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002000000000000003000000000000000001000000000000000000000000000000000000000000000000000000000001001006022
UM12004020219981001471200006082001050919980219ハイフレンドハント　　　　　　　　　ﾊｲﾌﾚﾝﾄﾞﾊﾝﾄ                          Hi Friend Hunt(JPN)                                         0                   03210311201614ダンスインザダーク　　　　　　　　　12225505スターカチドキ　　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229400ダンシングキイ　　　　　　　　　　　11200329キタノカチドキ　　　　　　　　　　　12217241ラツセラー　　　　　　　　　　　　　11301358Halo                                12407543Wishing Well                        11300096Nijinsky                            12408075Key Partner                         11100795テスコボーイ　　　　　　　　　　　　12102916ライトフレーム　　　　　　　　　　　11100457チヤイナロツク　　　　　　　　　　　12203405ロツチ　　　　　　　　　　　　　　　100370二本柳俊　　　　　　　　　　203511海馬沢　明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　517006高橋　顕輔　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
