順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,ブライアンズタイム, 79- 46- 51-381/557,14.2%,22.4%,31.6%,91,78,101.5,6.3着,6.1人気,36.8,644,248,0,0.0%,8.3%,9.2%,115.40,12.82,56.15
2,サンデーサイレンス, 39- 39- 29-190/297,13.1%,26.3%,36.0%,75,75,73.3,6.1着,5.0人気,21.9,574,210,0,0.0%,13.1%,9.8%,115.10,12.79,56.30
3,キングカメハメハ, 37- 34- 37-283/391,9.5%,18.2%,27.6%,52,70,77.9,6.8着,6.4人気,45.3,551,254,0,0.0%,8.7%,9.5%,114.79,12.75,56.45
4,クロフネ, 37- 30- 28-284/379,9.8%,17.7%,25.1%,57,71,77.9,7.1着,6.4人気,46.3,593,285,0,0.0%,7.9%,7.4%,115.57,12.84,56.07
5,ノーザンテースト, 34- 18- 15-129/196,17.3%,26.5%,34.2%,100,74,129.1,5.8着,6.0人気,28.2,579,217,0,0.0%,9.2%,7.7%,115.28,12.81,56.21
6,スペシャルウィーク, 29- 15- 13-164/221,13.1%,19.9%,25.8%,112,80,114.5,6.9着,6.6人気,49.2,855,314,0,0.0%,6.8%,5.9%,115.73,12.86,55.99
7,マンハッタンカフェ, 27- 20- 19-182/248,10.9%,19.0%,26.6%,57,86,88.5,7.2着,6.4人気,43.8,532,324,0,0.0%,8.1%,7.7%,115.73,12.86,55.99
8,ゴールドアリュール, 27- 13- 24-194/258,10.5%,15.5%,24.8%,99,75,89.3,7.3着,6.9人気,58.9,950,304,0,0.0%,5.0%,9.3%,115.16,12.80,56.27
9,シンボリクリスエス, 24- 29- 24-261/338,7.1%,15.7%,22.8%,73,81,63.1,6.9着,6.6人気,46.5,1033,364,0,0.0%,8.6%,7.1%,115.44,12.83,56.13
10,フジキセキ, 24- 22- 14-187/247,9.7%,18.6%,24.3%,69,83,88.0,7.2着,6.7人気,52.2,719,344,0,0.0%,8.9%,5.7%,115.98,12.89,55.87
11,ゼンノロブロイ, 24- 17- 17-126/184,13.0%,22.3%,31.5%,143,109,125.7,7.0着,6.6人気,47.8,1100,346,0,0.0%,9.2%,9.2%,115.60,12.84,56.05
12,ネオユニヴァース, 21- 22- 17-146/206,10.2%,20.9%,29.1%,71,79,89.7,7.0着,6.3人気,48.5,701,273,0,0.0%,10.7%,8.3%,115.48,12.83,56.11
13,アフリート, 19- 22- 14-189/244,7.8%,16.8%,22.5%,85,72,88.6,7.6着,7.3人気,51.8,1092,320,0,0.0%,9.0%,5.7%,115.64,12.85,56.03
14,ティンバーカントリー, 18- 11- 15-143/187,9.6%,15.5%,23.5%,105,91,106.5,7.3着,7.5人気,63.9,1093,388,0,0.0%,5.9%,8.0%,116.20,12.91,55.77
15,ダンスインザダーク, 17- 20- 18-216/271,6.3%,13.7%,20.3%,64,49,68.8,8.0着,7.6人気,73.0,1022,246,0,0.0%,7.4%,6.6%,116.75,12.97,55.50
16,アグネスタキオン, 16- 19- 15-117/167,9.6%,21.0%,29.9%,80,75,65.1,6.7着,6.0人気,44.1,835,254,0,0.0%,11.4%,9.0%,115.46,12.83,56.12
17,リアルシヤダイ, 16- 16- 13-120/165,9.7%,19.4%,27.3%,56,60,77.4,6.2着,6.1人気,34.8,582,222,0,0.0%,9.7%,7.9%,116.73,12.97,55.51
18,ブレイヴエストローマン, 16- 10- 10-114/150,10.7%,17.3%,24.0%,79,53,90.3,6.7着,6.5人気,32.3,744,221,0,0.0%,6.7%,6.7%,115.86,12.87,55.93
19,ジェイドロバリー, 15- 14- 16-117/162,9.3%,17.9%,27.8%,43,73,72.8,6.7着,6.4人気,44.8,465,266,0,0.0%,8.6%,9.9%,115.64,12.85,56.04
20,ワイルドラッシュ, 15- 11- 14-102/142,10.6%,18.3%,28.2%,86,76,93.5,7.3着,7.0人気,60.3,820,273,0,0.0%,7.7%,9.9%,115.58,12.84,56.07
21,マルゼンスキー, 15-  9- 10- 70/104,14.4%,23.1%,32.7%,116,75,100.5,6.0着,5.6人気,27.1,811,238,0,0.0%,8.7%,9.6%,116.04,12.89,55.84
22,ヤマニンスキー, 14- 12-  6-100/132,10.6%,19.7%,24.2%,95,52,90.2,6.3着,6.2人気,32.7,899,218,0,0.0%,9.1%,4.5%,116.53,12.95,55.61
23,ホワイトマズル, 14-  9- 11- 76/110,12.7%,20.9%,30.9%,123,77,118.7,6.6着,7.3人気,68.1,969,252,0,0.0%,8.2%,10.0%,115.42,12.82,56.14
24,ラシアンルーブル, 13- 16- 20- 85/134,9.7%,21.6%,36.6%,48,77,84.1,5.9着,6.0人気,34.4,504,216,0,0.0%,11.9%,14.9%,116.67,12.96,55.54
25,ミスターシービー, 13- 11-  7- 72/103,12.6%,23.3%,30.1%,140,77,95.1,6.5着,6.5人気,39.2,1111,256,0,0.0%,10.7%,6.8%,116.76,12.97,55.50
26,ノーザンデイクテイター, 13- 11-  6- 66/ 96,13.5%,25.0%,31.3%,109,84,107.7,5.9着,6.2人気,28.2,810,271,0,0.0%,11.5%,6.3%,116.45,12.94,55.65
27,トニービン, 13-  8- 11-103/135,9.6%,15.6%,23.7%,82,58,85.6,6.6着,6.7人気,48.9,862,249,0,0.0%,5.9%,8.1%,116.27,12.92,55.73
28,ホリスキー, 13-  8-  8- 70/ 99,13.1%,21.2%,29.3%,66,79,110.2,6.5着,6.6人気,41.1,510,282,0,0.0%,8.1%,8.1%,116.49,12.94,55.63
29,キングヘイロー, 13-  7-  6- 84/110,11.8%,18.2%,23.6%,204,132,155.5,7.4着,8.1人気,81.1,1726,562,0,0.0%,6.4%,5.5%,116.13,12.90,55.80
30,コマンダーインチーフ, 12- 21- 15-204/252,4.8%,13.1%,19.0%,51,55,53.9,7.6着,7.5人気,71.3,1073,291,0,0.0%,8.3%,6.0%,116.18,12.91,55.77
31,タマモクロス, 12- 12-  5-100/129,9.3%,18.6%,22.5%,96,65,98.8,7.0着,6.9人気,51.7,1034,292,0,0.0%,9.3%,3.9%,116.58,12.95,55.58
32,バンブーアトラス, 12- 10- 10- 91/123,9.8%,17.9%,26.0%,53,64,82.1,6.5着,6.7人気,41.5,552,257,0,0.0%,8.1%,8.1%,117.12,13.01,55.33
33,フォーティナイナー, 12-  9- 10- 85/116,10.3%,18.1%,26.7%,65,89,90.3,7.4着,6.4人気,39.3,636,334,0,0.0%,7.8%,8.6%,115.52,12.84,56.10
34,モガミ, 12-  8- 16-105/141,8.5%,14.2%,25.5%,51,79,78.8,6.3着,6.6人気,41.9,604,321,0,0.0%,5.7%,11.3%,116.11,12.90,55.81
35,カコイーシーズ, 12-  5-  6- 26/ 49,24.5%,34.7%,46.9%,217,137,139.3,5.0着,5.7人気,40.3,889,292,0,0.0%,10.2%,12.2%,115.20,12.80,56.25
36,カネヒキリ, 12-  5-  6- 32/ 55,21.8%,30.9%,41.8%,220,93,152.7,5.7着,5.9人気,39.7,1010,224,0,0.0%,9.1%,10.9%,114.48,12.72,56.60
37,マヤノトップガン, 11- 11-  7-124/153,7.2%,14.4%,19.0%,94,69,89.9,7.8着,7.9人気,82.9,1316,366,0,0.0%,7.2%,4.6%,115.84,12.87,55.94
