順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
275,バンブービギン,  2-  1-  0-  6/  9,22.2%,33.3%,33.3%,236,117,452.5,5.6着,7.8人気,67.6,1065,353,0,0.0%,11.1%,0.0%,115.41,12.82,56.15
276,キャプテンスティーヴ,  2-  1-  0- 16/ 19,10.5%,15.8%,15.8%,58,27,180.8,9.1着,9.5人気,128.7,560,173,0,0.0%,5.3%,0.0%,116.29,12.92,55.72
277,"Prince John",  2-  1-  0-  5/  8,25.0%,37.5%,37.5%,198,96,269.6,5.0着,5.6人気,15.3,795,257,0,0.0%,12.5%,0.0%,116.06,12.90,55.83
278,"Black Tie Affair",  2-  1-  0-  4/  7,28.6%,42.9%,42.9%,195,67,167.8,5.4着,2.7人気,7.1,685,157,0,0.0%,14.3%,0.0%,114.37,12.71,56.66
279,"Silver Buck",  2-  1-  0- 10/ 13,15.4%,23.1%,23.1%,137,53,209.3,8.4着,7.5人気,35.7,895,230,0,0.0%,7.7%,0.0%,116.72,12.97,55.52
280,ツイツグ,  2-  1-  0-  7/ 10,20.0%,30.0%,30.0%,337,106,278.4,6.6着,6.5人気,35.7,1685,353,0,0.0%,10.0%,0.0%,117.05,13.01,55.36
281,"Afternoon Deelites",  2-  1-  0-  3/  6,33.3%,50.0%,50.0%,51,55,99.5,4.7着,4.0人気,46.2,155,110,0,0.0%,16.7%,0.0%,114.38,12.71,56.65
282,"Classic Go Go",  2-  1-  0-  2/  5,40.0%,60.0%,60.0%,86,86,137.4,6.2着,2.8人気,10.3,215,143,0,0.0%,20.0%,0.0%,116.42,12.94,55.66
283,ケンサチオー,  2-  1-  0-  1/  4,50.0%,75.0%,75.0%,292,130,202.6,3.8着,4.3人気,6.0,585,173,0,0.0%,25.0%,0.0%,114.78,12.75,56.46
284,サクラバクシンオー,  2-  0-  5- 61/ 68,2.9%,2.9%,10.3%,44,41,55.7,8.7着,8.9人気,89.0,1500,399,0,0.0%,0.0%,7.4%,116.81,12.98,55.48
285,"Unbridled's Song",  2-  0-  3- 18/ 23,8.7%,8.7%,21.7%,13,31,61.2,7.0着,6.3人気,62.6,155,146,0,0.0%,0.0%,13.0%,115.62,12.85,56.04
286,チーフベアハート,  2-  0-  3- 22/ 27,7.4%,7.4%,18.5%,48,117,74.6,7.6着,8.2人気,65.3,650,634,0,0.0%,0.0%,11.1%,115.69,12.85,56.01
287,シンボリクリスエス,  2-  0-  2- 25/ 29,6.9%,6.9%,13.8%,28,30,95.5,8.1着,8.8人気,91.7,410,218,0,0.0%,0.0%,6.9%,116.00,12.89,55.86
288,ビゼンニシキ,  2-  0-  2- 10/ 14,14.3%,14.3%,28.6%,131,87,214.8,7.1着,7.4人気,42.4,920,305,0,0.0%,0.0%,14.3%,116.16,12.91,55.79
289,シプリアニ,  2-  0-  1- 20/ 23,8.7%,8.7%,13.0%,33,26,90.0,7.6着,7.5人気,35.3,390,203,0,0.0%,0.0%,4.3%,115.94,12.88,55.89
290,ジルドレ,  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,460,137,190.9,4.6着,6.7人気,25.5,2070,413,0,0.0%,0.0%,11.1%,116.68,12.96,55.54
291,Cutlass,  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,53,45,81.7,5.2着,5.0人気,29.5,240,137,0,0.0%,0.0%,11.1%,114.84,12.76,56.42
292,ターキン,  2-  0-  1-  7/ 10,20.0%,20.0%,30.0%,72,59,180.4,7.0着,6.8人気,23.1,360,197,0,0.0%,0.0%,10.0%,117.46,13.05,55.17
293,Naskra,  2-  0-  1-  3/  6,33.3%,33.3%,50.0%,158,115,197.2,4.0着,5.0人気,59.2,475,230,0,0.0%,0.0%,16.7%,114.02,12.67,56.83
294,"Hard to Beat",  2-  0-  1-  3/  6,33.3%,33.3%,50.0%,115,73,140.1,4.2着,2.7人気,5.7,345,147,0,0.0%,0.0%,16.7%,114.17,12.69,56.76
295,Cipol,  2-  0-  1-  9/ 12,16.7%,16.7%,25.0%,103,47,178.7,5.3着,6.8人気,27.6,620,190,0,0.0%,0.0%,8.3%,116.13,12.90,55.80
296,マヤノトップガン,  2-  0-  1- 19/ 22,9.1%,9.1%,13.6%,665,105,203.5,9.5着,9.6人気,140.5,7325,770,0,0.0%,0.0%,4.5%,117.16,13.02,55.31
297,"Fairy King",  2-  0-  1- 11/ 14,14.3%,14.3%,21.4%,167,45,297.0,9.6着,9.3人気,124.5,1170,213,0,0.0%,0.0%,7.1%,116.76,12.97,55.50
298,ミルフオード,  2-  0-  1-  7/ 10,20.0%,20.0%,30.0%,389,360,239.5,7.4着,9.1人気,93.5,1945,1200,0,0.0%,0.0%,10.0%,117.76,13.08,55.03
299,カラード,  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,350,111,125.1,7.4着,6.9人気,49.5,1575,333,0,0.0%,0.0%,11.1%,114.50,12.72,56.59
300,"Medaglia d'Oro",  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,310,75,161.3,7.0着,5.2人気,32.2,1395,227,0,0.0%,0.0%,11.1%,115.61,12.85,56.05
301,"Gate Dancer",  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,497,116,215.1,7.8着,6.0人気,25.0,2240,350,0,0.0%,0.0%,11.1%,115.20,12.80,56.25
302,レツクスレンジヤー,  2-  0-  1-  0/  3,66.7%,66.7%,100.0%,410,343,443.3,1.7着,4.3人気,9.8,615,343,0,0.0%,0.0%,33.3%,115.47,12.83,56.12
303,"Distorted Humor",  2-  0-  0- 10/ 12,16.7%,16.7%,16.7%,136,35,198.0,7.4着,7.0人気,52.3,820,215,0,0.0%,0.0%,0.0%,114.43,12.71,56.63
304,"Strawberry Road",  2-  0-  0-  6/  8,25.0%,25.0%,25.0%,138,47,175.2,6.0着,5.3人気,19.6,555,190,0,0.0%,0.0%,0.0%,115.83,12.87,55.95
305,"Lion d'Or",  2-  0-  0-  4/  6,33.3%,33.3%,33.3%,186,55,279.8,5.5着,6.7人気,66.1,560,165,0,0.0%,0.0%,0.0%,114.05,12.67,56.82
306,"Time Tested",  2-  0-  0-  3/  5,40.0%,40.0%,40.0%,272,94,525.0,4.8着,7.4人気,46.5,680,235,0,0.0%,0.0%,0.0%,117.56,13.06,55.12
307,Tiznow,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,97,60,156.9,4.5着,5.0人気,19.0,195,120,0,0.0%,0.0%,0.0%,113.83,12.65,56.93
308,Pulpit,  2-  0-  0- 14/ 16,12.5%,12.5%,12.5%,108,36,104.1,7.3着,6.1人気,39.1,865,290,0,0.0%,0.0%,0.0%,115.20,12.80,56.25
309,サンエイソロン,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,190,65,334.0,4.5着,5.0人気,18.0,380,130,0,0.0%,0.0%,0.0%,114.98,12.78,56.36
310,ダーリングデイスプレイ,  2-  0-  0-  8/ 10,20.0%,20.0%,20.0%,305,68,286.0,7.7着,7.6人気,37.0,1525,340,0,0.0%,0.0%,0.0%,117.94,13.10,54.94
311,ナスルエルアラブ,  2-  0-  0-  6/  8,25.0%,25.0%,25.0%,73,32,156.5,7.8着,6.1人気,91.8,295,130,0,0.0%,0.0%,0.0%,117.95,13.11,54.94
312,Zieten,  2-  0-  0-  4/  6,33.3%,33.3%,33.3%,580,120,693.0,9.3着,9.0人気,73.0,1740,360,0,0.0%,0.0%,0.0%,114.65,12.74,56.52
313,"Storm Creek",  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,155,57,262.3,4.5着,4.5人気,47.3,310,115,0,0.0%,0.0%,0.0%,117.08,13.01,55.35
314,Moulin,  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,116,76,154.8,2.7着,2.3人気,6.1,175,115,0,0.0%,0.0%,0.0%,112.40,12.49,57.65
315,Mineshaft,  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,153,73,166.4,2.7着,1.3人気,3.1,230,110,0,0.0%,0.0%,0.0%,112.67,12.52,57.51
316,"Deputy Commander",  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,153,80,195.6,3.3着,3.3人気,6.7,230,120,0,0.0%,0.0%,0.0%,114.00,12.67,56.84
317,"Deposit Ticket",  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,413,133,572.2,3.3着,5.0人気,17.2,620,200,0,0.0%,0.0%,0.0%,113.83,12.65,56.93
318,グレートホワイトウエー,  2-  0-  0-  0/  2,100.0%,100.0%,100.0%,605,225,583.1,1.0着,3.5人気,6.1,605,225,0,0.0%,0.0%,0.0%,114.15,12.68,56.77
319,ウォーニング,  1-  7-  2- 22/ 32,3.1%,25.0%,31.3%,5,152,32.3,7.2着,7.6人気,88.4,180,488,0,0.0%,21.9%,6.3%,115.24,12.80,56.23
320,クリスタルパレス,  1-  6-  2- 49/ 58,1.7%,12.1%,15.5%,3,30,16.1,7.9着,7.4人気,66.2,190,221,0,0.0%,10.3%,3.4%,115.79,12.87,55.96
