RAA20130320201303194212020850000ツインメイト特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインメイト特別（中ツインメイトツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,5,10,12,4,9,7,3,8,11                                            201,2,6,5,10,12,4,9,7,3,8,11                                            301,2,6,9,4,5,12,10,7,8,3,11                                            401,6,9,2,4,12,8,5,11,10,7,3                                            0
RAA20130320201303194212021050000ツインファイター特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインファイター特別ツインファイツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,2,6,11,9,7,10,4,5,3                                               201,8,6,2,9,11,7,4,10,5,3                                               301,8,6,2,11,9,7,10,4,5,3                                               406,1,8,7,11,2,10,5,9,4,3                                               0
RAA20130321201303204212030760000サラ系一般　Ｃ２九十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,3,1,9,8,11,5,10,7,2,4,12                                            206,3,1,8,(5,9),(7,11),10,4,2,12                                        306,3,1,5,8,11,9,7,10,4,12,2                                            406,3,5,1,8,7,9,11,10,4,2,12                                            0
RAA20130319201303184212011140000春光特別　Ｂ２Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春光特別　Ｂ２Ｂ３　春光特別　Ｂ春光特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000040800000312000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,2,5,3,1,11,9,4,10,8                                               206,7,2,5,1,3,11,9,10,4,8                                               306,7,2,3,5,1,11,9,10,4,8                                               406,7,3,2,1,9,11,5,4,10,8                                               0
RAA20130321201303204212030560000サラ系一般　Ｃ２九十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,12,11,1,4,8,2,6,9,3,7                                            205,10,12,11,1,4,9,8,6,2,3,7                                            305,10,12,1,6,11,4,9,3,8,2,7                                            4010,5,1,6,12,11,3,9,4,2,8,7                                            0
RAA20130319201303184212010440000サラ系４歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　　　　　サラ系４歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000800000002400000013600000104000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,11,1,4,8,3,7,9,10,2,12                                            205,6,1,11,4,8,3,7,9,10,2,12                                            305,6,1,4,11,8,3,7,9,10,2,12                                            405,1,3,4,6,8,7,9,10,11,12,2                                            0
RAA20130320201303194212020650000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,10,8,12,2,3,6,11,7,9                                              204,5,10,8,12,2,3,11,6,7,9                                              304,12,10,8,3,5,2,11,7,6,9                                              404,8,12,2,3,10,11,6,7,5,9                                              0
RAA20130529201303214212041170000桜花賞（ＧＤＪ）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OKA SHO                                                                                                                                                                                                                                                                                                                                                                 桜花賞（ＧＤＪ）　　桜花賞（ＧＤ桜花賞0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0025000000087500000500000002500000012500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,10,4,9,7,3,5,11,8,6                                               201,2,10,4,7,9,5,3,11,8,6                                               301,2,4,7,10,11,9,8,5,3,6                                               401,2,4,7,11,8,9,5,10,3,6                                               0
RAA20130323201303224212050980000特選　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     特選　Ｃ３一　　　　特選　Ｃ３一特選　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000900000002700000015300000117000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,7,3,2,5,8,4,11,10,6                                               201,9,2,7,3,5,8,4,10,11,6                                               301,9,2,5,3,8,7,4,10,11,6                                               401,2,9,5,3,8,4,11,7,10,6                                               0
RAA20130323201303224212051280000鎌北湖特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          鎌北湖特別　Ｃ１一　鎌北湖特別　鎌北湖0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001800000005400000030600000234000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,2,10,3,8,5,4,11,6,9                                               201,7,10,2,3,5,8,11,4,6,9                                               307,1,10,2,11,3,8,5,4,6,9                                               401,7,2,10,11,4,5,8,3,6,9                                               0
RAA20130319201303184212010840000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,8,2,4,3,1,7,5,9                                                  2010,6,8,2,4,3,1,7,5,9                                                  3010,6,4,8,2,3,1,7,5,9                                                  4010,6,4,3,8,2,1,7,5,9                                                  0
RAA20130321201303204212030860000サラ系一般　Ｃ２八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,2,3,5,9,11,10,6,7                                                 204,1,2,3,9,5,6,11,10,7                                                 304,2,5,1,9,3,6,10,7,11                                                 404,2,5,9,6,3,7,10,1,11                                                 0
