RAA20130326201303253613030440000Ｃ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一組　　　　　　Ｃ２一組　　Ｃ２一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,4,3,2,7,8,9,10,6                                                  201,5,4,3,7,2,8,9,10,6                                                  30(1,5),3,4,6,9,7,8,2,10                                                405,3,(4,6),1,(7,9),8,(2,10)                                            0
RAA20130401201303313613050620000Ｃ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一組　　　　　　Ｃ２一組　　Ｃ２一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010106010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,5,4,8,1,7,9,2,3                                                  206,10,5,4,1,8,2,9,7,3                                                  306,(5,10),4,(8,9),(1,2),3,7                                            406,5,10,9,4,8,2,3,1,7                                                  0
