RAA20131023201310224206021150000マルチヒーロー特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチヒーロー特別（マルチヒーロマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00040000000120000000680000005200000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,5,9,6,7,1,11,2,4,8,3                                            2010,9,12,5,6,7,1,11,4,2,8,3                                            3010,9,12,(4,6,7),(5,8),11,1,2,3                                        4010,7,4,6,12,8,9,5,1,2,11,3                                            0
RAA20131022201310214206010740000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,1,8,3,6,12,10,11,9,2,4                                            201,5,7,3,8,6,12,11,10,9,4,2                                            301,5,3,7,8,6,11,12,10,9,4,2                                            401,5,3,8,11,7,6,10,12,9,4,2                                            0
RAA20131023201310224206020850000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,8,3,9,7,10,12,11,4,5                                            201,2,6,8,3,9,7,10,11,12,4,5                                            301,2,8,6,3,7,9,10,11,4,5,12                                            407,1,3,(2,8),6,10,9,11,4,12,5                                          0
RAA20131025201310244206040270000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１００万上１０１万未満　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,10,12,8,2,9,7,6,4,5,3,1                                            2011,10,2,8,12,7,9,4,6,3,5,1                                            3011,10,8,2,12,7,9,3,6,4,5,1                                            4011,10,8,2,6,(3,7,12),9,4,5,1                                          0
RAA20131025201310244206040370000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１００万上１０１万未満　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,8,1,4,3,10,7,2,9,5,12,6                                            2011,8,1,4,10,3,9,7,2,5,12,6                                            3011,1,8,10,9,3,7,5,2,4,12,6                                            4011,1,7,8,10,9,3,2,5,12,4,6                                            0
RAA20131025201310244206040670000サラ系一般　Ｃ２十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,5,11,4,9,3,12,6,10,2,8                                            201,7,4,5,3,11,12,9,6,2,10,8                                            306,7,5,1,12,4,3,11,9,8,2,10                                            406,7,4,5,3,9,1,12,2,8,11,10                                            0
RAA20131025201310244206041070000もみじ賞　Ｃ１五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     もみじ賞　Ｃ１五六　もみじ賞　Ｃもみじ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000020400000156000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,9,10,2,8,5,6,11,7,12                                            201,3,(4,9),2,10,5,8,6,11,7,12                                          301,3,9,10,4,2,6,5,8,11,7,12                                            401,(2,9),3,(5,10),6,4,8,11,7,12                                        0
RAA20131024201310234206031160000埼玉新聞栄冠賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SAITAMASHINBUN EIKAN SHO                                                                                                                                                                                                                                                                                                                                                埼玉新聞栄冠賞　　　埼玉新聞栄冠埼玉新0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　190000002300    0012000000042000000240000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,11,2,1,7,3,6,10,9,4                                               205,8,2,11,1,7,3,4,9,6,10                                               305,(8,11),2,1,7,3,4,6,9,10                                             4011,5,8,2,1,7,3,4,6,9,10                                               0
RAA20131022201310214206011140000秋麗特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          秋麗特別　Ｃ２一　　秋麗特別　Ｃ秋麗特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001600000004800000027200000208000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,1,5,4,2,7,3,9,10,8,11                                               206,1,4,5,3,2,7,9,11,10,8                                               306,1,5,3,4,11,7,9,2,10,8                                               406,1,5,4,11,(7,9),3,2,10,8                                             0
RAA20131023201310224206020950000りんどう賞　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     りんどう賞　Ｃ２二　りんどう賞　りんど0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00011000000033000000187000001430000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,3,10,4,9,1,6,11,5,7,8,2                                            2012,3,10,4,11,(1,9),7,5,6,8,2                                          3012,3,10,1,4,11,(5,7),9,6,8,2                                          4012,3,4,10,1,11,5,9,7,2,8,6                                            0
