RAA20130627201306264705041060000槍ヶ岳賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          槍ヶ岳賞（中央交流）槍ヶ岳賞（中槍ヶ岳0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,5,1,4,2,3,9,10,7                                                  208,6,1,2,4,5,3,9,10,7                                                  308,6,(1,2),4,3,5,9,10,7                                                408,6,2,1,4,3,5,9,10,7                                                  0
RAA20130615201306144705020580000ハクリュウボーイを偲ぶ杯　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ハクリュウボーイを偲ハクリュウボハクリ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,4,1,9,5,3,6,7                                                       402,4,9,5,1,3,6,7                                                       00                                                                      00                                                                      0
RAA20130627201306264705041160000雷鳥特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          雷鳥特別　Ａ３　　　雷鳥特別　Ａ雷鳥特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000300000000600000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,10,7,9,6,5,4,2,1                                                  208,3,10,7,9,6,5,4,2,1                                                  308,3,(7,9,10),6,4,5,2,1                                                408,3,9,7,10,4,6,5,2,1                                                  0
RAA20130629201306284705061080000焼岳特別　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          焼岳特別　Ｃ１４　　焼岳特別　Ｃ焼岳特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,10,1,6,8,9,3,5,2                                                  204,7,1,10,6,8,9,3,5,2                                                  304,7,1,10,6,9,8,3,5,2                                                  40(4,7),1,10,6,9,8,3,2,5                                                0
RAA20130615201306144705021080000白山特別　Ｃ１４ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          白山特別　Ｃ１４ｂ　白山特別　Ｃ白山特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,5,4,2,10,7,6,3,8                                                  201,9,4,2,5,10,7,6,8,3                                                  301,9,2,10,4,6,8,7,3,5                                                  401,9,10,2,6,8,7,4,3,5                                                  0
RAA20130626201306254705030350000サラ系Ｃ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ８組　Ｃ８　サラ系Ｃ８組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,10,1,5,2,7,8,4,6                                                  203,9,10,1,5,2,7,4,8,6                                                  303,9,10,1,5,2,7,8,4,6                                                  403,9,1,10,5,2,7,8,4,6                                                  0
RAA20130628201306274705051070000アルプス特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アルプス特別　Ｃ１　アルプス特別アルプ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,3,1,8,10,2,6,5,7                                                  204,9,3,1,8,2,10,6,5,7                                                  304,9,3,1,10,2,8,6,5,7                                                  409,4,1,3,10,6,2,8,5,7                                                  0
RAA20130629201306284705060280000サラ系３歳９組　９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳９組　９　サラ系３歳９サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,5,8,10,2,1,4,6,3                                                  205,7,9,8,2,1,10,4,6,3                                                  305,7,9,8,2,1,4,10,6,3                                                  405,9,8,7,1,4,2,10,6,3                                                  0
RAA20130627201306264705040460000サラ系Ｃ１１組　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１組　Ｃ１サラ系Ｃ１１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,3,6,4,7,2,8,9,5                                                  201,10,3,6,4,2,7,8,5,9                                                  301,10,6,3,4,2,7,8,5,9                                                  401,10,3,6,2,4,7,8,9,5                                                  0
RAA20130627201306264705040560000ありがとうパクじぃ！安らかに　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ありがとうパクじぃ！ありがとうパありが0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,10,1,2,9,4,6,8,3                                                  205,7,1,10,2,9,4,6,8,3                                                  305,7,1,10,2,4,9,6,8,3                                                  405,7,1,10,2,4,9,8,6,3                                                  0
