RAA20131015201310143508061140000マイルＣｈＳ南部杯（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MILE CHAMPIONSHIP NAMBU HAI                                                                                                                                                                                                                                                                                                                                             マイルＣｈＳ南部杯（マイルＣｈＳマイル0000A 000000000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    0045000000103500000585000004050000022500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,12,3,(10,11),1,(6,13),4,9,2,5,7                                     408,12,3,10,1,11,13,4,6,9,5,2,7                                         00                                                                      00                                                                      0
RAA20131022201310213509030840000プロキオン賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          プロキオン賞（中央交プロキオン賞プロキ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000002000000010000000070000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,11,7,3,5,10,6,1,2,4,8                                               409,11,3,5,10,7,6,1,2,4,8                                               00                                                                      00                                                                      0
RAA20131022201310213509030940000シリウス賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          シリウス賞（中央交流シリウス賞（シリウ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    0001000000002000000010000000070000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,12,9,1,8,11,10,6,2,5,7                                            203,4,1,8,9,6,10,12,11,2,5,7                                            303,4,1,8,12,10,6,9,11,5,2,7                                            403,1,10,4,8,2,12,6,11,9,5,7                                            0
RAA20131011201310073508030340000Ｃ２八組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２八組　　　　　　Ｃ２八組　　Ｃ２八0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,10,8,3,9,2,6,1,5,4                                                  40(7,8),9,10,3,6,4,1,2,5                                                00                                                                      00                                                                      0
RAA20131011201310073508030840000Ｂ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２四組　　　　　　Ｂ２四組　　Ｂ２四0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000019000000038000000190000001400000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010402000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,7),9,10,3,8,1,6,4,5                                                402,7,9,10,4,1,6,8,5,3                                                  00                                                                      00                                                                      0
RAA20131015201310123508040310000一般戦Ｃ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     一般戦Ｃ２七組　　　一般戦Ｃ２七一般戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,10,6,7,5,9,8,4,1,2                                                  403,6,7,10,5,9,4,8,1,2                                                  00                                                                      00                                                                      0
RAA20131015201310123508040510000一般戦Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     一般戦Ｃ２五組　　　一般戦Ｃ２五一般戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,(7,10),9,8,5,1,4,3,2                                                4010,6,5,8,9,1,7,4,3,2                                                  00                                                                      00                                                                      0
RAA20131021201310193509010910000もりおか映画祭２０１３レースＢ２三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     もりおか映画祭２０１もりおか映画もりお0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000190000000380000001900000014000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,9,6,10,2,7,8,4,3,5                                                  409,10,1,8,6,7,2,4,3,5                                                  00                                                                      00                                                                      0
RAA20131028201310263509040210000一般戦Ｃ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     一般戦Ｃ２七組　　　一般戦Ｃ２七一般戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,5,2,9,3,6,1,4,7                                                     402,3,1,5,6,9,4,8,7                                                     00                                                                      00                                                                      0
RAA20131028201310263509040610000選抜戦Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２五組　　　選抜戦Ｃ２五選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000012000000024000000120000000900000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010404000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(6,9),4,8,10,7,5,(1,3),2                                              406,4,9,8,10,5,1,2,3,7                                                  00                                                                      00                                                                      0
RAA20131029201310283509060240000選抜戦Ｃ２四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２四組　　　選抜戦Ｃ２四選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000120000000240000001200000009000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,4,10,7,3,8,5,6,1,2                                                  404,10,9,7,5,6,3,8,1,2                                                  00                                                                      00                                                                      0
RAA20131015201310133508050120000２歳Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳Ｃ２　　　　　　２歳Ｃ２　　２歳Ｃ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000024000000048000000240000001700000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(9,10),(7,8),6,5,3,4,2,1                                              4010,9,7,6,8,5,3,4,1,2                                                  00                                                                      00                                                                      0
RAA20131011201310053508010110000Ｃ２十四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十四組　　　　　Ｃ２十四組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,8,4,10,5,9,1,7,2,6                                                  403,10,8,4,9,5,1,2,7,6                                                  00                                                                      00                                                                      0
