RAA20131011201310084508020950000オクトーバースター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          オクトーバースター賞オクトーバーオクト0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,5,6,4,11,8,3,7,10                                                 201,2,5,6,4,8,11,10,7,3                                                 301,(2,5),4,8,6,10,7,11,3                                               401,5,4,6,2,8,7,10,11,3                                                 0
RAA20131010201310094508031160000鎌倉記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KAMAKURA KINEN                                                                                                                                                                                                                                                                                                                                                          鎌倉記念　　　　　　鎌倉記念　　鎌倉記0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　150000002300    00100000000350000002000000010000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,13,12,9,4,8,6,7,5,2,1,3                                            2010,13,12,9,4,8,6,7,5,2,(1,3)                                          3010,13,9,12,4,7,8,6,2,3,5,1                                            4010,13,12,9,4,7,8,5,6,2,3,1                                            0
RAA20131010201310094508030160000サラ系３歳　７ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７ロ　　サラ系３歳　サラ系0000  120000000000000000000８１万上１０１万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,12,10,2,8,4,5,3,7,11,9                                            201,2,6,8,10,12,4,5,3,7,11,9                                            302,5,1,3,6,8,10,12,4,11,7,9                                            402,5,3,1,8,10,4,6,11,12,7,9                                            0
RAA20131010201310094508030660000サラ系一般　Ｃ２七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,12,5,1,3,6,10,2,4,9,7,11                                            208,5,12,1,3,6,10,2,9,4,7,11                                            308,12,5,(1,6),3,10,(4,9),2,7,11                                        408,1,3,10,12,(5,6),11,(4,9),7,2                                        0
RAA20131011201310104508040970000サルビアＣ　Ｂ３下　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サルビアＣ　Ｂ３下　サルビアＣ　サルビ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　200000002300    00030000000090000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,8,7,4,9,6,3,12,2,1,5                                            2010,11,(4,8),7,3,6,9,12,2,1,5                                          3010,4,11,8,3,7,(9,12),(2,6),1,5                                        4010,4,3,12,11,2,9,8,(1,6),7,5                                          0
RAA20131012201310114508050580000正人＆亜希結婚記念　Ｃ２１０１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     正人＆亜希結婚記念　正人＆亜希結正人＆0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,6,3,9,11,5,12,7,10,8,1                                            202,3,4,6,5,7,9,11,12,(1,8,10)                                          302,(4,6),3,(5,9),7,11,12,(8,10),1                                      402,4,(3,6),7,5,9,11,12,1,8,10                                          0
RAA20131012201310114508050880000帷子川特別　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          帷子川特別　Ｃ２三　帷子川特別　帷子川0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00017000000051000000340000002040000013600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,4,5,3,1,9,6,13,2,10,8,7,12,11                                      2014,4,5,3,1,9,6,13,2,10,8,7,12,11                                      3014,4,(1,5),3,9,2,6,13,10,7,8,12,11                                    4014,3,4,2,1,7,5,9,10,6,11,13,8,12                                      0
RAA20131011201310104508041070000ふじのくに爽秋特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ふじのくに爽秋特別　ふじのくに爽ふじの0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,12,(3,5),13,9,14,2,7,6,11,10                                    201,4,3,8,5,9,12,14,13,2,7,6,11,10                                      30(1,4),8,3,12,13,5,9,14,2,11,10,6,7                                    404,3,1,12,9,5,2,14,8,13,6,11,10,7                                      0
RAA20131009201310084508021050000神無月特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          神無月特別　Ａ２　　神無月特別　神無月0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141310300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,8,6,7,1,2,11,3,13,14,9,4,10,5                                      2012,8,6,7,1,2,11,3,13,14,9,10,4,5                                      30(7,8,12),2,11,(3,6,14),10,9,4,13,5,1                                  4012,7,8,2,11,3,14,10,6,5,9,13,1,4                                      0
RAA20131011201310104508040770000サラ系一般　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,10,7,3,6,12,11,5,4,1,8                                            202,9,10,3,6,7,5,12,4,11,1,8                                            309,2,10,7,3,6,(5,11,12),(1,8),4                                        402,9,10,3,5,11,(1,7),6,12,4,8                                          0
RAA20131008201310074508010840000サラ系一般　Ｃ１六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,10,12,11,6,7,9,8,1,4                                            202,3,5,10,12,6,11,7,9,8,1,4                                            302,5,3,12,(10,11),6,7,8,9,1,4                                          402,5,11,12,6,3,7,10,8,1,9,4                                            0
