RAA20130807201308064610011150000ＭＲＯ金賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MRO KIN SHO                                                                                                                                                                                                                                                                                                                                                             ＭＲＯ金賞　　　　　ＭＲＯ金賞　ＭＲＯ0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,12,1,8,10,7,11,3,5,4,2                                            206,9,12,1,8,10,7,(3,11),5,2,4                                          306,12,9,10,1,8,7,3,11,5,(2,4)                                          4012,6,1,10,7,3,9,8,11,5,(2,4)                                          0
RAA20130821201308204611011050000能登禄剛崎賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               能登禄剛崎賞（中央交能登禄剛崎賞能登禄0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000050000000100000000450000003500000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,2),4,6,11,7,9,10,8,3                                               20(1,2),4,(6,9),11,7,10,8,3                                             302,4,1,9,6,(7,8,10,11),3                                               402,4,1,9,7,10,8,(6,11),3                                               0
RAA20130812201308114610020520000３Ａ－３　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３Ａ－３　Ａ３　　　３Ａ－３　Ａ３Ａ－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000019000000038000000170000001300000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,6,11),(7,10),8,9,1,4,5,3                                           202,6,11,(7,8),10,9,1,4,5,3                                             302,6,11,10,7,(4,8),9,1,5,3                                             402,6,11,7,4,10,(1,8),9,5,3                                             0
RAA20130812201308114610020420000３Ｂ－１　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３Ｂ－１　Ｂ１　　　３Ｂ－１　Ｂ３Ｂ－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000016000000032000000140000001100000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(5,10),8,6,9,3,1,7,11,2                                               205,10,(6,8),3,9,1,7,2,11                                               30(5,8),(3,10),6,9,1,7,11,2                                             40(5,8),3,(6,10),9,1,7,11,2                                             0
RAA20130829201308254611021020000金沢ＲＣ移転４０周年記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KANAZAWA RACECOURSE 40TH ANNIVERSARY                                                                                                                                                                                                                                                                                                                                    金沢ＲＣ移転４０周年金沢ＲＣ移転金沢Ｒ0000D 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0003000000006000000027000000210000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,10,(6,8),7,4,5,3                                                202,9,(1,10),8,4,6,7,5,3                                                302,10,9,1,8,6,(4,7),5,3                                                402,10,1,8,9,6,5,3,4,7                                                  0
