RAA20130829201308284409031060000フォーチュネイトほうせんか特別（中央交流　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトほうフォーチュネフォー0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,11,9,(3,8),6,1,4,10,5,7                                             202,11,9,3,8,6,1,4,10,5,7                                               30(2,11),9,(4,8),1,(3,6),(7,10),5                                       4011,9,2,8,4,1,3,7,6,10,5                                               0
RAA20130829201308284409030860000サラ系一般　Ｃ１五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,8,11,(2,13),6,(3,4),7,5,12,9,10                                     401,8,11,(2,13),(3,6),4,7,5,12,9,10                                     00                                                                      00                                                                      0
RAA20130802201308014407041170000ペッパーツリー賞　Ｂ１二Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ペッパーツリー賞　Ｂペッパーツリペッパ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0003200000009600000064000000384000002560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,7,16,(11,12),10,(5,14),2,8,13,6,1,15,4                            203,9,7,16,(11,12),(2,10),5,14,8,13,6,1,(4,15)                          303,9,7,13,(10,11),12,5,(2,6,8,16),14,1,4,15                            403,9,7,11,(10,13),12,5,6,16,(2,8),1,14,4,15                            0
RAA20130814201308134408021250000ペリドット賞　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ペリドット賞　Ｂ３二ペリドット賞ペリド0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000250000000750000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(5,11),8,(1,4,7),(6,9,10),12,2,3                                      3011,5,(1,8,9),7,(4,6),3,(10,12),2                                      4011,5,9,1,6,(7,8),(3,4),2,12,10                                        00                                                                      0
RAA20130817201308164408050880000サラ系一般　Ｃ１四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,5,(8,13),9,2,7,6,10,4,11,12                                       401,3,8,5,13,9,2,6,7,4,10,11,12                                         00                                                                      00                                                                      0
RAA20130817201308164408050280000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   サラ系２歳　新馬　　サラ系２歳　サラ系0000  110000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,2,6,9,3,(5,7,8),1                                                   302,(4,6),(1,9),(3,5),7,8                                               402,6,(1,7),5,9,3,4,8                                                   00                                                                      0
RAA20130829201308284409031260000サマーメモリー賞　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サマーメモリー賞　Ｂサマーメモリサマー0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002900000008700000058000000348000002320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,5,1,8,2,11,3,6,(9,12),10                                            304,5,8,(1,2),(3,6,11),(9,12),10                                        40(4,5),8,1,2,6,(3,11),(9,12),10                                        00                                                                      0
RAA20130831201308304409050280000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   サラ系２歳　新馬　　サラ系２歳　サラ系0000  110000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,4,8,5,2,3,6,7                                                       401,4,(5,8),3,2,7,6                                                     00                                                                      00                                                                      0
RAA20130802201308014407041270000さそり座特別　Ｂ３四Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          さそり座特別　Ｂ３四さそり座特別さそり0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,(1,2,7,10),5,3,6,11,4                                             208,9,(1,7),2,10,5,3,6,11,4                                             308,9,7,(1,5),2,11,10,3,6,4                                             408,9,7,1,11,5,2,(3,10),6,4                                             0
RAA20130829201308274409021150000クリスタルナイトＣ　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                               クリスタルナイトＣ　クリスタルナクリス0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0006500000019500000130000000780000005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,(7,8),2,6,9,(3,5,10)                                              201,4,7,8,2,6,(9,10),5,3                                                301,4,7,8,2,6,10,5,9,3                                                  401,4,7,8,2,5,6,10,9,3                                                  0
RAA20130815201308144408030560000サラ系一般　Ｃ３五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,8,1,7,2,(5,6),9,3                                                   304,7,8,2,1,5,9,6,3                                                     404,2,7,1,5,8,9,6,3                                                     00                                                                      0
RAA20130829201308284409030760000サラ系一般　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141310300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,4,(1,5),(2,12),14,7,(6,10),9,3,8,13                                2011,4,5,1,12,2,14,7,10,6,9,3,8,13                                      3011,(4,5),12,10,2,7,1,9,6,14,(3,8),13                                  4011,(4,5),12,10,2,7,9,6,1,14,13,8,3                                    0
RAA20130814201308134408021150000オーガスト賞　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          オーガスト賞　Ａ２　オーガスト賞オーガ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　200000002400    0004600000013800000092000000552000003680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,13,(5,8,15),14,(1,12),9,10,4,11,7,2                               203,6,13,5,(8,15),14,1,12,9,10,4,7,11,2                                 30(3,6),13,15,14,5,1,9,(8,12),10,7,4,(2,11)                             40(3,6),13,14,15,5,1,9,7,10,12,4,11,2,8                                 0
RAA20130830201308294409040870000サラ系一般　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,10,7,1,(3,9),(4,11),2,6                                             408,10,7,1,3,9,4,11,2,6                                                 00                                                                      00                                                                      0
RAA20130831201308304409051280000やぎ座特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          やぎ座特別　Ｃ１一　やぎ座特別　やぎ座0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,(7,13),11,4,(2,12),10,(5,6),3,8                                   201,(7,9),13,11,4,2,12,10,5,6,3,8                                       301,9,13,11,7,12,2,10,4,5,3,6,8                                         409,1,13,11,(7,12),2,10,4,(3,5),(6,8)                                   0
RAA20130813201308124408010740000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,10,(2,5),7,8,9,4,6                                                201,3,10,2,5,8,7,9,4,6                                                  301,3,10,(5,7,8),(2,4,6,9)                                              401,3,10,(5,7),8,2,4,6,9                                                0
RAA20130828201308264409010640000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,8,1,2,(4,6),3                                                     207,5,8,1,2,4,3,6                                                       307,1,8,(2,3,5),4,6                                                     407,1,8,2,5,3,4,6                                                       0
RAA20130803201308024407050680000サラ系一般　Ｃ２十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(6,7,8),9,1,4,3,2,12,10,11,5                                          40(6,7),8,9,1,3,4,2,12,11,10,5                                          00                                                                      00                                                                      0
RAA20130816201308154408040770000サラ系一般　Ｃ２八九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２八九サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,8,6,(2,10),9,11,3,4,1,12                                          405,7,6,8,2,(9,10),3,11,4,1,12                                          00                                                                      00                                                                      0
