RAA20130321201303195418040350000はりまや盃（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           はりまや盃（中央交流はりまや盃（はりま0000E 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001250000006000000040000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,(4,7,12),8,3,11,2,5,10,1                                          206,9,4,12,7,8,2,3,5,11,1,10                                            30(6,9),(4,12),7,2,8,3,5,1,10,11                                        404,9,(7,12),6,(1,2),3,10,8,5,11                                        0
RAA20130321201303195418040450000黒船賞（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KUROFUNE SHO                                                                                                                                                                                                                                                                                                                                                            黒船賞（中央交流）　黒船賞（中央黒船賞0000C 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0021000000048500000270000001900000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,11,2,3,10,1,4,6,12,8                                            205,7,9,2,11,3,10,1,4,6,12,8                                            305,(7,9,11),(2,3,10),12,6,1,4,8                                        40(7,9),5,3,10,2,12,11,6,4,8,1                                          0
RAA20130311201303105418020820000頑張れＣＢの孫達特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     頑張れＣＢの孫達特別頑張れＣＢの頑張れ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000090000000230000001100000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,(3,4,7,9),6,1,8,10                                                202,(3,4,5),7,9,6,1,8,10                                                30(7,9),(2,3),4,5,1,6,8,10                                              409,4,3,7,(2,5),1,8,6,10                                                0
RAA20130320201303195418040250000Ｃ３－８　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－８　Ｃ３　　　Ｃ３－８　ＣＣ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000009000000023000000110000000800000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,5),2,4,3,6,7                                                       20(1,5),2,3,4,6,7                                                       305,1,(2,4),3,7,6                                                       405,3,(1,4),2,7,6                                                       0
RAA20130304201303035417040420000Ｃ１イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１イ　　　　　　　Ｃ１イ　　　Ｃ１イ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,2,5,9,3,(1,4,7)                                                   206,8,(2,5),9,3,(1,7),4                                                 30(2,5,8),6,9,3,1,7,4                                                   402,(5,8),9,6,3,1,7,4                                                   0
RAA20130318201303175418031120000四国八十八カ所特別　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     四国八十八カ所特別　四国八十八カ四国八0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000110000000280000001400000009000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,5,3,8,2,(4,6),10,7                                                201,9,(3,5),2,8,4,6,(7,10)                                              301,9,2,(3,5),8,4,6,(7,10)                                              402,9,1,5,3,8,6,4,(7,10)                                                0
RAA20130401201303315419040420000花海道菜の花特別　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     花海道菜の花特別　Ｂ花海道菜の花花海道0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000110000000280000001400000009000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,(2,5),8,3,(1,6),4                                                   207,1,5,(2,8),3,6,4                                                     307,5,6,3,1,8,2,4                                                       405,6,7,3,1,2,8,4                                                       0
RAA20130310201303095418010610000Ｃ１－５　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１－５　Ｃ１　　　Ｃ１－５　ＣＣ１－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,6,2,5,3,1,9,4                                                     207,2,6,8,3,5,1,4,9                                                     307,2,6,5,3,4,(1,9),8                                                   406,2,4,(1,5),7,9,3,8                                                   0
RAA20130325201303245419011020000高知県山茶花特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          高知県山茶花特別　Ｃ高知県山茶花高知県0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000330000001600000011000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,(1,7),(5,8),6,3                                                   202,4,1,7,5,8,3,6                                                       30(2,7),4,(1,5,8),3,6                                                   407,2,5,3,4,(1,8),6                                                     0
